chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.allow_partial,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1_chromCol,parameters.input1_dbkey,parameters.input1_endCol,parameters.input1_species,parameters.input1_startCol,parameters.input1_strandCol,parameters.min_species,parameters.species,parameters.species.__class__,parameters.species.value,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-09-21 16:46:11.997211,slurm_normal,1506012417.0,0.0,,1.0,main_w4_handler1,3261968,16891023,False,,92254677,maf,10959027.roundup,slurm,,132112168.0,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31351559}]",,,,,,,"""1""","[""B1015B24C5"", ""S1071G24C1"", ""S1075M24C3"", ""S1092G24C4"", ""B1015G24C3"", ""S1071G24C2"", ""S1075M24C5"", ""S1093G24C1"", ""B1015H24C1"", ""S1071G24C3"", ""S1086G24C1"", ""S1093G24C2"", ""B1015H24C3"", ""S1071G24C4"", ""S1088B24C2"", ""S1093G24C3"", ""B1015H24C4"", ""S1071G24C5"", ""S1088M24C1"", ""S1096G24C5"", ""S1072B24C4"", ""S1090G24C2"", ""S1096M24C3"", ""S1072B24C5"", ""S1091B24C4"", ""S1096M24C5"", ""S1071B24C1"", ""S1072G24C4"", ""S1092G24C1"", ""S1071B24C2"", ""S1075M24C2"", ""S1092G24C3""]",,,32.0,,40725391,1506012399.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2017-09-21 16:47:05.550216,112030.0,18.0
,,2018-02-07 11:02:45.256306,slurm_normal,1518001462.0,0.0,7680.0,1.0,main_w3_handler1,3420227,18286875,False,,651321245,maf,12369837,slurm,,132112168.0,corral-repl,,"""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 33715414}]",,,,,,,"""1""","[""mm10"", ""hg19"", ""nomLeu2"", ""ornAna1"", ""xenTro3"", ""canFam3"", ""fr3"", ""gasAcu1"", ""galGal4"", ""oryLat2""]",,,32.0,,43745046,1518001377.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2018-02-07 11:04:26.781967,,85.0
,,2018-03-04 00:22:25.117993,slurm_normal,1520122958.0,0.0,7680.0,1.0,main_w4_handler0,3437618,18596197,False,,193402,maf,12690812,slurm,,132112168.0,corral-repl,,"""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""",,"[{'src': 'hda', 'id': 34192675}]",,,,,,,"""0""","[""hg19"", ""panTro4"", ""gorGor3"", ""rheMac3"", ""macFas5"", ""chlSab1"", ""calJac3"", ""otoGar3"", ""tupChi1"", ""speTri2"", ""hetGla2"", ""chiLan1"", ""octDeg1"", ""susScr3"", ""vicPac2"", ""camFer1"", ""orcOrc1"", ""panHod1"", ""bosTau7"", ""oviAri3"", ""capHir1"", ""equCab2"", ""cerSim1"", ""felCat5"", ""canFam3"", ""musFur1"", ""ailMel1"", ""odoRosDiv1"", ""pteAle1"", ""myoDav1"", ""myoLuc2"", ""eptFus1"", ""conCri1"", ""loxAfr3"", ""eleEdw1"", ""triMan1"", ""chrAsi1"", ""echTel2"", ""oryAfe1"", ""dasNov3"", ""monDom5"", ""sarHar1"", ""falChe1"", ""falPer1"", ""ficAlb2"", ""zonAlb1"", ""geoFor1"", ""taeGut2"", ""pseHum1"", ""melUnd1"", ""amaVit1"", ""colLiv1"", ""anaPla1"", ""galGal4"", ""melGal1"", ""cheMyd1"", ""chrPic1"", ""pelSin1"", ""anoCar2"", ""tetNig2"", ""fr3"", ""oreNil2"", ""neoBri1"", ""hapBur1"", ""mayZeb1"", ""oryLat2"", ""xipMac1"", ""gasAcu1"", ""gadMor1"", ""lepOcu1"", ""nomLeu3"", ""criGri1"", ""takFla1"", ""araMac1"", ""punNye1"", ""allMis1"", ""turTru2"", ""apaSpi1"", ""macEug2"", ""xenTro7"", ""ornAna1"", ""petMar2"", ""latCha1"", ""danRer7"", ""astMex1"", ""saiBol1"", ""ponAbe2""]",,,32.0,,44066112,1520122953.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2018-03-04 00:22:40.967410,,5.0
,,2018-02-07 18:43:42.658140,slurm_normal,1518029129.0,0.0,7680.0,1.0,main_w3_handler0,3420227,18301392,False,,396350779,maf,12384068,slurm,,132112168.0,corral-repl,,"""1""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 33731132}]",,,,,,,"""1""","[""mm10"", ""hg19"", ""nomLeu2"", ""ornAna1"", ""galGal4"", ""oryLat2"", ""gasAcu1"", ""xenTro3"", ""fr3"", ""canFam3""]",,,32.0,,43745046,1518029083.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2018-02-07 18:45:33.043931,,46.0
,,2017-10-25 16:48:20.165841,slurm_normal,1508950147.0,0.0,,1.0,main_w4_handler1,3298627,17215419,False,,84377388,maf,11276156,slurm,,132112168.0,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31860577}]",,,,,,,"""1""","[""cpi"", ""mte"", ""gin"", ""gag"", ""str"", ""cmy"", ""psi"", ""asp"", ""ema"", ""gga"", ""scr""]",,,32.0,,39989242,1508950108.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2017-10-25 16:49:09.731997,110401.0,39.0
,,2017-10-25 16:48:47.044895,slurm_normal,1508950183.0,0.0,,1.0,main_w4_handler1,3298627,17215423,False,,97394314,maf,11276163,slurm,,132112168.0,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31860566}]",,,,,,,"""1""","[""cpi"", ""mte"", ""gin"", ""gag"", ""str"", ""cmy"", ""psi"", ""asp"", ""ema"", ""gga"", ""scr""]",,,32.0,,39989242,1508950142.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2017-10-25 16:49:46.494090,110401.0,41.0
,,2017-10-25 16:48:01.801889,slurm_normal,1508950147.0,0.0,,1.0,main_w4_handler1,3298627,17215418,False,,116193693,maf,11276154,slurm,,132112168.0,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31860584}]",,,,,,,"""1""","[""cpi"", ""mte"", ""gin"", ""gag"", ""str"", ""cmy"", ""psi"", ""asp"", ""ema"", ""gga"", ""scr""]",,,32.0,,39989242,1508950091.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2017-10-25 16:49:09.376724,110401.0,56.0
,,2017-10-25 16:49:25.129067,slurm_normal,1508950206.0,0.0,,1.0,main_w4_handler1,3298627,17215425,False,,63979790,maf,11276165,slurm,,132112168.0,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31860562}]",,,,,,,"""1""","[""cpi"", ""mte"", ""gin"", ""gag"", ""str"", ""cmy"", ""psi"", ""ema"", ""gga"", ""asp"", ""scr""]",,,32.0,,39989242,1508950177.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2017-10-25 16:50:08.279211,110401.0,29.0
,,2017-10-25 16:49:08.299830,slurm_normal,1508950169.0,0.0,,1.0,main_w3_handler1,3298627,17215424,False,,11956191,maf,11276164,slurm,,132112168.0,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31860564}]",,,,,,,"""1""","[""cpi"", ""mte"", ""gin"", ""gag"", ""str"", ""cmy"", ""psi"", ""asp"", ""ema"", ""gga"", ""scr""]",,,32.0,,39989242,1508950160.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2017-10-25 16:49:31.801713,110401.0,9.0
,,2017-10-25 16:52:47.234892,slurm_normal,1508950389.0,0.0,,1.0,main_w3_handler1,3298627,17215441,False,,23775891,maf,11276186,slurm,,132112168.0,corral-repl,,"""0""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31860546}]",,,,,,,"""1""","[""cpi"", ""mte"", ""gin"", ""gag"", ""str"", ""cmy"", ""asp"", ""ema"", ""gga"", ""psi"", ""scr""]",,,32.0,,39989242,1508950374.0,ok,1023996.0,MAF_Limit_To_Species1,1.0.0,,2017-10-25 16:53:11.382003,110401.0,15.0
