count,count_filetype,create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,list,list_filetype,memtotal,name,name_filetype,object_store_id,param_filename,parameters.chromInfo,parameters.count.values,parameters.cutoff,parameters.dbkey,parameters.fasta.values,parameters.name.values,parameters.otu.__current_case__,parameters.otu.use,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-04-18 09:29:09.299031,slurm_normal,1492507767.0,0,45567117,txt,1.0,main_w3_handler1,3068942,15612553,False,,9731442.roundup,slurm,,4821793.0,tabular,132112168.0,1794744.0,txt,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 29256796}]","[{'src': 'hda', 'id': 29256795}]",,,32.0,,37370514,1492507758.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-04-18 09:29:29.725026,103902.0,9.0
,,2017-04-25 10:56:38.752758,slurm_normal,1493117816.0,0,51946,fasta,1.0,main_w4_handler0,3084868,15671163,False,,9786764.roundup,slurm,,,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 29347249}]",,0.0,no,32.0,,37519155,1493117810.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-04-25 10:56:59.123114,104580.0,6.0
,,2017-06-08 06:58:38.492127,slurm_normal,1496905136.0,0,28,tabular,1.0,main_w4_handler0,2991328,16049526,False,,10139505.roundup,slurm,,,,132112168.0,0.0,tabular,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 29885032}]","[{'src': 'hda', 'id': 29885048}]",0.0,no,32.0,,36584128,1496905132.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-06-08 06:59:00.058752,92765.0,4.0
,,2017-04-30 14:54:37.186808,slurm_normal,1493564087.0,0,201723,fasta,1.0,main_w3_handler1,3092034,15710939,False,,9822769.roundup,slurm,,,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""95""","""?""","[{'src': 'hda', 'id': 29411371}]",,0.0,no,32.0,,37656808,1493564082.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-04-30 14:54:50.674015,101773.0,5.0
,,2017-05-11 07:38:15.944707,slurm_normal,1494488303.0,0,27991,fasta,1.0,main_w4_handler1,3106691,15809869,False,,9914318.roundup,slurm,,,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 29560106}]",,0.0,no,32.0,,37869235,1494488299.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-05-11 07:38:29.381610,105601.0,4.0
,,2017-05-11 07:47:55.213315,slurm_normal,1494488884.0,0,27991,fasta,1.0,main_w3_handler1,3106691,15809916,False,,9914359.roundup,slurm,,,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 29560106}]",,0.0,no,32.0,,37869235,1494488880.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-05-11 07:48:08.213364,105601.0,4.0
,,2017-05-11 07:48:32.388873,slurm_normal,1494488920.0,0,188786,fasta,1.0,main_w4_handler1,3106691,15809919,False,,9914362.roundup,slurm,,,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 29559876}]",,0.0,no,32.0,,37869235,1494488916.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-05-11 07:48:41.218324,105601.0,4.0
,,2017-06-14 21:24:12.113012,slurm_normal,1497492433.0,0,569516,fasta,1.0,main_w3_handler1,3125769,16103586,False,,10188170.roundup,slurm,,,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 30032779}]",,0.0,no,32.0,,38195391,1497492428.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-06-15 02:07:26.023930,,5.0
,,2017-06-14 21:22:51.078103,slurm_normal,1497492463.0,0,1015354,fastq,1.0,main_w4_handler0,3125769,16103579,False,,10188178.roundup,slurm,,,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 30032601}]",,0.0,no,32.0,,38195391,1497492450.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-06-15 02:07:49.570416,,13.0
,,2017-05-17 13:35:11.278342,slurm_normal,1495028130.0,0,157494,vcf,1.0,main_w3_handler0,3111290,15867291,False,,9967716.roundup,slurm,,,,132112168.0,9965.0,fasta,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 29646953}]","[{'src': 'hda', 'id': 29601498}]",0.0,no,32.0,,38023218,1495028126.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-05-17 13:35:34.715529,105842.0,4.0
,,2017-05-21 17:45:37.814185,slurm_normal,1495388758.0,0,44444767,fastqsanger,1.0,main_w4_handler1,3118306,15900916,False,,9999914.roundup,slurm,,,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 29707567}]",,0.0,no,32.0,,36302619,1495388750.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-05-21 17:46:00.965551,,8.0
,,2017-05-22 02:12:26.394031,slurm_normal,1495419161.0,0,3639,fasta,1.0,main_w4_handler0,3120886,15902367,False,,10001095.roundup,slurm,,,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 29709598}]",,0.0,no,32.0,,38011602,1495419157.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-05-22 02:12:43.726576,,4.0
,,2017-06-17 17:21:10.182676,slurm_normal,1497720088.0,0,15003,bedgraph,1.0,main_w3_handler1,2917108,16122538,False,,10203892.roundup,slurm,,,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""75""","""?""","[{'src': 'hda', 'id': 30062442}]",,0.0,no,32.0,,38393620,1497720083.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-06-17 17:21:31.358270,54234.0,5.0
,,2017-06-21 08:08:47.845969,slurm_normal,1498032542.0,0,2310,xml,1.0,main_w4_handler0,3166260,16151289,False,,10230048.roundup,slurm,,,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",,"""100""","""?""","[{'src': 'hda', 'id': 30107556}]",,0.0,no,32.0,,38827233,1498032538.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_consensus_seqs/1.21.0,1.21.0,,2017-06-21 08:09:04.953511,,4.0
