create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile_control_cond1,infile_control_cond1_filetype,infile_control_cond2,infile_control_cond2_filetype,infile_pileup_cond1,infile_pileup_cond1_filetype,infile_pileup_cond2,infile_pileup_cond2_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.cutoff,parameters.dbkey,parameters.depth1,parameters.depth2,parameters.infile_control_cond1,parameters.infile_control_cond1.values,parameters.infile_control_cond2,parameters.infile_control_cond2.values,parameters.infile_pileup_cond1,parameters.infile_pileup_cond1.values,parameters.infile_pileup_cond2,parameters.infile_pileup_cond2.values,parameters.maxgap,parameters.minlen,parameters.outputs,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-04-26 10:12:16.581643,slurm_normal,1461665980.0,0,1.0,main_w2_handler0,2673763,12621335,False,625281041,bedgraph,615903330,bedgraph,1399853743,bedgraph,1064795070,bedgraph,,6824330.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""1.0""","""?""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58a55f9d19ba48d30'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b595c0de9fc3bd0a6b'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53abcf8a64187b1f3'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50e62036699d9496b'}]","""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",32.0,,29659645,1461665556.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-26 10:19:43.184475,82711.0,424.0
2016-03-10 14:02:41.725611,slurm_normal,1457618666.0,0,1.0,main_w1_handler2,2557147,12095778,False,200585627,bedgraph,195383617,bedgraph,208142782,bedgraph,211901828,bedgraph,,6320134.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1.0""","""hg19""","""1""","""1""",23765648,,23765645,,23779080,,23779067,,"""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",32.0,,28903436,1457618583.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-10 14:04:31.313973,76207.0,83.0
2016-03-10 14:03:18.846628,slurm_normal,1457618710.0,0,1.0,main_w1_handler0,2557147,12095786,False,200585627,bedgraph,194866401,bedgraph,208142782,bedgraph,202215351,bedgraph,,6320143.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1.0""","""hg19""","""1""","""1""",23765648,,23765647,,23779080,,23779070,,"""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",32.0,,28903436,1457618628.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-10 14:05:11.887107,76207.0,82.0
2016-03-10 14:03:37.629951,slurm_normal,1457618836.0,0,1.0,main_w1_handler0,2557147,12095790,False,200585627,bedgraph,195769553,bedgraph,208142782,bedgraph,216380976,bedgraph,,6320146.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1.0""","""hg19""","""1""","""1""",23765648,,23765646,,23779080,,23779075,,"""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",32.0,,28903436,1457618641.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-03-10 14:07:18.080822,76207.0,195.0
2016-04-27 20:59:02.178785,slurm_normal,1461791182.0,0,1.0,main_w1_handler1,2673763,12657932,False,625281041,bedgraph,615903330,bedgraph,1399053284,bedgraph,1063905827,bedgraph,,6857842.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""1.0""","""?""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54d9284aac3780f2f'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b506173af97391bcc0'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fe98f0000312eba8'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5306993fdd503ed40'}]","""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",32.0,,29659645,1461790762.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-27 21:06:24.879163,82711.0,420.0
2016-06-18 19:51:09.005537,slurm_normal,1466280016.0,0,1.0,main_w1_handler1,2737285,13200320,False,796492767,bedgraph,808791510,bedgraph,1715899256,bedgraph,1399846759,bedgraph,,7384850.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""1.0""","""mm10""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5897e3818301aca5e'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53de95c1a80a35e9d'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d25eca79e40c2aad'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53c9ec79ed89ef3ce'}]","""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",32.0,,30424382,1466279484.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-06-18 20:00:17.541195,54046.0,532.0
2016-05-02 11:39:10.509683,slurm_normal,1462189571.0,0,1.0,main_w2_handler0,2673763,12730513,False,625281041,bedgraph,615903330,bedgraph,1399053284,bedgraph,1063905827,bedgraph,,6929407.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""1.0""","""?""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51270c7c22e9848c7'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f3f593fb5c3e0d38'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a6505127e0f3d54f'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54937c35a866e0169'}]","""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",32.0,,29659645,1462189205.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-05-02 11:46:16.277032,82711.0,366.0
2016-04-30 14:34:01.192547,slurm_normal,1462027555.0,0,1.0,main_w1_handler1,2682550,12696603,False,1345078587,bedgraph,1362304511,bedgraph,1342901860,bedgraph,1224339915,bedgraph,,6903893.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""1.0""","""mm9""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52faa120ffdb669c6'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5734b85911066c93a'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e25eb2e5ba8db694'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54f79e7649ba750ff'}]","""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",32.0,,29256465,1462026886.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-04-30 14:45:56.673216,69478.0,669.0
2016-05-01 09:08:13.350718,slurm_normal,1462094722.0,0,1.0,main_w2_handler0,2679224,12709198,False,3484716575,bedgraph,2805627482,bedgraph,1494519616,bedgraph,1230239388,bedgraph,,6912847.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""1.0""","""mm10""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5da838537c3d5dcf4'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a58bd9a8f0080c63'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53f412264f3977437'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55e94bb6c115df13d'}]","""100""","""200""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",32.0,,29622228,1462093728.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-05-01 09:25:25.500542,57113.0,994.0
2016-10-13 14:02:58.858281,slurm_normal,1476367653.0,0,1.0,main_w4_handler1,2810806,14073516,False,386458182,bedgraph,422104541,bedgraph,469885997,bedgraph,438163935,bedgraph,,8290378.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/016/481/dataset_16481201.dat""","""0.01""","""SC5314_A19""","""1""","""1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5befc4dad3b11c923'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52abe96520beda994'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c4fce176eb3e6be6'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a5fd257f72bc9d93'}]","""1000""","""1500""","[""--ofile-cond1"", ""--ofile-cond2"", ""--ofile-both-conditions""]",32.0,,33519497,1476367389.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgdiff/2.1.0.20151222.0,2.1.0.20151222.0,,2016-10-13 14:07:36.671903,77683.0,264.0
