chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.minlen,parameters.minoe,parameters.minpc,parameters.window,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-10-10 11:00:44.735403,slurm_normal,1476097321.0,0.0,1.0,main_w3_handler0,2849061,14044163,False,,3878,fasta,8261439.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57d8e6282cd47bae6'}]","""200""","""0.6""","""50.0""","""100""",32.0,,33568444.0,1476097295.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2016-10-10 11:02:03.719891,,26.0
,,2016-12-01 11:26:53.095551,slurm_normal,1480591628.0,0.0,1.0,main_w3_handler0,2914056,14460676,False,,15971,fasta,8654866.roundup,slurm,,132112168.0,corral-repl,,"""09a2873cb7b911e6a564005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27456310}]","""200""","""0.6""","""50.0""","""100""",32.0,,,1480591624.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2016-12-01 11:27:10.841565,91461.0,4.0
,,2016-12-01 11:24:16.532967,slurm_normal,1480591473.0,0.0,1.0,main_w3_handler1,2841327,14460637,False,,15971,fasta,8654823.roundup,slurm,,132112168.0,corral-repl,,"""ae1f2fdcb7b811e6aea5005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27456310}]","""200""","""0.6""","""50.0""","""100""",32.0,,,1480591468.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2016-12-01 11:24:36.509890,91461.0,5.0
,,2016-12-01 11:25:10.469632,slurm_normal,1480591531.0,0.0,1.0,main_w3_handler1,2914054,14460656,False,,15971,fasta,8654846.roundup,slurm,,132111800.0,corral-repl,,"""cd7f4858b7b811e6ad10005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27456310}]","""200""","""0.6""","""50.0""","""100""",32.0,,,1480591526.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2016-12-01 11:25:34.048815,91461.0,5.0
,,2017-05-31 05:17:45.718725,slurm_normal,1496208715.0,0.0,1.0,main_w4_handler0,3035364,15975114,False,,12199998,fasta,10070838.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29827441}]","""200""","""0.6""","""50.0""","""100""",32.0,,37537205.0,1496208694.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2017-05-31 05:41:11.801275,102258.0,21.0
,,2016-12-13 11:16:10.482111,slurm_normal,1481627782.0,0.0,1.0,main_w4_handler0,2928578,14563378,False,,1456358,fasta,8742622.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 27613699}]","""200""","""0.6""","""50.0""","""100""",32.0,,34822650.0,1481627774.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2016-12-13 11:16:25.036566,93176.0,8.0
,,2016-12-14 14:42:15.916808,slurm_normal,1481726550.0,0.0,1.0,main_w4_handler1,2929923,14575154,False,,41378,fasta,8754515.roundup,slurm,,132112168.0,corral-repl,,"""7e253418c20b11e692c5005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27632664}]","""200""","""0.6""","""50.0""","""100""",32.0,,,1481726545.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2016-12-14 14:42:32.743487,91460.0,5.0
,,2016-12-15 10:47:43.561892,slurm_normal,1481798872.0,0.0,1.0,main_w3_handler0,2930877,14582162,False,,43275,fastqsanger,8761506.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27642882}]","""300""","""0.6""","""50.0""","""300""",32.0,,34865821.0,1481798867.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2016-12-15 10:47:54.933535,91221.0,5.0
,,2016-12-15 10:50:25.218822,slurm_normal,1481799034.0,0.0,1.0,main_w3_handler1,2930877,14582193,False,,43275,fastqsanger,8761535.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27642882}]","""200""","""0.6""","""50.0""","""100""",32.0,,34865821.0,1481799029.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2016-12-15 10:50:36.947695,91221.0,5.0
,,2016-12-19 11:04:47.546996,slurm_normal,1482145497.0,0.0,1.0,main_w4_handler0,2934086,14606900,False,,16987,fasta,8784006.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27681667}]","""50""","""0.6""","""50.0""","""25""",32.0,,33334240.0,1482145490.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: cpgplot15/5.0.0,5.0.0,,2016-12-19 11:04:59.516598,64024.0,7.0
