chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.alternative,parameters.box,parameters.boxcol,parameters.boxcolval,parameters.ccolours,parameters.chromInfo,parameters.cidentity,parameters.collision,parameters.consensus,parameters.cother,parameters.csimilarity,parameters.dbkey,parameters.docolour,parameters.identity,parameters.input1,parameters.input1.values,parameters.listoptions,parameters.maxnamelen,parameters.name,parameters.number,parameters.pair,parameters.portrait,parameters.resbreak,parameters.residuesperline,parameters.showscore,parameters.title,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-09-21 07:47:16.051427,slurm_normal,1442821709.0,0.0,1.0,main_w2_handler0,2441976,10370967,False,,321556,fasta,4652039.roundup,slurm,,132112168.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""RED""","""yes""","""no""","""BLACK""","""GREEN""","""?""","""no""","""0""",21144948,,"""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""no""","""50""","""50""","""-1""","""yes""",32.0,,25184088,1442821654.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2015-09-21 07:48:31.176493,69306.0,55.0
,,2015-09-01 10:38:10.621829,slurm_normal,1441103912.0,0.0,1.0,main_w1_handler0,2424994,10235714,False,,2424,fasta,4515007.roundup,slurm,,132112168.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""RED""","""yes""","""no""","""BLACK""","""GREEN""","""?""","""no""","""0""",20971637,,"""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""no""","""50""","""50""","""-1""","""yes""",32.0,,24949577,1441103907.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2015-09-01 10:38:37.164494,17910.0,5.0
,,2015-11-03 00:02:32.328677,slurm_normal,1446509012.0,0.0,1.0,main_w1_handler2,2493350,10801811,False,,1963,fasta,5057039.roundup,slurm,,132112168.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""RED""","""yes""","""no""","""BLACK""","""GREEN""","""?""","""no""","""0""",21851740,,"""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""no""","""90""","""90""","""-1""","""yes""",32.0,,26054946,1446508979.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2015-11-03 00:03:34.770159,,33.0
,,2015-11-03 15:27:33.448984,slurm_normal,1446564478.0,0.0,1.0,main_w1_handler0,1372215,10807516,False,,9001,fasta,5063048.roundup,slurm,,132112168.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""RED""","""yes""","""no""","""BLACK""","""GREEN""","""?""","""no""","""0""",21843216,,"""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""no""","""50""","""50""","""-1""","""yes""",32.0,,25915693,1446564468.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2015-11-03 15:28:00.495791,32813.0,10.0
,,2016-02-02 14:48:30.829224,slurm_normal,1454424542.0,0.0,1.0,main_w1_handler2,2586086,11681659,False,,7387,clustal,5935115.roundup,slurm,,132112168.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""RED""","""yes""","""no""","""BLACK""","""GREEN""","""?""","""no""","""0""",23142738,,"""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""no""","""50""","""50""","""-1""","""yes""",32.0,,28027358,1454424535.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2016-02-02 14:49:10.838681,,7.0
,,2016-02-02 14:46:47.879636,slurm_normal,1454424435.0,0.0,1.0,main_w2_handler1,2586086,11681642,False,,8026,clustal,5935059.roundup,slurm,,132112168.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""RED""","""yes""","""no""","""BLACK""","""GREEN""","""?""","""no""","""0""",23142699,,"""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""no""","""50""","""50""","""-1""","""yes""",32.0,,28027358,1454424425.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2016-02-02 14:47:18.895722,,10.0
,,2016-02-10 22:20:50.664874,slurm_normal,1455143766.0,0.0,1.0,main_w1_handler1,2585895,11783010,False,,2174160,txt,6037240.roundup,slurm,,132112168.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""RED""","""yes""","""no""","""BLACK""","""GREEN""","""?""","""no""","""0""",23287275,,"""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""no""","""50""","""50""","""-1""","""yes""",32.0,,28060438,1455142869.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2016-02-10 22:36:07.608540,77867.0,897.0
,,2016-03-02 14:30:29.131976,slurm_normal,1456929086.0,0.0,1.0,main_w1_handler2,2604730,11994521,False,,115199,fasta,6223046.roundup,slurm,,132112168.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""BLUE""","""yes""","""yes""","""BLACK""","""YELLOW""","""?""","""no""","""0""",23606950,,"""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""no""","""50""","""50""","""-1""","""yes""",32.0,,28479364,1456929052.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2016-03-02 14:31:30.832489,78906.0,34.0
,,2016-03-02 16:18:09.458232,slurm_normal,1456935646.0,0.0,1.0,main_w1_handler1,2604730,11996724,False,,343903,fasta,6224450.roundup,slurm,,132112168.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""RED""","""yes""","""no""","""BLACK""","""GREEN""","""?""","""no""","""0""",23606639,,"""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""no""","""50""","""50""","""-1""","""yes""",32.0,,28479364,1456935512.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2016-03-02 16:20:50.934384,78906.0,134.0
,,2016-04-12 14:52:49.432044,slurm_normal,1460473867.0,0.0,1.0,main_w1_handler2,2666928,12431949,False,,8725,txt,6632136.roundup,slurm,,132112168.0,corral-repl,,"""0""","""yes""","""no""","""GREY""","""yes""","""/galaxy-repl/localdata/chrom/?.len""","""RED""","""yes""","""no""","""BLACK""","""GREEN""","""?""","""no""","""0""",24274545,,"""yes""","""10""","""yes""","""yes""","""1.5,1.0,0.5""","""no""","""50""","""50""","""-1""","""yes""",32.0,,29562126,1460473828.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: prettyplot79/5.0.0,5.0.0,,2016-04-12 15:11:18.598059,82373.0,39.0
