create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB1,inputB1_filetype,inputB2,inputB2_filetype,inputB3,inputB3_filetype,inputB4,inputB4_filetype,inputB5,inputB5_filetype,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.addition,parameters.addition2.__current_case__,parameters.addition2.addition2_select,parameters.addition2.fd,parameters.addition2.fu,parameters.addition2.id,parameters.addition2.iu,parameters.chromInfo,parameters.dbkey,parameters.inputA.values,parameters.inputB.values,parameters.io,parameters.k,parameters.mdb,parameters.strand,parameters.ties,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-12 08:48:56.834083,slurm_normal,1476262143.0,0,1.0,main_w3_handler0,2808802,14061850,False,,43255,bed,33687,33687,bed,,,,,,,,,bed,8278597.roundup,slurm,,132112168.0,corral-repl,,"""true""",0,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5bd948588c62cc191'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d298bd3ffc9d9856'}]","""false""","""1""","""each""","""""","""all""",32.0,,33601562,1476262140.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.24.0,2.24.0,,2016-10-12 08:49:04.655167,88896.0,3.0
2016-10-12 08:24:46.945041,slurm_normal,1476260715.0,0,1.0,main_w3_handler0,2808802,14061653,False,,11268,bed,33687,33687,bed,,,,,,,,,bed,8278388.roundup,slurm,,132112168.0,corral-repl,,"""true""",0,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b520655c6a33f975e7'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d298bd3ffc9d9856'}]","""false""","""1""","""each""","""""","""all""",32.0,,33601562,1476260691.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.24.0,2.24.0,,2016-10-12 08:25:20.158537,88896.0,24.0
2016-10-12 09:00:54.471213,slurm_normal,1476262861.0,0,1.0,main_w3_handler0,2808802,14062018,False,,133676,bed,33687,33687,bed,,,,,,,,,bed,8278697.roundup,slurm,,132112168.0,corral-repl,,"""true""",0,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5eb1953f6dde67eef'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d298bd3ffc9d9856'}]","""false""","""1""","""each""","""""","""all""",32.0,,33601562,1476262858.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.24.0,2.24.0,,2016-10-12 09:01:03.770583,88896.0,3.0
2016-10-12 08:37:26.834492,slurm_normal,1476261492.0,0,1.0,main_w4_handler0,2808802,14061775,False,,53211,bed,33687,33687,bed,,,,,,,,,bed,8278510.roundup,slurm,,132112168.0,corral-repl,,"""true""",0,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b512c2038ca75aa64f'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d298bd3ffc9d9856'}]","""false""","""1""","""each""","""""","""all""",32.0,,33601562,1476261450.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.24.0,2.24.0,,2016-10-12 08:38:13.968270,88896.0,42.0
2016-10-12 09:09:33.048673,slurm_normal,1476263403.0,0,1.0,main_w4_handler0,2808802,14062068,False,,704079,bed,33687,33687,bed,,,,,,,,,bed,8278738.roundup,slurm,,132112168.0,corral-repl,,"""true""",0,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b597b48d82679760a7'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d298bd3ffc9d9856'}]","""false""","""1""","""each""","""""","""all""",32.0,,33601562,1476263376.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.24.0,2.24.0,,2016-10-12 09:10:06.393743,88896.0,27.0
2016-10-12 17:14:41.352346,slurm_normal,1476294427.0,0,1.0,main_w4_handler1,2850982,14065840,False,,116963244,gtf,213069,213069,bed,,,,,,,,,bed,8282968.roundup,slurm,,132112168.0,corral-repl,,"""true""",0,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5656c080f4fc5e447'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b541b3cf0d711d544a'}]","""false""","""1""","""each""","""""","""all""",32.0,,33504618,1476294395.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.24.0,2.24.0,,2016-10-12 17:47:10.434676,89972.0,32.0
2016-10-13 11:16:13.472489,slurm_normal,1476357389.0,0,1.0,main_w4_handler1,2850982,14072276,False,,213069,bed,116963244,116963244,gtf,,,,,,,,,gtf,8289235.roundup,slurm,,132112168.0,corral-repl,,"""false""",0,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b541b3cf0d711d544a'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5656c080f4fc5e447'}]","""false""","""1""","""each""","""""","""all""",32.0,,33504618,1476357382.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.24.0,2.24.0,,2016-10-13 11:16:31.399352,89972.0,7.0
2016-10-13 17:16:32.059742,slurm_normal,1476379037.0,0,1.0,main_w4_handler0,2850982,14075195,False,,115377,bed,116963244,116963244,gtf,,,,,,,,,gtf,8292023.roundup,slurm,,132112168.0,corral-repl,,"""false""",0,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5836ae9ca863e82d0'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5656c080f4fc5e447'}]","""false""","""1""","""each""","""""","""all""",32.0,,33655044,1476379028.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.24.0,2.24.0,,2016-10-13 17:17:26.761643,89972.0,9.0
2017-03-19 12:56:22.101388,slurm_normal,1489928192.0,0,1.0,main_w4_handler1,1120822,15335582,False,,284082,bed,135907,135907,bed,,,,,,,,,bed,9475762.roundup,slurm,,132112168.0,corral-repl,,"""true""",3,b,false,false,false,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28825140}]","[{'src': 'hda', 'id': 28825149}]","""false""","""1""","""each""","""""","""first""",32.0,,36538724,1489928186.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.24.0,2.24.0,,2017-03-19 12:56:33.730561,26064.0,6.0
2016-10-14 17:37:19.152700,slurm_normal,1476466682.0,0,1.0,main_w3_handler0,2850982,14084128,False,,87072,bed,116963244,116963244,gtf,,,,,,,,,gtf,8300835.roundup,slurm,,132112168.0,corral-repl,,"""false""",0,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b55ca1c995bbc68977'}]","[{'src': 'hda', 'id': 'bbd44e69cb8906b5656c080f4fc5e447'}]","""false""","""1""","""each""","""""","""all""",32.0,,33655044,1476466643.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_closestbed/2.24.0,2.24.0,,2016-10-14 17:38:32.038026,89972.0,39.0
