create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.genome,parameters.genome.values,parameters.input,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-04-26 15:08:26.816787,slurm_normal,1461683329.0,0,1.0,72693263,gtf,main_w1_handler1,2681984,12624225,False,,146,bed,6827375.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53eebc5d92669e74b'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b576893543316afd55'}]",32.0,,29565737,1461683324.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.22.0,2.22.0,,2016-04-26 15:08:51.741400,69385.0,5.0
2016-04-27 04:03:09.772829,slurm_normal,1461729809.0,0,1.0,1271260,gff3,main_w1_handler0,2686002,12638030,False,,1271260,gff3,6839914.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cbd9711fe06a2860'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cbd9711fe06a2860'}]",32.0,,29858374,1461729806.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.22.0,2.22.0,,2016-04-27 04:03:30.931551,,3.0
2016-04-27 04:04:30.555352,slurm_normal,1461729923.0,0,1.0,3148031,tabular,main_w2_handler1,2686002,12638039,False,,0,gff3,6839961.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57025d4bc84d328b1'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ceb6c0eb2d8a7c52'}]",32.0,,29858374,1461729920.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.22.0,2.22.0,,2016-04-27 04:05:29.536836,,3.0
2016-04-27 04:21:48.066452,slurm_normal,1461730930.0,0,1.0,2664,gg,main_w2_handler0,2686002,12638127,False,,1271260,gff3,6840155.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5847bb790fbd6505f'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cbd9711fe06a2860'}]",32.0,,29858374,1461730927.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.22.0,2.22.0,,2016-04-27 04:22:16.934127,,3.0
2016-04-27 04:37:36.356530,slurm_normal,1461731879.0,0,1.0,2958,gg,main_w1_handler2,2686002,12638200,False,,1271260,gff3,6840373.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b538e56e664be1c2c2'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cbd9711fe06a2860'}]",32.0,,29858374,1461731876.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.22.0,2.22.0,,2016-04-27 04:38:01.620516,,3.0
2016-04-27 04:43:22.607314,slurm_normal,1461732223.0,0,1.0,3399,gg,main_w1_handler0,2686002,12638235,False,,1271260,gff3,6840512.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59dacbfbee625ec3a'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cbd9711fe06a2860'}]",32.0,,29858374,1461732220.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.22.0,2.22.0,,2016-04-27 04:43:44.850345,,3.0
2016-01-27 04:55:11.338314,slurm_normal,1453870529.0,0,1.0,1971,bed,main_w1_handler1,2576475,11612344,False,,5854224,bed,5877045.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23053828,,23053827,,32.0,,27703513,1453870519.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.22.0,2.22.0,,2016-01-27 04:55:32.049920,,10.0
2016-04-29 19:28:44.044016,slurm_normal,1461958161.0,0,1.0,3399,gg,main_w1_handler1,2686002,12691673,False,,1239280,gff3,6893483.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59dacbfbee625ec3a'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fa19611e28291e1e'}]",32.0,,29858374,1461958158.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.22.0,2.22.0,,2016-04-29 19:29:25.829654,,3.0
2016-04-29 22:55:57.409707,slurm_normal,1461970587.0,0,1.0,445,gg,main_w1_handler2,2686002,12694504,False,,703678,gff3,6896359.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5830f941c198e6595'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ab79f0ce1517befe'}]",32.0,,29858374,1461970584.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.22.0,2.22.0,,2016-04-29 22:56:28.816668,,3.0
2016-05-09 09:26:41.181496,slurm_normal,1462809066.0,0,1.0,7476362,interval,main_w1_handler2,2698817,12829502,False,,1788,bed,7030480.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52e88c903a791e7af'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53082f2cca30a70da'}]",32.0,,30097033,1462786166.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_complementbed/2.22.0,2.22.0,,2016-05-09 15:51:10.301366,84055.0,22900.0
