chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-04-01 07:54:46.586789,rodeo_normal,1427874899.0,0,1.0,main_w2_handler1,2256407,9111065,False,,1111318,vcf,3396373.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19099110,32.0,,22190884,1427874896.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffixup/vcffixup/0.0.2,0.0.2,,2015-04-01 07:55:05.048032,,3.0
,,2015-03-28 21:19:59.382950,rodeo_normal,1427577635.0,0,1.0,main_w2_handler0,2236927,9074637,False,,84975344,vcf,3360909.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",19046947,32.0,,20941520,1427577609.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffixup/vcffixup/0.0.2,0.0.2,,2015-03-28 21:20:38.972263,50040.0,26.0
,,2015-03-28 21:20:14.803073,rodeo_normal,1427577650.0,0,1.0,main_w1_handler0,2236927,9074639,False,,83001782,vcf,3360912.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",19046941,32.0,,20941520,1427577626.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffixup/vcffixup/0.0.2,0.0.2,,2015-03-28 21:20:52.756688,50040.0,24.0
,,2015-03-28 23:50:20.162824,rodeo_normal,1427586654.0,0,1.0,main_w2_handler0,2236927,9075170,False,,76692263,vcf,3361553.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",19047547,32.0,,20941520,1427586629.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffixup/vcffixup/0.0.2,0.0.2,,2015-03-28 23:50:58.134591,50040.0,25.0
,,2015-03-28 23:50:12.816397,rodeo_normal,1427586645.0,0,1.0,main_w1_handler1,2236927,9075169,False,,74887431,vcf,3361552.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",19047545,32.0,,20941520,1427586621.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffixup/vcffixup/0.0.2,0.0.2,,2015-03-28 23:50:47.085385,50040.0,24.0
,,2015-03-28 23:40:37.098430,rodeo_normal,1427586089.0,0,1.0,main_w2_handler1,2236927,9075104,False,,100415653,vcf,3361510.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",19047483,32.0,,20941520,1427586049.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffixup/vcffixup/0.0.2,0.0.2,,2015-03-28 23:41:30.822877,50040.0,40.0
,,2015-03-29 02:07:42.925376,rodeo_normal,1427594911.0,0,1.0,main_w1_handler0,2236927,9075657,False,,83705347,vcf,3362094.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",19048476,32.0,,20941520,1427594876.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffixup/vcffixup/0.0.2,0.0.2,,2015-03-29 02:08:31.886179,50040.0,35.0
,,2015-03-29 02:14:07.451507,rodeo_normal,1427595294.0,0,1.0,main_w1_handler1,2236927,9075680,False,,69828876,vcf,3362122.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",19048526,32.0,,20941520,1427595269.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffixup/vcffixup/0.0.2,0.0.2,,2015-03-29 02:14:56.666843,50040.0,25.0
,,2015-03-29 03:20:26.125745,rodeo_normal,1427599268.0,0,1.0,main_w2_handler1,2252980,9075863,False,,78819311,vcf,3362305.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",19048738,32.0,,20941520,1427599242.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffixup/vcffixup/0.0.2,0.0.2,,2015-03-29 03:21:09.578749,50040.0,26.0
,,2015-03-29 02:13:55.284744,rodeo_normal,1427595275.0,0,1.0,main_w2_handler1,2236927,9075678,False,,68165573,vcf,3362121.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",19048525,32.0,,20941520,1427595253.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcffixup/vcffixup/0.0.2,0.0.2,,2015-03-29 02:14:37.586813,50040.0,22.0
