create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,inputs,inputs1,inputs10,inputs10_filetype,inputs11,inputs11_filetype,inputs12,inputs12_filetype,inputs13,inputs13_filetype,inputs14,inputs14_filetype,inputs15,inputs15_filetype,inputs16,inputs16_filetype,inputs17,inputs17_filetype,inputs18,inputs18_filetype,inputs19,inputs19_filetype,inputs1_filetype,inputs2,inputs20,inputs20_filetype,inputs21,inputs21_filetype,inputs22,inputs22_filetype,inputs23,inputs23_filetype,inputs24,inputs24_filetype,inputs25,inputs25_filetype,inputs26,inputs26_filetype,inputs27,inputs27_filetype,inputs28,inputs28_filetype,inputs29,inputs29_filetype,inputs2_filetype,inputs3,inputs30,inputs30_filetype,inputs31,inputs31_filetype,inputs32,inputs32_filetype,inputs33,inputs33_filetype,inputs34,inputs34_filetype,inputs35,inputs35_filetype,inputs36,inputs36_filetype,inputs37,inputs37_filetype,inputs38,inputs38_filetype,inputs3_filetype,inputs4,inputs4_filetype,inputs5,inputs5_filetype,inputs6,inputs6_filetype,inputs7,inputs7_filetype,inputs8,inputs8_filetype,inputs9,inputs9_filetype,inputs_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.filler,parameters.genome,parameters.genome.values,parameters.header,parameters.tag.__current_case__,parameters.tag.bedgraphs,parameters.tag.inputs,parameters.tag.inputs.values,parameters.tag.tag_select,parameters.zero,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tag|bedgraphs_0|input,tag|bedgraphs_0|input1,tag|bedgraphs_0|input1_filetype,tag|bedgraphs_0|input_filetype,tag|bedgraphs_1|input,tag|bedgraphs_1|input1,tag|bedgraphs_1|input1_filetype,tag|bedgraphs_1|input_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-01-28 09:19:26.909357,slurm_normal,1453972934.0,0,1.0,142162902,bedgraph,main_w1_handler2,2578770,11621014,False,,174740193.0,174740193.0,,,,,,,,,,,,,,,,,,,,,bedgraph,164322935.0,,,,,,,,,,,,,,,,,,,,,bedgraph,159195285.0,,,,,,,,,,,,,,,,,,,bedgraph,,,,,,,,,,,,,bedgraph,5885413.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""N/A""",23050714,,"""False""",0,,"23057672,23057673,23057675",,tag,"""True""",32.0,,27816558,1453972783.0,ok,1023996.0,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.22.0,2.22.0,,2016-01-28 09:22:16.424158,8483.0,151.0
2016-03-09 21:58:55.047925,slurm_normal,1457562379.0,0,1.0,3924,tabular,main_w1_handler2,2557147,12089786,False,,1410931231.0,1410931231.0,,,,,,,,,,,,,,,,,,,,,bedgraph,1371953241.0,,,,,,,,,,,,,,,,,,,,,bedgraph,1311326707.0,,,,,,,,,,,,,,,,,,,bedgraph,1781847338.0,bedgraph,,,,,,,,,,,bedgraph,6314205.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0""",23649610,,"""False""",0,,"23768332,23768333,23768379,23768398",,tag,"""True""",32.0,,28903436,1457560764.0,ok,1023996.0,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.22.0,2.22.0,,2016-03-09 22:26:27.284548,76207.0,1615.0
2016-04-26 23:41:59.399662,slurm_normal,1461714617.0,0,1.0,297665,bed,main_w2_handler0,2685618,12635490,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6835440.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""N/A""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58b35c92bed5935a4'}]","""true""",1,"[{'__index__': 0, 'custom_name': 'cov', 'input': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5e079da678ecd1d7f'}]}}, {'__index__': 1, 'custom_name': 'meth', 'input': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5b1389df52240284c'}]}}]",,,custom,"""false""",32.0,,29851072,1461714327.0,ok,1023996.0,569737775.0,569737775.0,bedgraph,bedgraph,651225332.0,651225332.0,bedgraph,bedgraph,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.22.0,2.22.0,,2016-04-26 23:50:22.386164,,290.0
2016-04-26 23:40:49.680876,slurm_normal,1461714309.0,0,1.0,925913559,bed,main_w2_handler1,2685618,12635467,False,Job output deleted by user before job completed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6835371.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""N/A""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a607288333b6a8bb'}]","""false""",1,"[{'__index__': 0, 'custom_name': 'cov', 'input': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5e079da678ecd1d7f'}]}}, {'__index__': 1, 'custom_name': 'meth', 'input': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5b1389df52240284c'}]}}]",,,custom,"""false""",32.0,,29851072,1461714067.0,ok,1023996.0,569737775.0,569737775.0,bedgraph,bedgraph,651225332.0,651225332.0,bedgraph,bedgraph,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.22.0,2.22.0,,2016-04-26 23:45:17.075912,,242.0
2015-12-31 14:12:37.550919,slurm_normal,1451571838.0,0,1.0,569115897,bedgraph,main_w1_handler2,2552083,11353840,False,,850989905.0,850989905.0,,,,,,,,,,,,,,,,,,,,,bedgraph,569115897.0,,,,,,,,,,,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bedgraph,5626772.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""N/A""",22698753,,"""False""",0,,"22698752,22698753",,tag,"""True""",32.0,,26489907,1451571433.0,ok,1023996.0,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.22.0,2.22.0,,2015-12-31 14:24:04.513779,29532.0,405.0
2016-04-29 13:30:49.631192,slurm_normal,1461936751.0,0,1.0,53665902,bedgraph,main_w1_handler2,2604190,12686300,False,,53665902.0,53665902.0,,,,,,,,,,,,,,,,,,,,,bedgraph,193675827.0,,,,,,,,,,,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bedgraph,6886370.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/main/files/013/033/dataset_13033344.dat""","""Vitis vinifera""","""N/A""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b555f597c89dce4ee2'}]","""false""",0,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b555f597c89dce4ee2'}, {'src': 'hda', 'id': 'bbd44e69cb8906b505c340056ef90b1d'}]",tag,"""true""",32.0,,28095600,1461936686.0,ok,1023996.0,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.22.0,2.22.0,,2016-04-29 13:32:34.544544,72243.0,65.0
2016-05-01 03:47:55.108487,slurm_normal,1462079105.0,0,1.0,715,tabular,main_w2_handler0,2690776,12705604,False,,9882108583.0,9882108583.0,,,,,,,,,,,,,,,,,,,,,bedgraph,9770497908.0,,,,,,,,,,,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bedgraph,6910740.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e8f03425a52e34eb'}]","""false""",0,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5175db86225682ab1'}, {'src': 'hda', 'id': 'bbd44e69cb8906b5cd7374b568311d15'}]",tag,"""true""",32.0,,29971824,1462074501.0,ok,1023996.0,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.22.0,2.22.0,,2016-05-01 05:05:12.096742,14166.0,4604.0
2016-05-01 12:08:28.395645,slurm_normal,1462108972.0,0,1.0,715,tabular,main_w1_handler0,2690776,12715343,False,,8595387367.0,8595387367.0,,,,,,,,,,,,,,,,,,,,,bedgraph,9770497908.0,,,,,,,,,,,,,,,,,,,,,bedgraph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bedgraph,6914662.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""danRer7""","""0""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e8f03425a52e34eb'}]","""false""",0,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b546336d95df229ac7'}, {'src': 'hda', 'id': 'bbd44e69cb8906b55dae68308d035b16'}]",tag,"""true""",32.0,,29973903,1462104553.0,ok,1023996.0,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.22.0,2.22.0,,2016-05-01 13:22:55.111131,14166.0,4419.0
2016-05-02 21:24:33.889479,slurm_normal,1462224611.0,0,1.0,244594,bed,main_w1_handler0,2685618,12739320,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6938967.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""N/A""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51c0e6669ffcca840'}]","""false""",1,"[{'__index__': 0, 'custom_name': 'GSM1027571_cov', 'input': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5337b7503cc9a1344'}]}}, {'__index__': 1, 'custom_name': 'GSM1027571_meth', 'input': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b51c975a128aec4ad8'}]}}]",,,custom,"""true""",32.0,,29851072,1462224315.0,ok,1023996.0,568357377.0,568357377.0,bedgraph,bedgraph,647366129.0,647366129.0,bedgraph,bedgraph,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.22.0,2.22.0,,2016-05-02 21:30:12.658904,,296.0
2016-05-02 21:42:14.534912,slurm_normal,1462225633.0,0,1.0,297665,bedgraph,main_w1_handler1,2685618,12740111,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6939299.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""N/A""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57a5e9e3688cbc5e8'}]","""false""",1,"[{'__index__': 0, 'custom_name': 'meth', 'input': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b51c975a128aec4ad8'}]}}, {'__index__': 1, 'custom_name': 'cov', 'input': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5337b7503cc9a1344'}]}}]",,,custom,"""false""",32.0,,29851072,1462225386.0,ok,1023996.0,647366129.0,647366129.0,bedgraph,bedgraph,568357377.0,568357377.0,bedgraph,bedgraph,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_unionbedgraph/2.22.0,2.22.0,,2016-05-02 21:47:17.488934,,247.0
