count,count_filetype,create_time,destination_id,end_epoch,exit_code,fasta_in,fasta_in_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,name_in,name_in_filetype,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.count.values,parameters.dbkey,parameters.dups,parameters.fasta_in.values,parameters.file.__current_case__,parameters.file.filetype,parameters.file.taxonomy.values,parameters.file.taxons,parameters.name_in.values,parameters.taxon,processor_count,runner_name,session_id,start_epoch,state,swaptotal,taxonomy,taxonomy_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
229292.0,mothur.count_table,2017-12-17 16:35:37.038295,slurm_normal,1513528551.0,0,1110368.0,fasta,,1.0,main_w4_handler1,3368213,17830704,False,,11904195,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 32969662}]","""?""","""true""","[{'src': 'hda', 'id': 32969661}]",,,,,,"""Chloroplast;Mitochondria;unknown;Archaea;Eukaryota""",32.0,,42702488.0,1513528546.0,ok,1023996.0,387446,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_lineage/mothur_remove_lineage/1.36.1.0,1.36.1.0,,2017-12-17 16:35:53.090326,97420.0,5.0
640920.0,mothur.count_table,2017-12-18 17:18:36.495980,slurm_normal,1513617533.0,0,7316346.0,fasta,,1.0,main_w3_handler0,3361613,17839925,False,,11914225,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 32862349}]","""?""","""true""","[{'src': 'hda', 'id': 32862348}]",,,,,,"""Chloroplast-Mitochondria-unknown-Archaea-Eukaryota""",32.0,,41551881.0,1513617528.0,ok,1023996.0,2017151,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_lineage/mothur_remove_lineage/1.36.1.0,1.36.1.0,,2017-12-18 17:18:56.452235,50169.0,5.0
229292.0,mothur.count_table,2017-12-18 19:56:59.645936,reserved_normal,1513627037.0,0,1110368.0,fasta,,1.0,main_w3_handler1,3280912,17841254,False,,11915507.roundup,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 32992706}]","""?""","""true""","[{'src': 'hda', 'id': 32992705}]",,,,,,"""Chloroplast-Mitochondria-unknown-Archaea-Eukaryota""",32.0,,42691248.0,1513627030.0,ok,1023996.0,387469,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_lineage/mothur_remove_lineage/1.36.1.0,1.36.1.0,,2017-12-18 19:57:21.051933,5254.0,7.0
229292.0,mothur.count_table,2017-10-06 11:43:57.727633,slurm_normal,1507290252.0,0,1110368.0,fasta,,1.0,main_w4_handler0,3277547,17038774,False,,11095927.roundup,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31582398}]","""?""","""true""","[{'src': 'hda', 'id': 31582397}]",,,,,,"""Chloroplast-Mitochondria-unknown-Archaea-Eukaryota""",32.0,,39823809.0,1507290247.0,ok,1023996.0,387347,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_lineage/mothur_remove_lineage/1.36.1.0,1.36.1.0,,2017-10-06 11:44:18.791666,29532.0,5.0
229292.0,mothur.count_table,2017-10-06 20:16:54.508758,slurm_normal,1507321034.0,0,1110368.0,fasta,,1.0,main_w3_handler0,3278085,17043338,False,,11100643.roundup,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31589619}]","""?""","""true""","[{'src': 'hda', 'id': 31589618}]",,,,,,"""Chloroplast; Mitochondria; unknown; Archaea; Eukaryota""",32.0,,41097146.0,1507321030.0,ok,1023996.0,387486,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_lineage/mothur_remove_lineage/1.36.1.0,1.36.1.0,,2017-10-06 20:17:23.848814,112430.0,4.0
603285.0,mothur.count_table,2017-12-18 17:19:05.313556,slurm_normal,1513617564.0,0,6839471.0,fasta,,1.0,main_w3_handler0,3361613,17839927,False,,11914229,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 32862367}]","""?""","""true""","[{'src': 'hda', 'id': 32862366}]",,,,,,"""Chloroplast-Mitochondria-unknown-Archaea-Eukaryota""",32.0,,41551881.0,1513617559.0,ok,1023996.0,1899792,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_lineage/mothur_remove_lineage/1.36.1.0,1.36.1.0,,2017-12-18 17:19:27.686214,50169.0,5.0
643487.0,mothur.count_table,2017-12-18 17:19:28.212739,slurm_normal,1513617584.0,0,7560485.0,fasta,,1.0,main_w4_handler0,3361613,17839930,False,,11914234,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 32862371}]","""?""","""true""","[{'src': 'hda', 'id': 32862370}]",,,,,,"""Chloroplast-Mitochondria-unknown-Archaea-Eukaryota""",32.0,,41551881.0,1513617577.0,ok,1023996.0,2025984,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_lineage/mothur_remove_lineage/1.36.1.0,1.36.1.0,,2017-12-18 17:19:46.872924,50169.0,7.0
618926.0,mothur.count_table,2017-12-18 17:19:51.672786,slurm_normal,1513617603.0,0,7172090.0,fasta,,1.0,main_w3_handler1,3361613,17839932,False,,11914236,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 32862394}]","""?""","""true""","[{'src': 'hda', 'id': 32862393}]",,,,,,"""Chloroplast-Mitochondria-unknown-Archaea-Eukaryota""",32.0,,41551881.0,1513617599.0,ok,1023996.0,1949035,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_lineage/mothur_remove_lineage/1.36.1.0,1.36.1.0,,2017-12-18 17:20:07.054296,50169.0,4.0
2657825.0,mothur.count_table,2017-12-19 15:32:35.649683,slurm_normal,1513697576.0,0,31339453.0,fasta,,1.0,main_w3_handler1,3363441,17850361,False,,11923427,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 33005302}]","""?""","""true""","[{'src': 'hda', 'id': 33005301}]",,,,,,"""Chloroplast-Mitochondria-unknown-Archaea-Eukaryota""",32.0,,42668866.0,1513697565.0,ok,1023996.0,4612010,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_lineage/mothur_remove_lineage/1.36.1.0,1.36.1.0,,2017-12-19 15:32:58.258444,112430.0,11.0
37116854.0,mothur.count_table,2017-10-13 07:58:58.469082,slurm_normal,1507954155.0,0,344749343.0,fasta,,1.0,main_w3_handler1,3269217,17092982,False,,11156828.roundup,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31673209}]","""?""","""true""","[{'src': 'hda', 'id': 31673208}]",,,,,,"""Chloroplast-Mitochondria-unknown-Archaea-Eukaryota""",32.0,,40906309.0,1507954110.0,ok,1023996.0,49442919,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_lineage/mothur_remove_lineage/1.36.1.0,1.36.1.0,,2017-10-14 04:09:16.883855,20086.0,45.0
401443.0,mothur.count_table,2017-10-19 06:32:59.575399,slurm_normal,1508394849.0,0,4944303.0,fasta,,1.0,main_w4_handler0,3290738,17141859,False,,11199174,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31736159}]","""?""","""true""","[{'src': 'hda', 'id': 31736165}]",,,,,,"""Chloroplast-Mitochondria-Eukaryota-unknown""",32.0,,41381962.0,1508394842.0,ok,1023996.0,1049362,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_lineage/mothur_remove_lineage/1.36.1.0,1.36.1.0,,2017-10-19 06:34:20.814103,72172.0,7.0
1860.0,mothur.count_table,2017-10-19 08:14:25.039789,slurm_normal,1508400896.0,0,12906.0,fasta,,1.0,main_w4_handler0,3290680,17142446,False,,11200005,slurm,,132112168.0,,,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","[{'src': 'hda', 'id': 31735376}]","""?""","""true""","[{'src': 'hda', 'id': 31735382}]",,,,,,"""Chloroplast-Mitochondria-Eukaryota-unknown""",32.0,,41381962.0,1508400890.0,ok,1023996.0,4787,mothur.seq.taxonomy,toolshed.g2.bx.psu.edu/repos/iuc/mothur_remove_lineage/mothur_remove_lineage/1.36.1.0,1.36.1.0,,2017-10-19 08:15:08.190884,72172.0,6.0
