chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.d,parameters.dbkey,parameters.hist,parameters.inputA,parameters.inputA.values,parameters.inputA|__identifier__,parameters.inputB,parameters.inputB.values,parameters.inputB|__identifier__,parameters.split,parameters.strandedness,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
9.0,len,2016-02-22 12:31:39.134512,slurm_normal,1456144359.0,0,,1.0,main_w2_handler1,2543906,11898714,False,,91509098,bam,6052,gff3,6137747.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/014/047/dataset_14047423.dat""","""False""","""?""","""True""",23077381,,,23076991,,,"""False""","""False""",32.0,,27625641.0,1456144354.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-02-22 12:32:42.626463,75610.0,5.0
,,2016-02-24 10:14:54.223661,slurm_normal,1456309006.0,0,,1.0,main_w2_handler0,2574484,11918957,False,,209302073,bam,48637,bed,6156067.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""False""","""hg19""","""False""",23005310,,,23078825,,,"""False""","""True""",32.0,,28582574.0,1456308956.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-02-24 10:16:48.219406,41316.0,50.0
,,2017-03-06 17:56:20.982765,slurm_normal,1488823307.0,0,,1.0,main_w4_handler1,3020803,15222228,False,,45625425,bam,236418,bed,9370892.roundup,slurm,,132112168.0,corral-repl,,"""2f92c06a029611e781ab005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""true""","""hg19""","""false""",,"[{'src': 'hda', 'id': 28641984}]",,,"[{'src': 'hda', 'id': 28641917}]",,"""false""","""false""",32.0,,,1488823285.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2017-03-06 18:01:50.521023,100738.0,22.0
109.0,len,2016-02-24 17:11:54.742076,slurm_normal,1456334580.0,0,,1.0,main_w1_handler1,2494508,11930837,False,,3518250779,bed,26292403,bed,6159591.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/013/123/dataset_13123995.dat""","""False""","""?""","""False""",23499961,,,23369853,,,"""False""","""False""",32.0,,28418312.0,1456334047.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-02-24 17:23:06.782928,65515.0,533.0
,,2016-02-24 21:56:47.545459,slurm_normal,1456351077.0,0,,1.0,main_w2_handler1,2091805,11933002,False,,205992135,bam,20196,bed,6162026.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""False""","""hg38""","""False""",22229319,,,23503490,,,"""False""","""False""",32.0,,26485586.0,1456351054.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-02-24 21:58:01.469307,54581.0,23.0
,,2016-02-24 21:56:48.565485,slurm_normal,1456351084.0,0,,1.0,main_w1_handler1,2091805,11933003,False,,299686766,bam,20196,bed,6162025.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""False""","""hg38""","""False""",22229325,,,23503490,,,"""False""","""False""",32.0,,26485586.0,1456351054.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-02-24 21:58:08.352866,54581.0,30.0
,,2016-02-24 21:56:49.977610,slurm_normal,1456351096.0,0,,1.0,main_w2_handler0,2091805,11933004,False,,266119931,bam,20196,bed,6162023.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""False""","""hg38""","""False""",22229680,,,23503490,,,"""False""","""False""",32.0,,26485586.0,1456351044.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-02-24 21:58:19.907650,54581.0,52.0
,,2016-02-23 16:14:33.571471,slurm_normal,1456246975.0,0,,1.0,main_w1_handler1,2473073,11911846,False,,12058080,bed,275711,bed,6149849.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""False""","""hg19""","""False""",23435698,,,23475218,,,"""False""","""False""",32.0,,28566598.0,1456246759.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-02-23 17:03:01.958762,70907.0,216.0
,,2016-02-23 19:05:59.182242,slurm_normal,1456255802.0,0,,1.0,main_w1_handler1,2473073,11913089,False,,9828714,bed,275711,bed,6150676.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""False""","""hg18""","""False""",23477144,,,23475056,,,"""False""","""False""",32.0,,28566598.0,1456255613.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-02-23 19:30:08.766574,70907.0,189.0
,,2016-02-25 15:14:50.963019,slurm_normal,1456413547.0,0,,1.0,main_w1_handler2,2110713,11941839,False,,858312,bed,8683524,bed,6170890.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""False""","""hg19""","""False""",18268129,,,18271064,,,"""False""","""False""",32.0,,28615300.0,1456413349.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_coveragebed/2.22.1,2.22.1,,2016-02-25 15:19:12.226685,50589.0,198.0
