bait_bed,bait_bed_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.bait_bed,parameters.bait_bed.values,parameters.chromInfo,parameters.dbkey,parameters.input_file,parameters.input_file.values,parameters.out_prefix,parameters.target_bed,parameters.target_bed.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,target_bed,target_bed_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
102106080,interval,2015-03-16 10:18:37.935460,rodeo_normal,1426501495.0,0,1.0,main_w2_handler1,2229701,8955905,False,,6179810702,bam,3179864.roundup,slurm,,132112168.0,corral-repl,,,18867867,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18786629,,"""Picard HS Metrics""",18867867,,32.0,,21275000.0,1426501135.0,ok,1023996.0,102106080,interval,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardHsMetrics/1.56.0,1.56.0,,2015-03-16 10:25:04.811733,59391.0,360.0
50113082,interval,2015-03-17 08:34:05.559226,rodeo_normal,1426581599.0,0,1.0,main_w2_handler1,2232887,8964558,False,,4898931823,bam,3197046.roundup,slurm,,132112168.0,corral-repl,,,18803595,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18869365,,"""Picard HS Metrics""",18803595,,32.0,,21275000.0,1426581257.0,ok,1023996.0,50113082,interval,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardHsMetrics/1.56.0,1.56.0,,2015-03-17 08:40:03.198517,59391.0,342.0
50113082,interval,2015-03-17 10:27:53.424627,rodeo_normal,1426588376.0,0,1.0,main_w2_handler0,2232887,8965018,False,,4717319582,bam,3197903.roundup,slurm,,132112168.0,corral-repl,,,18803595,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18869364,,"""Picard HS Metrics""",18803595,,32.0,,21275000.0,1426588084.0,ok,1023996.0,50113082,interval,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardHsMetrics/1.56.0,1.56.0,,2015-03-17 10:33:00.461892,59391.0,292.0
11870396,interval,2015-03-23 08:41:42.070290,rodeo_normal,1427100512.0,0,1.0,main_w1_handler0,2235999,9011381,False,,6079763622,bam,3285253.roundup,slurm,,132112168.0,corral-repl,,,18931078,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18932666,,"""Picard HS Metrics""",18931078,,32.0,,21275000.0,1427100116.0,ok,1023996.0,11870396,interval,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardHsMetrics/1.56.0,1.56.0,,2015-03-23 08:48:33.918594,59391.0,396.0
102106080,interval,2015-03-23 10:59:44.435008,rodeo_normal,1427108701.0,0,1.0,main_w2_handler1,2245927,9012458,False,,6179810702,bam,3287262.roundup,slurm,,132112168.0,corral-repl,,,18958463,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18958462,,"""Picard HS Metrics""",18958463,,32.0,,21275000.0,1427108400.0,ok,1023996.0,102106080,interval,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardHsMetrics/1.56.0,1.56.0,,2015-03-23 11:05:08.083882,59391.0,301.0
11870396,interval,2015-03-20 08:48:14.263208,rodeo_normal,1426841577.0,0,1.0,main_w1_handler0,2232887,8994952,False,,4898931823,bam,3253625.roundup,slurm,,132112168.0,corral-repl,,,18930831,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18869365,,"""Picard HS Metrics""",18930831,,32.0,,21275000.0,1426841303.0,ok,1023996.0,11870396,interval,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardHsMetrics/1.56.0,1.56.0,,2015-03-20 08:53:01.027650,59391.0,274.0
24350286,interval,2015-03-20 09:15:13.559439,rodeo_normal,1426843249.0,0,1.0,main_w2_handler1,2232887,8995056,False,,4898931823,bam,3253825.roundup,slurm,,132112168.0,corral-repl,,,18930936,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18869365,,"""Picard HS Metrics""",18930831,,32.0,,21275000.0,1426842927.0,ok,1023996.0,11870396,interval,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardHsMetrics/1.56.0,1.56.0,,2015-03-20 09:20:52.045542,59391.0,322.0
24350286,interval,2015-03-20 09:05:32.031383,rodeo_normal,1426842627.0,0,1.0,main_w2_handler0,2232887,8995027,False,,4898931823,bam,3253772.roundup,slurm,,132112168.0,corral-repl,,,18930936,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18869365,,"""Picard HS Metrics""",18930936,,32.0,,21275000.0,1426842345.0,ok,1023996.0,24350286,interval,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardHsMetrics/1.56.0,1.56.0,,2015-03-20 09:10:32.648668,59391.0,282.0
24350286,interval,2015-03-20 09:42:02.394632,rodeo_normal,1426844828.0,0,1.0,main_w2_handler0,2232887,8995163,False,,4717319582,bam,3254047.roundup,slurm,,132112168.0,corral-repl,,,18930936,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18869364,,"""Picard HS Metrics""",18930936,,32.0,,21275000.0,1426844539.0,ok,1023996.0,24350286,interval,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardHsMetrics/1.56.0,1.56.0,,2015-03-20 09:47:11.972704,59391.0,289.0
11870396,interval,2015-07-27 12:20:41.355282,slurm_normal,1438000123.0,0,1.0,main_w1_handler0,2377980,10005533,False,,8753205950,bam,4287905.roundup,slurm,,132112168.0,corral-repl,,,20575317,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20575342,,"""Picard HS Metrics""",20575317,,32.0,,24336838.0,1437999664.0,ok,1023996.0,11870396,interval,toolshed.g2.bx.psu.edu/repos/devteam/picard/PicardHsMetrics/1.56.0,1.56.0,,2015-07-27 12:28:48.705592,59391.0,459.0
