create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_bam,input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_bam.values,parameters.option_set.__current_case__,parameters.option_set.change_identical,parameters.option_set.compute_cap,parameters.option_set.extended_baq,parameters.option_set.modify_quality,parameters.option_set.option_sets,parameters.reference_source.__current_case__,parameters.reference_source.ref_fasta,parameters.reference_source.ref_fasta.values,parameters.reference_source.reference_source_selector,processor_count,ref_fasta,ref_fasta_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-06-01 23:06:26.554603,slurm_normal,1496358696.0,0,,1.0,main_w4_handler1,3135574,15993800,False,,61072344,bam,10088447.roundup,slurm,,132112168.0,corral-repl,,"""ef31c886471e11e7b3dd005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29850835}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 29851448}]",history,32.0,5707.0,fasta,,,1496358660.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-06-01 23:11:41.973383,53244.0,36.0
2017-06-01 23:06:54.123010,slurm_normal,1496358706.0,0,,1.0,main_w3_handler0,3135576,15993805,False,,70770817,bam,10088450.roundup,slurm,,132112168.0,corral-repl,,"""fff8f054471e11e78cb7005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29851178}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 29851439}]",history,32.0,5707.0,fasta,,,1496358665.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-06-01 23:11:51.773067,53244.0,41.0
2017-06-02 05:40:00.193509,slurm_normal,1496382487.0,0,,1.0,main_w4_handler0,3135574,15995874,False,,61072344,bam,10090415.roundup,slurm,,132112168.0,corral-repl,,"""ea689762475511e7a4d0005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29850835}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 29851448}]",history,32.0,5707.0,fasta,,,1496382449.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-06-02 05:48:11.083399,53244.0,38.0
2017-06-02 05:36:49.920739,slurm_normal,1496382278.0,0,,1.0,main_w4_handler1,3135524,15995836,False,,139123125,bam,10090348.roundup,slurm,,132112168.0,corral-repl,,"""78cc2b96475511e7b828005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29845120}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 29851401}]",history,32.0,5709.0,fasta,,,1496382196.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-06-02 05:44:41.834150,53244.0,82.0
2017-06-02 05:38:23.672601,slurm_normal,1496382296.0,0,,1.0,main_w3_handler1,3135584,15995856,False,,78007862,bam,10090359.roundup,slurm,,132112168.0,corral-repl,,"""b0131970475511e7a4d0005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29850277}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 29851446}]",history,32.0,5707.0,fasta,,,1496382248.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-06-02 05:45:00.509270,53244.0,48.0
2017-06-02 05:39:06.314577,slurm_normal,1496382399.0,0,,1.0,main_w4_handler1,3135581,15995862,False,,36514184,bam,10090398.roundup,slurm,,132112168.0,corral-repl,,"""c97639a6475511e79b06005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29849741}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 29851410}]",history,32.0,5707.0,fasta,,,1496382370.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-06-02 05:46:41.510911,53244.0,29.0
2017-06-02 05:37:48.594153,slurm_normal,1496382340.0,0,,1.0,main_w3_handler0,3135350,15995848,False,,176669273,bam,10090356.roundup,slurm,,132112168.0,corral-repl,,"""9bb8b7aa475511e7ae44005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29847060}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 29851404}]",history,32.0,5709.0,fasta,,,1496382241.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-06-02 05:45:45.500812,53244.0,99.0
2017-06-02 05:36:09.128490,slurm_normal,1496382197.0,0,,1.0,main_w3_handler0,3135585,15995827,False,,72812518,bam,10090343.roundup,slurm,,132112168.0,corral-repl,,"""6016f87e475511e794f2005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29847683}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 29851408}]",history,32.0,5707.0,fasta,,,1496382155.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-06-02 05:43:26.382339,53244.0,42.0
2017-06-02 05:40:31.528340,slurm_normal,1496382665.0,0,,1.0,main_w4_handler1,3135576,15995883,False,,70770817,bam,10090446.roundup,slurm,,132112168.0,corral-repl,,"""fcd70e2e475511e7b623005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29851178}]",0,,,,,default,1,,"[{'src': 'hda', 'id': 29851439}]",history,32.0,5707.0,fasta,,,1496382623.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-06-02 05:51:10.294506,53244.0,42.0
2017-06-20 18:01:51.162558,slurm_normal,1497982537.0,0,,1.0,main_w3_handler0,3157388,16145772,False,,1843103646,bam,10224725.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30046958}]",1,false,false,false,false,advanced,1,,"[{'src': 'hda', 'id': 30046962}]",history,32.0,256886062.0,fasta,,38699871.0,1497981814.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-06-20 18:15:47.891339,63215.0,723.0
2017-06-20 18:37:39.294024,slurm_normal,1497984618.0,0,,1.0,main_w3_handler1,3157388,16146281,False,,1843103646,bam,10225190.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 30046958}]",1,true,false,false,false,advanced,1,,"[{'src': 'hda', 'id': 30046962}]",history,32.0,256886062.0,fasta,,38699871.0,1497983876.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_calmd/samtools_calmd/2.0.1,2.0.1,,2017-06-20 18:50:26.219210,63215.0,742.0
