accnos,accnos_filetype,create_time,destination_id,end_epoch,exit_code,fasta_in,fasta_in_filetype,galaxy_memory_mb,galaxy_slots,group_in,group_in_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fasta_in.values,parameters.group_in.values,parameters.groupnames.__current_case__,parameters.groupnames.accnos.values,parameters.groupnames.groups,parameters.groupnames.source,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-11-07 18:29:10.508890,slurm_normal,1510079747.0,0,35660565,fasta,,1.0,4370226,mothur.count_table,main_w4_handler1,3308920,17371551,False,,11429045,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32133801}]","[{'src': 'hda', 'id': 32133802}]",0,,['BF7_S9_L001_001'],groups,32.0,,41628482,1510079740.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-11-07 18:36:03.637378,110821.0,7.0
,,2017-11-08 03:40:49.081467,slurm_normal,1510112493.0,0,16865895,fasta,,1.0,2158884,mothur.count_table,main_w3_handler0,3315882,17376560,False,,11437865,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32141700}]","[{'src': 'hda', 'id': 32141701}]",0,,['BF7_S9_L001_001'],groups,32.0,,40487806,1510112488.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-11-08 03:41:38.912625,110860.0,5.0
,,2017-11-10 17:45:54.435504,slurm_normal,1510335963.0,0,1101918,fasta,,1.0,227833,mothur.count_table,main_w3_handler0,3307154,17412748,False,,11474586,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32234377}]","[{'src': 'hda', 'id': 32234378}]",0,,['Mock_S280_L001_001'],groups,32.0,,41917246,1510335957.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-11-10 17:46:05.184358,114886.0,6.0
,,2017-11-16 15:47:56.655943,slurm_normal,1510847361.0,0,7323757,fasta,,1.0,653433,mothur.count_table,main_w3_handler1,3318340,17483415,False,,11541248,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32351210}]","[{'src': 'hda', 'id': 32351211}]",0,,['515F806RL1_S25_L001_R_001'],groups,32.0,,41242785,1510847346.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-11-16 15:49:23.936955,113500.0,15.0
,,2017-11-18 13:03:21.423816,slurm_normal,1511010222.0,0,1101918,fasta,,1.0,227553,mothur.count_table,main_w4_handler0,3329759,17502181,False,,11562325,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32387238}]","[{'src': 'hda', 'id': 32387239}]",0,,['Mock'],groups,32.0,,42083511,1511010218.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-11-18 13:03:47.241407,113498.0,4.0
,,2018-03-06 13:01:26.974832,slurm_normal,1520341302.0,0,1101918,fasta,7680.0,1.0,227553,mothur.count_table,main_w3_handler0,3443094,18623297,False,,12719649,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34237679}]","[{'src': 'hda', 'id': 34237680}]",0,,['Mock'],groups,32.0,,44368180,1520341297.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2018-03-06 13:01:45.120867,122824.0,5.0
,,2018-01-12 12:25:35.603850,slurm_normal,1515759948.0,0,1152826,fasta,,1.0,228331,mothur.count_table,main_w3_handler0,3389937,18014651,False,,12091998,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33282915}]","[{'src': 'hda', 'id': 33282916}]",0,,['Mock'],groups,32.0,,43131654,1515759941.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2018-01-12 12:25:49.880782,119708.0,7.0
,,2018-01-12 17:05:42.646860,slurm_normal,1515776760.0,0,1101918,fasta,,1.0,227553,mothur.count_table,main_w3_handler1,3390534,18018906,False,,12096201,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33288630}]","[{'src': 'hda', 'id': 33288631}]",0,,['Mock'],groups,32.0,,43165624,1515776749.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2018-01-12 17:06:03.672125,119655.0,11.0
,,2018-01-12 21:17:54.969652,slurm_normal,1515791886.0,0,6761491,fasta,,1.0,1162789,mothur.count_table,main_w3_handler0,3390748,18022009,False,,12099480,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33294039}]","[{'src': 'hda', 'id': 33294040}]",0,,['Mock_'],groups,32.0,,43135597,1515791880.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2018-01-12 21:18:08.935908,113659.0,6.0
,,2017-12-03 01:26:20.929211,slurm_normal,1512264395.0,0,1101918,fasta,,1.0,227553,mothur.count_table,main_w3_handler0,3350100,17678632,False,,11741306,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32697754}]","[{'src': 'hda', 'id': 32697755}]",0,,['Mock'],groups,32.0,,42410454,1512264390.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-12-03 01:26:37.055186,117849.0,5.0
,,2018-01-17 14:32:49.977524,slurm_normal,1516199579.0,0,1101918,fasta,,1.0,227553,mothur.count_table,main_w4_handler1,3395242,18060681,False,,12138658,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33351559}]","[{'src': 'hda', 'id': 33351560}]",0,,['Mock'],groups,32.0,,43244112,1516199575.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2018-01-17 14:33:01.688276,120071.0,4.0
,,2018-03-07 04:10:25.567559,slurm_normal,1520395840.0,0,2885,fasta,7680.0,1.0,809,mothur.count_table,main_w3_handler1,3454614,18634039,False,,12730499,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34256683}]","[{'src': 'hda', 'id': 34256684}]",0,,"['C1-7d', 'C2-7d', 'C3-7d', 'C4-7d', 'C5-7d', 'M3-7d', 'M4-0d']",groups,32.0,,44392393,1520395836.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2018-03-07 04:10:45.062082,,4.0
,,2017-12-13 13:29:05.661502,slurm_normal,1513171762.0,0,16710177,fasta,,1.0,2139003,mothur.count_table,main_w3_handler1,3364120,17796657,False,,11865882,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 32900522}]","[{'src': 'hda', 'id': 32900524}]",0,,['BF7_S9_L001_001'],groups,32.0,,42631708,1513171756.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2017-12-13 13:29:24.634779,111190.0,6.0
,,2018-03-07 14:03:40.163675,slurm_normal,1520431432.0,0,1101918,fasta,7680.0,1.0,227553,mothur.count_table,main_w4_handler1,3454884,18639661,False,,12735732,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34265438}]","[{'src': 'hda', 'id': 34265439}]",0,,['Mock'],groups,32.0,,44061551,1520431428.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2018-03-07 14:03:57.171428,121507.0,4.0
1458988.0,mothur.accnos,2018-03-08 03:42:57.234309,slurm_normal,1520481917.0,0,51110574,fasta,7680.0,1.0,8271374,mothur.count_table,main_w3_handler0,3454832,18651029,False,,12746866,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34284407}]","[{'src': 'hda', 'id': 34284408}]",1,"[{'src': 'hda', 'id': 34282821}]",,accnos,32.0,,44402750,1520481894.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2018-03-08 04:05:20.356166,123524.0,23.0
,,2018-03-08 19:29:53.949356,slurm_normal,1520537489.0,0,1101918,fasta,7680.0,1.0,227553,mothur.count_table,main_w3_handler0,3456070,18662280,False,,12758369,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34303756}]","[{'src': 'hda', 'id': 34303757}]",0,,['Mock'],groups,32.0,,44477736,1520537483.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2018-03-08 19:31:35.187217,83708.0,6.0
,,2018-02-09 14:15:49.485813,slurm_normal,1518185770.0,0,1101918,fasta,7680.0,1.0,227553,mothur.count_table,main_w3_handler1,3423400,18329710,False,,12413991,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33774265}]","[{'src': 'hda', 'id': 33774266}]",0,,['Mock'],groups,32.0,,43800362,1518185765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2018-02-09 14:16:17.132248,121414.0,5.0
,,2018-02-21 15:04:11.204432,slurm_normal,1519225557.0,0,1101918,fasta,7680.0,1.0,227553,mothur.count_table,main_w4_handler1,3437028,18463641,False,,12558312,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33983441}]","[{'src': 'hda', 'id': 33983443}]",0,,['Mock'],groups,32.0,,43942353,1519225466.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2018-02-21 15:06:00.022005,122064.0,91.0
,,2018-02-22 03:51:46.654234,slurm_normal,1519271521.0,0,6879777,fasta,7680.0,1.0,1169170,mothur.count_table,main_w4_handler1,3396038,18477607,False,,12572157,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34004635}]","[{'src': 'hda', 'id': 34004636}]",0,,['Mock'],groups,32.0,,44080380,1519271517.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_get_groups/mothur_get_groups/1.36.1.0,1.36.1.0,,2018-02-22 03:52:05.278827,119338.0,4.0
