create_time,destination_id,end_epoch,exit_code,galaxy_slots,geneMap,geneMap_filetype,handler,history_id,id,imported,info,input_mate1,input_mate1_filetype,input_mate2,input_mate2_filetype,input_singles,input_singles_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.__workflow_invocation_uuid__,parameters.adv.biasSpeedSamp,parameters.adv.consistentHits,parameters.adv.coverage,parameters.adv.dumpEq,parameters.adv.extraSensitive,parameters.adv.fldMax,parameters.adv.fldMean,parameters.adv.fldSD,parameters.adv.forgettingFactor,parameters.adv.gcSizeSamp,parameters.adv.incompatPrior,parameters.adv.initUniform,parameters.adv.maxOcc,parameters.adv.maxReadOcc,parameters.adv.minLen,parameters.adv.noBiasLengthThreshold,parameters.adv.noEffectiveLengthCorrection,parameters.adv.noFragLengthDist,parameters.adv.numAuxModelSamples,parameters.adv.numBiasSamples,parameters.adv.numBootstraps,parameters.adv.numGibbsSamples,parameters.adv.numPreAuxModelSamples,parameters.adv.perTranscriptPrior,parameters.adv.sensitive,parameters.adv.splitSpanningSeeds,parameters.adv.splitWidth,parameters.adv.strictIntersect,parameters.adv.useVBOpt,parameters.adv.vbPrior,parameters.adv.writeMappings,parameters.adv.writeUnmappedNames,parameters.chromInfo,parameters.dbkey,parameters.gcBias,parameters.geneMap.values,parameters.input_mate1|__identifier__,parameters.input_mate2|__identifier__,parameters.perfectHash,parameters.quasi_orphans.__current_case__,parameters.quasi_orphans.allowOrphans,parameters.quasi_orphans.type,parameters.refTranscriptSource.TranscriptSource,parameters.refTranscriptSource.__current_case__,parameters.refTranscriptSource.kmerLen,parameters.refTranscriptSource.ownFile.values,parameters.sasamp,parameters.seqBias,parameters.single_or_paired.__current_case__,parameters.single_or_paired.input_mate1.values,parameters.single_or_paired.input_mate2.values,parameters.single_or_paired.input_singles.values,parameters.single_or_paired.orientation,parameters.single_or_paired.single_or_paired_opts,parameters.single_or_paired.strandedness,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-05-04 14:53:26.632382,slurm_normal,1493913892.0,0,1.0,,,main_w3_handler0,2648961,15749742,False,,16441664763.0,fastqsanger,16441664763.0,fastqsanger,,,9858526.roundup,slurm,,132112168.0,corral-repl,51007236,fasta,,,1,false,0.7,false,false,1000,200,80,0.65,1,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,false,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,,,"""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 24034688}]","""1""","""false""",1,"[{'src': 'hda', 'id': 24034668}]","[{'src': 'hda', 'id': 24034670}]",,I,paired,SF,32.0,,37199580.0,1493909701.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-05-04 16:04:55.196658,17244.0,4191.0
2017-05-04 19:25:05.058352,slurm_normal,1493929890.0,0,1.0,,,main_w3_handler0,3096404,15752092,False,,,,,,17399299316.0,fastqsanger,9860735.roundup,slurm,,132112168.0,corral-repl,538,fasta,,,1,false,0.7,false,false,1000,200,80,0.65,1,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,false,false,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","""false""",,,,"""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 29478098}]","""1""","""false""",0,,,"[{'src': 'hda', 'id': 29461439}]",,single,SF,32.0,,37298048.0,1493925911.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-05-04 20:31:34.180812,86668.0,3979.0
2017-05-05 12:41:58.090455,slurm_normal,1493992114.0,0,1.0,,,main_w3_handler1,3096404,15757968,False,,,,,,17399299316.0,fastqsanger,9866218.roundup,slurm,,132112168.0,corral-repl,155866128,fasta,,,1,false,0.7,false,false,1000,200,80,0.65,1,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,false,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,,,"""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 29485979}]","""1""","""false""",0,,,"[{'src': 'hda', 'id': 29461439}]",,single,U,32.0,,37298048.0,1493988122.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-05-05 13:48:37.374484,86668.0,3992.0
2017-05-05 14:52:00.419147,slurm_normal,1494000300.0,0,1.0,,,main_w4_handler1,3096404,15759094,False,,,,,,17399299316.0,fastqsanger,9867156.roundup,slurm,,132112168.0,corral-repl,171556642,fasta,,,1,false,0.7,false,false,1000,200,80,0.65,1,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,false,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,,,"""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 29486181}]","""1""","""false""",0,,,"[{'src': 'hda', 'id': 29461439}]",,single,U,32.0,,37298048.0,1493995925.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-05-05 16:05:06.553243,86668.0,4375.0
2017-05-05 16:28:22.898046,slurm_normal,1494003851.0,0,1.0,,,main_w3_handler1,3096404,15759913,False,,,,,,9726396108.0,fastqsanger,9867909.roundup,slurm,,132112168.0,corral-repl,155866128,fasta,,,1,false,0.7,false,false,1000,200,80,0.65,1,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,false,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,,,"""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 29485979}]","""1""","""false""",0,,,"[{'src': 'hda', 'id': 29461443}]",,single,U,32.0,,37298048.0,1494001718.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-05-05 17:04:15.661163,86668.0,2133.0
2017-05-05 16:10:00.849142,slurm_normal,1494003630.0,0,1.0,,,main_w3_handler1,3096404,15759755,False,,,,,,17399299316.0,fastqsanger,9867753.roundup,slurm,,132112168.0,corral-repl,50578697,fasta,,,1,false,0.7,false,false,1000,200,80,0.65,1,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,false,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,,,"""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 29486175}]","""1""","""false""",0,,,"[{'src': 'hda', 'id': 29461439}]",,single,U,32.0,,37298048.0,1494000606.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-05-05 17:00:34.921017,86668.0,3024.0
2017-05-05 17:22:44.587111,slurm_normal,1494006984.0,0,1.0,,,main_w3_handler1,3096404,15760347,False,,,,,,8601265227.0,fastqsanger,9868371.roundup,slurm,,132112168.0,corral-repl,155866128,fasta,,,1,false,0.7,false,false,1000,200,80,0.65,1,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,false,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,,,"""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 29485979}]","""1""","""false""",0,,,"[{'src': 'hda', 'id': 29455580}]",,single,U,32.0,,37298048.0,1494004969.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-05-05 17:56:38.581635,86668.0,2015.0
2017-05-05 23:04:54.194204,slurm_normal,1494028726.0,0,1.0,,,main_w4_handler0,3096404,15764559,False,,,,,,13491606586.0,fastqsanger,9872063.roundup,slurm,,132112168.0,corral-repl,171556642,fasta,,,1,false,0.7,false,false,1000,200,80,0.65,1,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,false,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,,,"""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 29486181}]","""1""","""false""",0,,,"[{'src': 'hda', 'id': 29461433}]",,single,U,32.0,,37298048.0,1494025499.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-05-05 23:58:48.522543,86668.0,3227.0
2017-05-05 23:05:22.081303,slurm_normal,1494028097.0,0,1.0,,,main_w4_handler0,3096404,15764565,False,,,,,,10665491859.0,fastqsanger,9872079.roundup,slurm,,132112168.0,corral-repl,155866128,fasta,,,1,false,0.7,false,false,1000,200,80,0.65,1,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,false,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,,,"""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 29485979}]","""1""","""false""",0,,,"[{'src': 'hda', 'id': 29460261}]",,single,U,32.0,,37298048.0,1494025525.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-05-05 23:48:20.116207,86668.0,2572.0
2017-05-05 23:06:51.175379,slurm_normal,1494027764.0,0,1.0,,,main_w3_handler0,3096404,15764572,False,,,,,,9128839860.0,fastqsanger,9872117.roundup,slurm,,132112168.0,corral-repl,171556642,fasta,,,1,false,0.7,false,false,1000,200,80,0.65,1,1e-20,false,200,100,19,false,false,false,5000000,2000000,0,0,1000000,false,false,false,0,false,false,0.001,false,false,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""false""",,,,"""false""",0,,quasi,history,1,31,"[{'src': 'hda', 'id': 29486181}]","""1""","""false""",0,,,"[{'src': 'hda', 'id': 29461436}]",,single,U,32.0,,37298048.0,1494025616.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/0.7.2,0.7.2,,2017-05-05 23:42:47.573810,86668.0,2148.0
