chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_bam,input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_bam|__identifier__,parameters.iterations,parameters.reference_source.__current_case__,parameters.reference_source.input_bam.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-06-20 00:21:06.248976,slurm_normal,1497923116.0,0,,1.0,main_w3_handler1,3164083,16137857,False,,523717,bam,10218265.roundup,slurm,,132112168.0,corral-repl,,"""50adda86554e11e79ab1005056a52a46""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"""5""",0,"[{'src': 'hda', 'id': 30088411}]",mm10,,cached,32.0,,,,,1497923100.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.0.2.29-1,1.0.2.29-1,,2017-06-20 01:45:19.093719,31580.0,16.0
,,2017-06-19 19:13:01.127974,slurm_normal,1497905482.0,0,,1.0,main_w3_handler1,3163687,16135703,False,,3315262,bam,10216420.roundup,slurm,,132112168.0,corral-repl,,"""479d4e7a552311e7b423005056a51846""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"""5""",0,"[{'src': 'hda', 'id': 30085214}]",mm10,,cached,32.0,,,,,1497905471.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.0.2.29-1,1.0.2.29-1,,2017-06-19 20:51:26.468709,31580.0,11.0
,,2017-06-27 15:13:03.349677,slurm_normal,1498584493.0,0,,1.0,main_w4_handler1,3173477,16200972,False,,969427,bam,10278964.roundup,slurm,,132112168.0,corral-repl,,"""0b28b97e5b4b11e7bf52005056a52a46""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"""5""",0,"[{'src': 'hda', 'id': 30181587}]",mm10,,cached,32.0,,,,,1498584482.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.0.2.29-1,1.0.2.29-1,,2017-06-27 17:28:16.221782,31580.0,11.0
,,2017-06-21 23:58:11.994586,slurm_normal,1498097914.0,0,,1.0,main_w4_handler1,3167288,16158704,False,,4062738,bam,10237658.roundup,slurm,,132112168.0,corral-repl,,"""73819a1256dd11e7ac99005056a51846""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"""5""",0,"[{'src': 'hda', 'id': 30118968}]",mm10,,cached,32.0,,,,,1498097908.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.0.2.29-1,1.0.2.29-1,,2017-06-22 02:18:37.762721,31580.0,6.0
,,2017-06-20 00:27:51.870321,slurm_normal,1497925522.0,0,,1.0,main_w3_handler1,3164092,16137950,False,,488170,bam,10218426.roundup,slurm,,132112168.0,corral-repl,,"""4357b22a554f11e7bd59005056a52a46""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"""5""",0,"[{'src': 'hda', 'id': 30088507}]",mm10,,cached,32.0,,,,,1497925518.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.0.2.29-1,1.0.2.29-1,,2017-06-20 02:25:25.690903,31580.0,4.0
,,2017-06-19 20:29:35.380335,slurm_normal,1497906937.0,0,,1.0,main_w3_handler1,3163773,16136469,False,,2210988,bam,10216601.roundup,slurm,,132112168.0,corral-repl,,"""fd6cf796552d11e781d1005056a51846""","""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"""5""",0,"[{'src': 'hda', 'id': 30086256}]",mm10,,cached,32.0,,,,,1497906891.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.0.2.29-1,1.0.2.29-1,,2017-06-19 21:15:41.957000,31580.0,46.0
,,2017-06-27 23:13:29.716415,slurm_normal,1498605355.0,0,,1.0,main_w4_handler1,3163111,16206011,False,,3559629,bam,10282413.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""23_S23_L001_001.fastq""","""5""",0,"[{'src': 'hda', 'id': 30188734}]",hg19,,cached,32.0,,,,38874638.0,1498605349.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.0.2.29-1,1.0.2.29-1,,2017-06-27 23:15:56.424744,78150.0,6.0
,,2017-06-27 23:13:28.528737,slurm_normal,1498605319.0,0,,1.0,main_w3_handler1,3163111,16206007,False,,3280842,bam,10282404.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""19_S19_L001_001.fastq""","""5""",0,"[{'src': 'hda', 'id': 30188726}]",hg19,,cached,32.0,,,,38874638.0,1498605313.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.0.2.29-1,1.0.2.29-1,,2017-06-27 23:15:22.571576,78150.0,6.0
,,2017-06-27 23:13:25.379006,slurm_normal,1498605313.0,0,,1.0,main_w3_handler1,3163111,16205997,False,,5057736,bam,10282401.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""9_S9_L001_001.fastq""","""5""",0,"[{'src': 'hda', 'id': 30188706}]",hg19,,cached,32.0,,,,38874638.0,1498605304.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.0.2.29-1,1.0.2.29-1,,2017-06-27 23:15:16.437147,78150.0,9.0
,,2017-06-27 23:13:29.043542,slurm_normal,1498605294.0,0,,1.0,main_w4_handler0,3163111,16206009,False,,7140434,bam,10282394.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""21_S21_L001_001.fastq""","""5""",0,"[{'src': 'hda', 'id': 30188730}]",hg19,,cached,32.0,,,,38874638.0,1498605276.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/freebayes/bamleftalign/1.0.2.29-1,1.0.2.29-1,,2017-06-27 23:14:57.081600,78150.0,18.0
