count,count_filetype,create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,name,name_filetype,object_store_id,param_filename,parameters.chromInfo,parameters.cluster,parameters.count.values,parameters.cutoff,parameters.dbkey,parameters.hard,parameters.large,parameters.method,parameters.precision,parameters.splitby.__current_case__,parameters.splitby.classic,parameters.splitby.fasta.values,parameters.splitby.matrix.__current_case__,parameters.splitby.matrix.dist.values,parameters.splitby.matrix.format,parameters.splitby.matrix.name.values,parameters.splitby.name.values,parameters.splitby.splitmethod,parameters.splitby.taxlevel,parameters.splitby.taxonomy.values,processor_count,runner_name,session_id,splitby|dist,splitby|dist_filetype,splitby|name,splitby|name_filetype,start_epoch,state,swaptotal,taxonomy,taxonomy_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-03-19 10:18:22.819305,slurm_normal,1489918711.0,0,,,1.0,main_w3_handler1,3027308,15335040,False,,9475238.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""false""",,"""0.0""","""?""","""true""","""false""","""average""","""100""",0,,,0.0,"[{'src': 'hda', 'id': 28747005}]",column,"[{'src': 'hda', 'id': 28747005}]",,distance,,,32.0,,36633601,61957421.0,fasta,61957421.0,fasta,1489918707.0,ok,1023996.0,,,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_cluster_split/1.28.0,1.28.0,,2017-03-19 10:18:34.295848,92765,4.0
,,2017-03-20 21:38:40.354157,slurm_normal,1490045930.0,0,121662600.0,fasta,1.0,main_w4_handler0,2961301,15348031,False,,9487401.roundup,slurm,,132112168.0,216348.0,tabular,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""false""",,"""0.0""","""?""","""true""","""false""","""average""","""100""",2,false,"[{'src': 'hda', 'id': 28343655}]",,,,,"[{'src': 'hda', 'id': 28848983}]",fasta,3,"[{'src': 'hda', 'id': 28848983}]",32.0,,36735873,,,,,1490045926.0,ok,1023996.0,216348.0,tabular,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_cluster_split/1.28.0,1.28.0,,2017-03-20 21:38:54.887635,95756,4.0
,,2017-04-20 16:22:10.069290,slurm_normal,1492705400.0,0,27110.0,fasta,1.0,main_w3_handler1,2953152,15637327,False,,9755255.roundup,slurm,,132112168.0,27110.0,fasta,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""false""",,"""0.0""","""?""","""true""","""false""","""average""","""100""",2,false,"[{'src': 'hda', 'id': 29296137}]",,,,,"[{'src': 'hda', 'id': 29296137}]",fasta,3,"[{'src': 'hda', 'id': 29296137}]",32.0,,36760514,,,,,1492705392.0,ok,1023996.0,27110.0,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_cluster_split/1.28.0,1.28.0,,2017-04-20 16:23:25.124883,80469,8.0
,,2017-04-20 16:22:06.707635,slurm_normal,1492705362.0,0,26593.0,fasta,1.0,main_w4_handler1,2953152,15637323,False,,9755244.roundup,slurm,,132112168.0,27110.0,fasta,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""false""",,"""0.0""","""?""","""true""","""false""","""average""","""100""",2,false,"[{'src': 'hda', 'id': 29296134}]",,,,,"[{'src': 'hda', 'id': 29296137}]",fasta,3,"[{'src': 'hda', 'id': 29296137}]",32.0,,36760514,,,,,1492705337.0,ok,1023996.0,27110.0,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_cluster_split/1.28.0,1.28.0,,2017-04-20 16:22:45.019421,80469,25.0
,,2017-04-20 16:22:08.980507,slurm_normal,1492705413.0,0,22766.0,fasta,1.0,main_w3_handler0,2953152,15637326,False,,9755261.roundup,slurm,,132112168.0,27110.0,fasta,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""false""",,"""0.0""","""?""","""true""","""false""","""average""","""100""",2,false,"[{'src': 'hda', 'id': 29296136}]",,,,,"[{'src': 'hda', 'id': 29296137}]",fasta,3,"[{'src': 'hda', 'id': 29296137}]",32.0,,36760514,,,,,1492705409.0,ok,1023996.0,27110.0,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_cluster_split/1.28.0,1.28.0,,2017-04-20 16:23:35.846174,80469,4.0
,,2017-04-20 16:22:07.823519,slurm_normal,1492705383.0,0,25110.0,fasta,1.0,main_w3_handler0,2953152,15637325,False,,9755249.roundup,slurm,,132112168.0,27110.0,fasta,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""false""",,"""0.0""","""?""","""true""","""false""","""average""","""100""",2,false,"[{'src': 'hda', 'id': 29296135}]",,,,,"[{'src': 'hda', 'id': 29296137}]",fasta,3,"[{'src': 'hda', 'id': 29296137}]",32.0,,36760514,,,,,1492705373.0,ok,1023996.0,27110.0,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_cluster_split/1.28.0,1.28.0,,2017-04-20 16:23:07.527439,80469,10.0
,,2017-06-08 06:57:57.805643,slurm_normal,1496905103.0,0,,,1.0,main_w4_handler1,2991328,16049520,False,,10139500.roundup,slurm,,132112168.0,,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""false""",,"""0.0""","""?""","""true""","""false""","""average""","""100""",0,,,0.0,"[{'src': 'hda', 'id': 29885048}]",column,"[{'src': 'hda', 'id': 29885048}]",,distance,,,32.0,,36584128,0.0,tabular,0.0,tabular,1496905098.0,ok,1023996.0,,,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_cluster_split/1.28.0,1.28.0,,2017-06-08 06:58:25.440712,92765,5.0
49244404.0,tabular,2017-05-17 02:11:50.951198,slurm_normal,1494987128.0,0,176870286.0,fasta,1.0,main_w3_handler0,3026093,15862940,False,,9963064.roundup,slurm,,132112168.0,40777172.0,mothur.ref.taxonomy,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""false""","[{'src': 'hda', 'id': 29640737}]","""0.15""","""?""","""true""","""false""","""average""","""100""",2,false,"[{'src': 'hda', 'id': 29640732}]",,,,,"[{'src': 'hda', 'id': 29640824}]",fasta,4,"[{'src': 'hda', 'id': 29640824}]",32.0,,38003630,,,,,1494987124.0,ok,1023996.0,40777172.0,mothur.ref.taxonomy,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_cluster_split/1.28.0,1.28.0,,2017-05-17 02:12:12.985256,37766,4.0
,,2017-05-17 14:04:07.381585,slurm_normal,1495029864.0,0,176870286.0,fasta,1.0,main_w3_handler0,3026093,15867545,False,,9968014.roundup,slurm,,132112168.0,26389.0,tabular,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""false""",,"""0.15""","""?""","""true""","""false""","""average""","""100""",2,false,"[{'src': 'hda', 'id': 29640732}]",,,,,"[{'src': 'hda', 'id': 29639525}]",fasta,4,"[{'src': 'hda', 'id': 29639525}]",32.0,,38003630,,,,,1495029860.0,ok,1023996.0,26389.0,tabular,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_cluster_split/1.28.0,1.28.0,,2017-05-17 14:04:29.412506,37766,4.0
,,2017-05-19 09:53:32.150920,slurm_normal,1495188520.0,0,253274864.0,fasta,1.0,main_w3_handler1,3102254,15888420,False,,9988230.roundup,slurm,,132112168.0,253274864.0,fasta,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""false""",,"""0.0""","""?""","""true""","""false""","""average""","""100""",2,false,"[{'src': 'hda', 'id': 29646965}]",,,,,"[{'src': 'hda', 'id': 29646965}]",fasta,3,"[{'src': 'hda', 'id': 29646965}]",32.0,,38072972,,,,,1495188515.0,ok,1023996.0,253274864.0,fasta,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_cluster_split/1.28.0,1.28.0,,2017-05-19 10:08:43.082090,106261,5.0
