create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.datasets,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1_chromCol,parameters.input1_column_types,parameters.input1_columns,parameters.input1_dbkey,parameters.input1_endCol,parameters.input1_nameCol,parameters.input1_startCol,parameters.input1_strandCol,parameters.input2_column_types,parameters.input2_columns,parameters.input2_dbkey,parameters.score_source_type.__current_case__,parameters.score_source_type.datasets,parameters.score_source_type.datasets.__class__,parameters.score_source_type.datasets.value,parameters.score_source_type.input2,parameters.score_source_type.input2.values,parameters.score_source_type.score_source,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-06-17 16:14:15.061496,slurm_normal,1466197458.0,0.0,,1.0,main_w1_handler0,2742045,13194000,False,,24,bed,3745728306.0,wig,7378728.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""",,"""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53d88930937690c29'}]",,,,,,,,,,,,1.0,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dabc54467b8bcfd5'}]",user,32.0,,30908249.0,1466180065.0,ok,1023996.0,aggregate_scores_in_intervals2,1.1.3,,2016-06-17 21:04:21.905053,77829.0,17393.0
2016-06-17 23:25:49.900436,slurm_normal,1466223666.0,0.0,,1.0,main_w2_handler1,2742045,13197596,False,,24,bed,1217858312.0,wig,7382521.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""",,"""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53d88930937690c29'}]",,,,,,,,,,,,1.0,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e04a312b5cb00c1a'}]",user,32.0,,30890320.0,1466214300.0,ok,1023996.0,aggregate_scores_in_intervals2,1.1.3,,2016-06-18 04:21:08.790718,77829.0,9366.0
2016-06-17 23:25:49.010743,slurm_normal,1466214291.0,0.0,,1.0,main_w1_handler1,2742045,13197595,False,,24,bed,874454449.0,wig,7382414.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""",,"""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53d88930937690c29'}]",,,,,,,,,,,,1.0,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b520e7140fb34ae6b0'}]",user,32.0,,30890320.0,1466210623.0,ok,1023996.0,aggregate_scores_in_intervals2,1.1.3,,2016-06-18 01:44:52.932849,77829.0,3668.0
2016-04-28 03:25:18.731422,slurm_normal,1461813950.0,0.0,,1.0,main_w1_handler0,2617843,12659950,False,,98654,interval,1161181.0,wig,6862214.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""",,"""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56b9d02133cf1d962'}]",,,,,,,,,,,,1.0,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f7c7190922f6a967'}]",user,32.0,,28740669.0,1461813946.0,ok,1023996.0,aggregate_scores_in_intervals2,1.1.3,,2016-04-28 03:25:51.388397,,4.0
2016-06-17 23:23:00.621055,slurm_normal,1466211600.0,0.0,,1.0,main_w2_handler0,2742045,13197557,False,,24,bed,1253862953.0,wig,7382252.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""",,"""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53d88930937690c29'}]",,,,,,,,,,,,1.0,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5220af3ff3384531a'}]",user,32.0,,30890320.0,1466206182.0,ok,1023996.0,aggregate_scores_in_intervals2,1.1.3,,2016-06-18 01:00:02.090665,77829.0,5418.0
2016-02-08 13:34:48.816296,slurm_normal,1454938520.0,0.0,,1.0,main_w2_handler1,2546049,11746583,False,,2413328,interval,472792.0,wig,6002778.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""",23066161,,,,,,,,,,,,,1.0,,,,23066141.0,,user,32.0,,27868106.0,1454938506.0,ok,1023996.0,aggregate_scores_in_intervals2,1.1.3,,2016-02-08 13:35:24.633068,46964.0,14.0
2016-06-17 23:23:03.113687,slurm_normal,1466217532.0,0.0,,1.0,main_w1_handler0,2742045,13197561,False,,24,bed,1601445294.0,wig,7382413.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""",,"""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53d88930937690c29'}]",,,,,,,,,,,,1.0,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d916c800e956dc6d'}]",user,32.0,,30890320.0,1466210623.0,ok,1023996.0,aggregate_scores_in_intervals2,1.1.3,,2016-06-18 02:38:54.602191,77829.0,6909.0
2016-06-17 23:23:02.344626,slurm_normal,1466218062.0,0.0,,1.0,main_w2_handler1,2742045,13197560,False,,24,bed,2712099174.0,wig,7382267.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""",,"""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53d88930937690c29'}]",,,,,,,,,,,,1.0,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e3db25f5d0a54075'}]",user,32.0,,30890320.0,1466206654.0,ok,1023996.0,aggregate_scores_in_intervals2,1.1.3,,2016-06-18 02:47:44.016087,77829.0,11408.0
2016-06-17 23:25:46.152637,slurm_normal,1466219446.0,0.0,,1.0,main_w2_handler1,2742045,13197589,False,,24,bed,2104522175.0,wig,7382415.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""",,"""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53d88930937690c29'}]",,,,,,,,,,,,1.0,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a588960694d446e2'}]",user,32.0,,30890320.0,1466210626.0,ok,1023996.0,aggregate_scores_in_intervals2,1.1.3,,2016-06-18 03:10:48.535943,77829.0,8820.0
2016-06-17 23:23:03.698693,slurm_normal,1466213646.0,0.0,,1.0,main_w1_handler1,2742045,13197562,False,,24,bed,1739423843.0,wig,7382253.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""",,"""mm10""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53d88930937690c29'}]",,,,,,,,,,,,1.0,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5fd5b4b46db2b0e8f'}]",user,32.0,,30890320.0,1466206186.0,ok,1023996.0,aggregate_scores_in_intervals2,1.1.3,,2016-06-18 01:34:08.080002,77829.0,7460.0
