create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.clustering_mode.__current_case__,parameters.clustering_mode.clustering_mode_select,parameters.cons_truncate,parameters.dbkey,parameters.id,parameters.iddef,parameters.infile,parameters.maxaccepts,parameters.maxrejects,parameters.outputs,parameters.qmask,parameters.sizein,parameters.sizeout,parameters.strand,parameters.uc,parameters.usersort,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-03-10 08:45:09.375174,slurm_normal,1457599563.0,0,1.0,main_w1_handler0,2627658,12093230,False,4727239,fasta,,6317755.roundup,slurm,,132112168.0,corral-repl,,"""64a55ffee69c11e5b9a3005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""",0,cluster_fast,"""False""","""hg19""","""""","""2""",23764106,"""1""","""32""","""--blast6out""","""dust""","""False""","""False""","""plus""","""False""","""False""",32.0,,28104360,1457599529.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_clustering/1.1.3.2,1.1.3.2,,2016-03-10 08:46:05.129731,77870.0,34.0
2016-03-10 08:53:35.425438,slurm_normal,1457600082.0,0,1.0,main_w1_handler0,2627658,12093298,False,4727239,fasta,,6317830.roundup,slurm,,132112168.0,corral-repl,,"""92d6a558e69d11e5b9a3005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""",0,cluster_fast,"""False""","""hg19""","""0.9""","""4""",23764106,"""1""","""32""","[""--blast6out""]","""none""","""False""","""True""","""plus""","""False""","""False""",32.0,,28104360,1457600062.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_clustering/1.1.3.2,1.1.3.2,,2016-03-10 08:54:44.422526,77870.0,20.0
2016-02-02 09:59:23.672278,slurm_normal,1454407204.0,0,1.0,main_w2_handler0,2215219,11670055,False,2479043,fasta,,5930127.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""",0,cluster_fast,"""False""","""?""","""0.95""","""2""",23113726,"""1""","""32""","[""--blast6out""]","""dust""","""False""","""False""","""plus""","""False""","""False""",32.0,,26689588,1454407190.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_clustering/1.1.3.2,1.1.3.2,,2016-02-02 10:00:10.600155,60032.0,14.0
2016-02-02 10:02:08.634849,slurm_normal,1454407368.0,0,1.0,main_w1_handler1,2215219,11670216,False,2479043,fasta,,5930166.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""",0,cluster_fast,"""False""","""?""","""0.9""","""2""",23113726,"""1""","""32""","[""--alnout"", ""--blast6out"", ""--fastapairs"", ""--msaout"", ""--consout"", ""--centroids"", ""--notmatched"", ""--matched""]","""dust""","""False""","""True""","""plus""","""False""","""False""",32.0,,26689588,1454407352.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_clustering/1.1.3.2,1.1.3.2,,2016-02-02 10:03:05.372406,60032.0,16.0
2016-02-02 10:08:54.306749,slurm_normal,1454408620.0,0,1.0,main_w2_handler1,2215219,11670771,False,226809561,fasta,,5930274.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""",0,cluster_fast,"""False""","""?""","""0.93""","""2""",23107138,"""1""","""32""","[""--alnout"", ""--blast6out"", ""--fastapairs"", ""--msaout"", ""--consout"", ""--centroids"", ""--notmatched"", ""--matched""]","""dust""","""False""","""True""","""plus""","""False""","""False""",32.0,,26689588,1454407763.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_clustering/1.1.3.2,1.1.3.2,,2016-02-02 10:23:48.039466,60032.0,857.0
2016-02-02 20:18:41.511080,slurm_normal,1454444408.0,0,1.0,main_w1_handler2,2215219,11685714,False,11925631,fasta,,5941919.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""",0,cluster_fast,"""False""","""?""","""0.93""","""2""",23146958,"""1""","""32""","[""--alnout"", ""--blast6out"", ""--fastapairs"", ""--msaout"", ""--consout"", ""--centroids"", ""--notmatched"", ""--matched""]","""dust""","""True""","""True""","""plus""","""False""","""False""",32.0,,27571111,1454444343.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_clustering/1.1.3.2,1.1.3.2,,2016-02-02 20:20:14.919919,60032.0,65.0
2016-02-02 17:43:03.465993,slurm_normal,1454435217.0,0,1.0,main_w1_handler1,2215219,11683642,False,44803527,fasta,,5938774.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""",0,cluster_fast,"""False""","""?""","""0.9""","""2""",23145010,"""1""","""32""","[""--alnout"", ""--blast6out"", ""--fastapairs"", ""--msaout"", ""--consout"", ""--centroids"", ""--notmatched"", ""--matched""]","""dust""","""True""","""True""","""plus""","""False""","""False""",32.0,,26689588,1454435032.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_clustering/1.1.3.2,1.1.3.2,,2016-02-02 17:47:09.146445,60032.0,185.0
2016-02-03 13:14:57.508429,slurm_normal,1454505415.0,0,1.0,main_w1_handler0,2215219,11700723,False,34112433,fasta,,5953482.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""",0,cluster_fast,"""False""","""?""","""0.9""","""2""",23146965,"""1""","""32""","[""--alnout"", ""--blast6out"", ""--fastapairs"", ""--msaout"", ""--consout"", ""--centroids"", ""--notmatched"", ""--matched""]","""dust""","""True""","""True""","""plus""","""False""","""False""",32.0,,26689588,1454505339.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_clustering/1.1.3.2,1.1.3.2,,2016-02-03 13:17:00.480120,60032.0,76.0
2016-02-03 14:25:47.791246,slurm_normal,1454509701.0,0,1.0,main_w2_handler0,2215219,11701305,False,19867415,fasta,,5954859.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""",0,cluster_fast,"""False""","""?""","""0.98""","""2""",23167595,"""1""","""32""","[""--alnout"", ""--blast6out"", ""--fastapairs"", ""--msaout"", ""--consout"", ""--centroids"", ""--notmatched"", ""--matched""]","""dust""","""True""","""True""","""plus""","""False""","""False""",32.0,,26689588,1454509575.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_clustering/1.1.3.2,1.1.3.2,,2016-02-03 14:28:29.933921,60032.0,126.0
2016-02-03 18:27:04.801092,slurm_normal,1454524321.0,0,1.0,main_w2_handler1,2215219,11703970,False,44803527,fasta,,5959864.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""",0,cluster_fast,"""False""","""?""","""0.98""","""2""",23145010,"""1""","""32""","[""--centroids"", ""--notmatched"", ""--matched""]","""dust""","""True""","""True""","""plus""","""False""","""False""",32.0,,27571111,1454524055.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/vsearch/vsearch_clustering/1.1.3.2,1.1.3.2,,2016-02-03 18:32:08.126337,60032.0,266.0
