create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.predictor_cols,parameters.predictor_cols.__class__,parameters.predictor_cols.value,parameters.response_col,parameters.response_col.__class__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-08-12 07:24:39.972483,slurm_normal,1439364325.0,1,,1.0,main_w1_handler1,2406289,10098635,False,,102,tabular,4373538.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20744729,,"[""2"", ""3""]",,,"""1""",,32.0,,24649651,1439364316.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-08-12 07:25:29.119501,,9.0
2015-08-12 07:18:32.136212,slurm_normal,1439363957.0,1,,1.0,main_w2_handler0,2406289,10098619,False,,108,tabular,4373517.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20744718,,"[""2"", ""3""]",,,"""1""",,32.0,,24649651,1439363948.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-08-12 07:19:19.762338,,9.0
2015-08-12 07:26:10.294851,slurm_normal,1439364403.0,0,,1.0,main_w1_handler2,2406289,10098641,False,,97,interval,4373544.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20744639,,"[""2"", ""3"", ""4""]",,,"""1""",,32.0,,24649651,1439364399.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-08-12 07:26:45.324123,,4.0
2015-10-21 11:38:36.954213,slurm_normal,1445427790.0,0,,1.0,main_w1_handler0,2468699,10668864,False,,6214,bed,4933374.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21654165,,"[""4""]",,,"""2""",,32.0,,25643775,1445427785.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-10-21 11:43:12.919715,,5.0
2015-10-21 11:38:32.203447,slurm_normal,1445427772.0,0,,1.0,main_w1_handler2,2468699,10668861,False,,56880,bed,4933369.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21654162,,"[""4""]",,,"""2""",,32.0,,25643775,1445427765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-10-21 11:42:54.584162,,7.0
2015-10-21 11:38:24.386447,slurm_normal,1445427822.0,0,,1.0,main_w2_handler0,2468699,10668856,False,,26,bed,4933377.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21654157,,"[""4""]",,,"""2""",,32.0,,25643775,1445427814.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-10-21 11:43:44.963114,,8.0
2015-10-21 11:38:45.518074,slurm_normal,1445427657.0,0,,1.0,main_w1_handler1,2468699,10668870,False,,29276,bed,4933346.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21654171,,"[""4""]",,,"""2""",,32.0,,25643775,1445427645.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-10-21 11:41:00.135418,,12.0
2015-10-21 11:38:38.779171,slurm_normal,1445427770.0,0,,1.0,main_w1_handler0,2468699,10668866,False,,23634,bed,4933370.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21654167,,"[""4""]",,,"""2""",,32.0,,25643775,1445427765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-10-21 11:42:54.467766,,5.0
2015-10-21 11:38:25.794898,slurm_normal,1445427805.0,0,,1.0,main_w2_handler1,2468699,10668857,False,,172091,bed,4933375.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21654158,,"[""4""]",,,"""2""",,32.0,,25643775,1445427800.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-10-21 11:43:27.853167,,5.0
2015-10-21 11:38:23.353542,slurm_normal,1445427788.0,0,,1.0,main_w2_handler0,2468699,10668855,False,,27322,bed,4933372.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21654156,,"[""4""]",,,"""2""",,32.0,,25643775,1445427782.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/best_regression_subsets/BestSubsetsRegression1/1.0.0,1.0.0,,2015-10-21 11:43:11.625193,,6.0
