bed_data,bed_data_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.bed_data,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.key_option,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
16264310,bed,,,2015-06-18 20:08:06.515482,slurm_normal,1434658129.0,0,1.0,main_w2_handler0,2348238,9687079,False,,12400009,vcf,3996232.roundup,slurm,,132112168.0,corral-repl,,,20060374,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20060334,"""BED-features""",32.0,,23709056,1434658106.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotate/vcfannotate/0.0.2,0.0.2,,2015-06-18 20:08:51.121697,64892.0,23.0
18514733,bed,,,2015-06-18 20:12:20.845318,slurm_normal,1434658393.0,0,1.0,main_w2_handler1,2348238,9687157,False,,12563049,vcf,3996287.roundup,slurm,,132112168.0,corral-repl,,"""52cbee8215f611e5924b005056a51846""",20060512,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20060845,"""BED-features""",32.0,,23709056,1434658376.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotate/vcfannotate/0.0.2,0.0.2,,2015-06-18 20:13:15.667640,64892.0,17.0
373344140,bed,,,2015-03-22 22:03:15.503203,rodeo_normal,1427063518.0,0,1.0,main_w1_handler1,2104786,9009235,False,,2552425172,vcf,3280090.roundup,slurm,,132112168.0,corral-repl,,,18840789,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""willowscaff""",18842733,"""BED-features""",32.0,,21886039,1427061813.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotate/vcfannotate/0.0.2,0.0.2,,2015-03-22 22:32:00.867311,52881.0,1705.0
1756170,bed,,,2015-03-19 14:32:50.059479,rodeo_normal,1426775611.0,0,1.0,main_w2_handler0,2228613,8988486,False,,63763278,vcf,3241681.roundup,slurm,,132112168.0,corral-repl,,,18916016,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18906798,"""BED-features""",32.0,,20286851,1426775581.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotate/vcfannotate/0.0.2,0.0.2,,2015-03-19 14:33:35.875118,9646.0,30.0
10132,bed,,,2015-03-20 20:08:03.808830,rodeo_normal,1426882121.0,0,1.0,main_w1_handler1,2184024,8999623,False,,7091,vcf,3262508.roundup,slurm,,132112168.0,corral-repl,,,18937859,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18937629,"""BED-features""",32.0,,20643105,1426882118.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotate/vcfannotate/0.0.2,0.0.2,,2015-03-20 20:08:43.285885,,3.0
10550122,bed,,,2015-03-25 11:13:00.865517,rodeo_normal,1427282008.0,0,1.0,main_w1_handler1,2247555,9032229,False,,126457433,vcf,3317620.roundup,slurm,,132112168.0,corral-repl,,,18980403,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",18981219,"""BED-features""",32.0,,20553408,1427281996.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotate/vcfannotate/0.0.2,0.0.2,,2015-03-25 11:13:29.510790,23413.0,12.0
147686,bed,,,2015-03-26 21:10:21.687182,rodeo_normal,1427404239.0,0,1.0,main_w1_handler0,2247675,9053187,False,,19650,vcf,3338591.roundup,slurm,,132112168.0,corral-repl,,,19016989,"""/galaxy-repl/localdata/chrom/333.len""","""333""",19016121,"""BED-features""",32.0,,22003977,1427404235.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotate/vcfannotate/0.0.2,0.0.2,,2015-03-26 21:10:45.991467,,4.0
18514733,bed,,,2015-06-19 11:41:22.104363,slurm_normal,1434714168.0,0,1.0,main_w1_handler0,2348919,9691239,False,,12400009,vcf,4000360.roundup,slurm,,132112168.0,corral-repl,,"""1ad0b940167811e5a6b4005056a51846""",20067924,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20067909,"""!""",32.0,,23709056,1434714153.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotate/vcfannotate/0.0.2,0.0.2,,2015-06-19 11:42:48.923952,64892.0,15.0
1777566,bed,,,2015-03-30 16:45:54.376765,rodeo_normal,1427733979.0,0,1.0,main_w1_handler1,2242242,9089770,False,,31379326,vcf,3374416.roundup,slurm,,132112168.0,corral-repl,,,19067335,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19065024,"""BED-features""",32.0,,22118178,1427733963.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotate/vcfannotate/0.0.2,0.0.2,,2015-03-30 16:46:21.205528,3103.0,16.0
506890,bed,,,2015-03-30 17:07:13.025120,rodeo_normal,1427735263.0,0,1.0,main_w1_handler1,2242242,9090019,False,,31379326,vcf,3374761.roundup,slurm,,132112168.0,corral-repl,,,19067546,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19065024,"""BED-features""",32.0,,22118178,1427735246.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotate/vcfannotate/0.0.2,0.0.2,,2015-03-30 17:07:47.988341,3103.0,17.0
600926,bed,,,2015-06-19 18:08:13.733378,slurm_normal,1434737370.0,0,1.0,main_w1_handler0,2349364,9694476,False,,12400009,vcf,4003129.roundup,slurm,,132112168.0,corral-repl,,,20072373,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20072282,"""GC15""",32.0,,23709056,1434737353.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotate/vcfannotate/0.0.2,0.0.2,,2015-06-19 18:09:33.861806,64892.0,17.0
