create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile_control,infile_control_filetype,infile_treatment,infile_treatment_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.bdgcmp_options.__current_case__,parameters.bdgcmp_options.bdgcmp_options_selector,parameters.bdgcmp_options.pseudocount,parameters.chromInfo,parameters.dbkey,parameters.infile_control,parameters.infile_control.values,parameters.infile_treatment,parameters.infile_treatment.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-01-29 19:09:50.181019,slurm_normal,1454094655.0,0,1.0,main_w2_handler0,2581838,11633938,False,106790766,bedgraph,172350906,bedgraph,,5897585.roundup,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23084588,,23084928,,32.0,,27690724,1454094612.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20140616.0,2.1.0.20140616.0,,2016-01-29 19:11:01.877672,57068,43.0
2016-01-29 19:17:38.272563,slurm_normal,1454095125.0,0,1.0,main_w1_handler2,2581838,11633984,False,116875788,bedgraph,172350906,bedgraph,,5897653.roundup,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23084929,,23084928,,32.0,,27690724,1454095075.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20140616.0,2.1.0.20140616.0,,2016-01-29 19:18:49.592078,57068,50.0
2016-01-31 19:58:55.028653,slurm_normal,1454270539.0,0,1.0,main_w1_handler1,2583400,11649881,False,460250296,bedgraph,596661572,bedgraph,,5910548.roundup,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",23105775,,23105774,,32.0,,27949803,1454270343.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20140616.0,2.1.0.20140616.0,,2016-01-31 20:02:22.926827,77766,196.0
2016-02-01 19:29:06.549863,slurm_normal,1454355056.0,0,1.0,main_w1_handler2,2581838,11660909,False,110677398,bedgraph,172953946,bedgraph,,5920510.roundup,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23119731,,23119730,,32.0,,27690724,1454354972.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-01 19:31:04.144188,57068,84.0
2016-02-01 20:51:11.151657,slurm_normal,1454359947.0,0,1.0,main_w1_handler0,2581838,11662456,False,109268429,bedgraph,123127815,bedgraph,,5921688.roundup,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23120925,,23120924,,32.0,,27690724,1454359899.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-01 20:52:44.598553,57068,48.0
2016-02-01 23:43:41.623743,slurm_normal,1454370317.0,0,1.0,main_w1_handler1,2581838,11665109,False,131106892,bedgraph,166312172,bedgraph,,5923904.roundup,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23124826,,23124825,,32.0,,27690724,1454370246.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-01 23:45:23.677628,57068,71.0
2016-02-02 11:45:08.624130,slurm_normal,1454414515.0,0,1.0,main_w1_handler1,2585857,11676653,False,156227319,bedgraph,159709533,bedgraph,,5931994.roundup,slurm,,132112168.0,corral-repl,,,5,subtract,,"""/galaxy-repl/localdata/chrom/vibrChol1.len""","""vibrChol1""",23135780,,23136345,,32.0,,28026579,1454414474.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-02 12:02:10.753189,77872,41.0
2016-02-02 20:38:30.603158,slurm_normal,1454445615.0,0,1.0,main_w2_handler0,2585398,11685827,False,139635498,bedgraph,168064872,bedgraph,,5942331.roundup,slurm,,132112168.0,corral-repl,,,3,ppois,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23150051,,23150050,,32.0,,27690724,1454445533.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-02 20:40:21.772895,57068,82.0
2016-02-02 14:37:01.163306,slurm_normal,1454427580.0,0,1.0,main_w1_handler1,2585956,11681482,False,1457443738,bedgraph,1969874914,bedgraph,,5935883.roundup,slurm,,132112168.0,corral-repl,,"""698b08cec9ba11e5a9f7005056a52a46""",3,ppois,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23142970,,23142969,,32.0,,28026732,1454426969.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-02 15:39:53.508692,61608,611.0
2016-02-02 15:30:52.524810,slurm_normal,1454435436.0,0,1.0,main_w1_handler2,2585949,11681945,False,1028494877,bedgraph,2073474475,bedgraph,,5938725.roundup,slurm,,132112168.0,corral-repl,,"""f0af39fec9c111e5a9f7005056a52a46""",3,ppois,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23143653,,23143652,,32.0,,28026732,1454434846.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/macs2/macs2_bdgcmp/2.1.0.20140616.0,2.1.0.20140616.0,,2016-02-02 17:50:48.225135,61608,590.0
