chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_bams,input_bams1,input_bams10,input_bams10_filetype,input_bams11,input_bams11_filetype,input_bams12,input_bams12_filetype,input_bams13,input_bams13_filetype,input_bams14,input_bams14_filetype,input_bams15,input_bams15_filetype,input_bams16,input_bams16_filetype,input_bams17,input_bams17_filetype,input_bams18,input_bams18_filetype,input_bams19,input_bams19_filetype,input_bams1_filetype,input_bams2,input_bams20,input_bams20_filetype,input_bams21,input_bams21_filetype,input_bams22,input_bams22_filetype,input_bams23,input_bams23_filetype,input_bams24,input_bams24_filetype,input_bams2_filetype,input_bams3,input_bams3_filetype,input_bams4,input_bams4_filetype,input_bams5,input_bams5_filetype,input_bams6,input_bams6_filetype,input_bams7,input_bams7_filetype,input_bams8,input_bams8_filetype,input_bams9,input_bams9_filetype,input_bams_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.analysis_type.__current_case__,parameters.analysis_type.analysis_type_selector,parameters.analysis_type.tag_name,parameters.chromInfo,parameters.dbkey,parameters.input_bams,parameters.input_bams.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-07-14 18:12:48.960025,slurm_normal,1500055983.0,0,,1.0,main_w4_handler1,3191203,16347317,False,,1933,1933,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10412847.roundup,slurm,,132112168.0,corral-repl,,,1,-paired,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 30494486}]",32.0,,39273069.0,1500055979.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2017-07-14 18:13:06.907762,108909.0,4.0
,,2017-07-15 02:53:52.512468,slurm_normal,1500088051.0,0,,1.0,main_w3_handler1,3191203,16350100,False,,2664606873,2664606873,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10415538.roundup,slurm,,132112168.0,corral-repl,,,1,-paired,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30484271}]",32.0,,39273069.0,1500087239.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2017-07-15 03:14:11.355947,108909.0,812.0
,,2017-07-17 16:24:19.576699,slurm_normal,1500308863.0,0,,1.0,main_w4_handler1,3151275,16361881,False,,454311460,454311460,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10424808.roundup,slurm,,132112168.0,corral-repl,,,0,-mapped,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30031734}]",32.0,,39364766.0,1500308669.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2017-07-17 16:28:23.605033,20995.0,194.0
,,2017-07-17 16:25:57.458925,slurm_normal,1500308958.0,0,,1.0,main_w4_handler1,3151275,16361889,False,,454311460,454311460,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10424817.roundup,slurm,,132112168.0,corral-repl,,,0,-mapped,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30031734}]",32.0,,39364766.0,1500308765.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2017-07-17 16:29:46.650447,20995.0,193.0
,,2018-02-02 02:07:00.054917,slurm_normal,1517537437.0,0,,1.0,main_w4_handler1,3412184,18231257,False,,569827618,569827618,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,12311422,slurm,,132112168.0,corral-repl,,,0,-mapped,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33613927}]",32.0,,41794894.0,1517537230.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2018-02-02 02:11:02.691311,115350.0,207.0
,,2017-07-20 21:30:24.669880,slurm_normal,1500586237.0,0,,1.0,main_w4_handler1,3155190,16379366,False,,1340129,1340129,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,10444432.roundup,slurm,,132112168.0,corral-repl,,,0,-mapped,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 30545534}]",32.0,,39027601.0,1500586232.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2017-07-20 21:30:40.115027,107686.0,5.0
,,2017-09-29 11:34:58.166538,slurm_normal,1506685223.0,0,,1.0,main_w3_handler1,3195018,16971697,False,,1010349266,1010349266,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,11039325.roundup,slurm,,132112168.0,corral-repl,,,0,-mapped,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31316730}]",32.0,,40872708.0,1506684903.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2017-09-29 11:41:04.379182,80465.0,320.0
,,2017-09-29 11:35:52.958939,slurm_normal,1506685274.0,0,,1.0,main_w4_handler0,3195018,16971698,False,,1008100208,1008100208,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,11039326.roundup,slurm,,132112168.0,corral-repl,,,0,-mapped,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 31287947}]",32.0,,40872708.0,1506684956.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2017-09-29 11:41:47.030467,80465.0,318.0
,,2017-12-15 02:54:23.173026,slurm_normal,1513308182.0,0,,1.0,main_w4_handler1,3179422,17814179,False,,6998800852,6998800852,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,11882779,slurm,,132112168.0,corral-repl,,,0,-mapped,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32938499}]",32.0,,42673597.0,1513306470.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2017-12-15 03:26:56.358798,74031.0,1712.0
,,2017-12-15 03:37:59.508758,slurm_normal,1513309200.0,0,,1.0,main_w4_handler1,3179422,17814304,False,,443659725,443659725,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,11882907,slurm,,132112168.0,corral-repl,,,1,-paired,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 32942460}]",32.0,,42673885.0,1513309088.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.2,0.0.2,,2017-12-15 03:40:20.091829,74031.0,112.0
