create_time,destination_id,end_epoch,exit_code,fastq1,fastq1_filetype,fastq2,fastq2_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fastq1.values,parameters.fastq2.values,parameters.invariant,parameters.taglen,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-01-25 10:19:02.102411,slurm_normal,1485339630.0,0,1598769214,fastqsanger,1599345514,fastqsanger,1.0,main_w4_handler1,2967537,14864728,False,,9024178.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28073242}]","[{'src': 'hda', 'id': 28073246}]","""5""","""12""",32.0,,35580620,1485339545.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.5,0.5,,2017-01-25 10:20:35.045771,80417.0,85.0
2017-01-25 15:42:47.468764,slurm_normal,1485359062.0,0,232111594,fastqsanger,227533052,fastqsanger,1.0,main_w4_handler0,2943711,14867630,False,,9027036.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28072473}]","[{'src': 'hda', 'id': 28072474}]","""5""","""12""",32.0,,35143490,1485358974.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.5,0.5,,2017-01-25 15:44:25.145251,97527.0,88.0
2017-01-25 15:38:30.933336,slurm_normal,1485358724.0,0,2423577,fastq,8188782,fastq,1.0,main_w3_handler0,2955457,14867582,False,,9026974.roundup,slurm,,132111800.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28064318}]","[{'src': 'hda', 'id': 28064316}]","""5""","""12""",32.0,,35587232,1485358715.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.5,0.5,,2017-01-25 15:38:48.252865,98122.0,9.0
2017-01-08 17:40:51.117566,slurm_normal,1483897265.0,0,12795838,fastqsanger,12795838,fastqsanger,1.0,main_w4_handler1,2943711,14713462,False,,8882431.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 27842850}]","[{'src': 'hda', 'id': 27842850}]","""5""","""12""",32.0,,35143490,1483897257.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.5,0.5,,2017-01-08 17:41:09.661420,97527.0,8.0
2017-01-29 01:30:12.684356,slurm_normal,1485653456.0,0,2032118,fastq,2032118,fastq,1.0,main_w4_handler1,2973028,14899141,False,,9057967.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 28129273}]","[{'src': 'hda', 'id': 28129273}]","""5""","""12""",32.0,,35652753,1485653450.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.5,0.5,,2017-01-29 01:30:57.758005,,6.0
2017-01-30 17:25:26.284221,slurm_normal,1485797229.0,0,428624352,fastq,434794366,fastq,1.0,main_w3_handler0,2974682,14906919,False,,9062949.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28140961}]","[{'src': 'hda', 'id': 28140962}]","""5""","""12""",32.0,,35610585,1485797189.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.5,0.5,,2017-01-30 17:27:11.590876,97764.0,40.0
2017-01-30 17:25:47.402505,slurm_normal,1485797261.0,0,308709484,fastq,308690144,fastq,1.0,main_w3_handler1,2974682,14906927,False,,9062954.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28140969}]","[{'src': 'hda', 'id': 28140970}]","""5""","""12""",32.0,,35610585,1485797229.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.5,0.5,,2017-01-30 17:27:43.061210,97764.0,32.0
2017-01-30 17:26:01.810321,slurm_normal,1485797280.0,0,512318712,fastq,523952536,fastq,1.0,main_w4_handler1,2974682,14906931,False,,9062956.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28140973}]","[{'src': 'hda', 'id': 28140974}]","""5""","""12""",32.0,,35610585,1485797237.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.5,0.5,,2017-01-30 17:28:03.156531,97764.0,43.0
2017-02-03 06:54:56.599716,slurm_normal,1486105232.0,0,26195715,fastq,26195715,fastq,1.0,main_w4_handler1,2980235,14939998,False,,9096818.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28192014}]","[{'src': 'hda', 'id': 28192014}]","""5""","""12""",32.0,,35780756,1486105221.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.5,0.5,,2017-02-03 07:00:33.076190,,11.0
2017-02-19 18:45:08.286313,slurm_normal,1487529923.0,0,4954896,fastqsanger,4954896,fastqsanger,1.0,main_w4_handler0,2980585,15080153,False,,9235546.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 28418178}]","[{'src': 'hda', 'id': 28418178}]","""5""","""12""",32.0,,36157906,1487529912.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/duplex/make_families/0.5,0.5,,2017-02-19 18:45:26.160226,99424.0,11.0
