GCbiasFrequenciesFile,GCbiasFrequenciesFile_filetype,bamInput,bamInput_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.GCbiasFrequenciesFile.values,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.bamInput.values,parameters.chromInfo,parameters.dbkey,parameters.effectiveGenomeSize.__current_case__,parameters.effectiveGenomeSize.effectiveGenomeSize,parameters.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.region,parameters.source.__current_case__,parameters.source.input1.values,parameters.source.input1_2bit,parameters.source.ref_source,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
7575,tabular,2208772606,bam,2016-10-11 18:17:50.184597,slurm_multi,1476218237.0,0,6.0,main_w3_handler2,2771636,14056808,False,,,,8275019,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57fc23bad02bcbdbd'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b545dc16e3e68d45c2'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1476216715.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-11 20:37:19.976182,73080,1522.0
11325,tabular,426546361,bam,2016-10-17 20:14:41.880654,slurm_multi,1476738587.0,0,6.0,main_w4_handler2,2413709,14102104,False,,,,8317445,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5dca2ac370e177f7f'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53b717ca390e10c61'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",0,2150570000,specific,"""""",0,,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,33764699,1476737860.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-17 21:11:14.582407,46988,727.0
22575,tabular,2899137016,bam,2016-10-21 14:52:56.330143,slurm_multi,1477064675.0,0,6.0,main_w4_handler2,2758228,14141665,False,,,,8355032,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50a32b09a25e8c4f5'}]",1,yes,slurm_multi,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5749a0c488027b0c0'}]","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",1,,2150570000,"""""",0,,/galaxy/data/mm9/seq/mm9.2bit,cached,32.0,,33843284,1477062212.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-21 15:44:37.682118,76865,2463.0
22575,gg,512363,bam,2016-10-21 17:49:08.794668,slurm_multi,1477072433.0,0,6.0,main_w4_handler2,2844248,14143101,False,,300.0,twobit,8356326,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53168d6413994c298'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f024eb1ff4497ab1'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,23011544,specific,"""""",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b529db520f53c6ec22'}]",,history,32.0,,33487115,1477072413.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-21 17:53:54.040465,28,20.0
22575,gg,512363,bam,2016-10-28 13:23:45.556029,slurm_multi,1477661566.0,0,6.0,main_w3_handler2,2844248,14199855,False,,300.0,twobit,8411373,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53168d6413994c298'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f024eb1ff4497ab1'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,23011544,specific,"""""",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b529db520f53c6ec22'}]",,history,32.0,,32272681,1477661544.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-28 13:32:49.510788,28,22.0
7575,tabular,3760705039,bam,2016-10-07 17:04:40.822315,slurm_multi,1475897441.0,0,6.0,main_w3_handler2,2771636,14031363,False,,,,8251364,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52fccb9c27457d7fc'}]",1,yes,slurm_multi,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54e83a3aa6153018e'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1475893540.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-08 03:30:51.261937,73080,3901.0
22575,gg,512363,bam,2016-10-06 17:54:36.283672,slurm_multi,1475778122.0,0,6.0,main_w3_handler2,2844248,14022878,False,,300.0,twobit,8241252,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53168d6413994c298'}]",0,no,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f024eb1ff4497ab1'}]","""/galaxy-repl/localdata/chrom/?.len""","""?""",0,23011544,specific,"""""",1,"[{'src': 'hda', 'id': 'bbd44e69cb8906b529db520f53c6ec22'}]",,history,32.0,,32272681,1475778072.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-06 18:22:19.668986,28,50.0
7575,tabular,3274492029,bam,2016-10-07 03:12:31.306581,slurm_multi,1475818453.0,0,6.0,main_w3_handler2,2771636,14025817,False,,,,8244183,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cea3646ea5a86b7e'}]",1,yes,slurm_multi,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55eb119b09889eb25'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1475815893.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-07 05:34:15.394174,73080,2560.0
7575,tabular,2235000110,bam,2016-10-07 03:12:32.293831,slurm_multi,1475832425.0,0,6.0,main_w4_handler2,2771636,14025818,False,,,,8244877,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52a00a0aa754e92e2'}]",1,yes,slurm_multi,"[{'src': 'hda', 'id': 'bbd44e69cb8906b548679a13ca9ad509'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1475830734.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-07 09:27:06.966558,73080,1691.0
7575,tabular,3305316279,bam,2016-10-07 03:12:32.918520,slurm_multi,1475835040.0,0,6.0,main_w4_handler2,2771636,14025819,False,,,,8245002,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b510df1be005fabb51'}]",1,yes,slurm_multi,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5638c58e38b77276c'}]","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",2,,2451960000,"""""",0,,/galaxy/data/hg19/seq/hg19.2bit,cached,32.0,,31578981,1475832623.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_correct_gc_bias/deeptools_correct_gc_bias/2.3.5.0,2.3.5.0,,2016-10-07 10:10:43.205309,73080,2417.0
