axes,axes_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,metadata,metadata_filetype,object_store_id,otu,otu_filetype,param_filename,parameters.axes.values,parameters.axes|__identifier__,parameters.chromInfo,parameters.dbkey,parameters.input.__current_case__,parameters.input.metadata.values,parameters.input.source,parameters.method,parameters.numaxes,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
684,mothur.axes,2017-12-20 21:52:35.548427,reserved_normal,1513806790.0,0,,1.0,main_w3_handler0,3280912,17864919,False,,11936593.roundup,slurm,,132111800.0,,,corral-repl,15949.0,mothur.shared,,"[{'src': 'hda', 'id': 33027957}]","""jclass.0.03.lt.std""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,"""spearman""","""3""",32.0,,42691248,1513806786.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_corr_axes/mothur_corr_axes/1.36.1.0,1.36.1.0,,2017-12-20 21:53:17.612474,5254,4.0
685,mothur.axes,2017-12-20 21:52:33.900704,reserved_normal,1513806774.0,0,,1.0,main_w4_handler0,3280912,17864917,False,,11936590.roundup,slurm,,132111800.0,,,corral-repl,15949.0,mothur.shared,,"[{'src': 'hda', 'id': 33027949}]","""jclass.0.03.lt.ave""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,"""spearman""","""3""",32.0,,42691248,1513806768.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_corr_axes/mothur_corr_axes/1.36.1.0,1.36.1.0,,2017-12-20 21:52:57.694137,5254,6.0
682,mothur.axes,2017-12-20 21:52:34.953269,reserved_normal,1513806777.0,0,,1.0,main_w4_handler0,3280912,17864918,False,,11936591.roundup,slurm,,132111800.0,,,corral-repl,15949.0,mothur.shared,,"[{'src': 'hda', 'id': 33027953}]","""jclass.0.03.lt""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,"""spearman""","""3""",32.0,,42691248,1513806769.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_corr_axes/mothur_corr_axes/1.36.1.0,1.36.1.0,,2017-12-20 21:53:00.138828,5254,8.0
683,mothur.axes,2017-12-20 21:52:38.109145,reserved_normal,1513806779.0,0,,1.0,main_w3_handler1,3280912,17864922,False,,11936592.roundup,slurm,,132112168.0,,,corral-repl,15949.0,mothur.shared,,"[{'src': 'hda', 'id': 33027969}]","""thetayc.0.03.lt.std""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,"""spearman""","""3""",32.0,,42691248,1513806772.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_corr_axes/mothur_corr_axes/1.36.1.0,1.36.1.0,,2017-12-20 21:53:07.196676,5254,7.0
685,mothur.axes,2017-12-20 21:52:36.078098,reserved_normal,1513806901.0,0,,1.0,main_w4_handler1,3280912,17864920,False,,11936602.roundup,slurm,,132112168.0,,,corral-repl,15949.0,mothur.shared,,"[{'src': 'hda', 'id': 33027961}]","""thetayc.0.03.lt.ave""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,"""spearman""","""3""",32.0,,42691248,1513806848.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_corr_axes/mothur_corr_axes/1.36.1.0,1.36.1.0,,2017-12-20 21:55:28.725502,5254,53.0
682,mothur.axes,2017-12-20 21:52:37.240904,reserved_normal,1513806870.0,0,,1.0,main_w4_handler1,3280912,17864921,False,,11936607.roundup,slurm,,132112168.0,,,corral-repl,15949.0,mothur.shared,,"[{'src': 'hda', 'id': 33027965}]","""thetayc.0.03.lt""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,"""spearman""","""3""",32.0,,42691248,1513806863.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_corr_axes/mothur_corr_axes/1.36.1.0,1.36.1.0,,2017-12-20 21:54:42.847860,5254,7.0
500,mothur.axes,2017-12-20 22:33:40.714654,reserved_normal,1513809263.0,0,,1.0,main_w4_handler1,3280912,17865282,False,,11937011.roundup,slurm,,132112168.0,,,corral-repl,15949.0,mothur.shared,,"[{'src': 'hda', 'id': 33027640}]","""thetayc.0.03.lt""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,"""spearman""","""3""",32.0,,42691248,1513809258.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_corr_axes/mothur_corr_axes/1.36.1.0,1.36.1.0,,2017-12-20 22:34:33.556366,5254,5.0
497,mothur.axes,2017-12-20 22:33:39.671951,reserved_normal,1513809239.0,0,,1.0,main_w3_handler0,3280912,17865280,False,,11937005.roundup,slurm,,132112168.0,,,corral-repl,15949.0,mothur.shared,,"[{'src': 'hda', 'id': 33027631}]","""jclass.0.03.lt.std""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,"""spearman""","""3""",32.0,,42691248,1513809231.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_corr_axes/mothur_corr_axes/1.36.1.0,1.36.1.0,,2017-12-20 22:34:04.688621,5254,8.0
496,mothur.axes,2017-12-20 22:33:38.835254,reserved_normal,1513809239.0,0,,1.0,main_w4_handler0,3280912,17865278,False,,11937004.roundup,slurm,,132112168.0,,,corral-repl,15949.0,mothur.shared,,"[{'src': 'hda', 'id': 33027623}]","""jclass.0.03.lt.ave""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,"""spearman""","""3""",32.0,,42691248,1513809231.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_corr_axes/mothur_corr_axes/1.36.1.0,1.36.1.0,,2017-12-20 22:34:03.303771,5254,8.0
494,mothur.axes,2017-12-20 22:33:40.262654,reserved_normal,1513809239.0,0,,1.0,main_w3_handler0,3280912,17865281,False,,11937006.roundup,slurm,,132112168.0,,,corral-repl,15949.0,mothur.shared,,"[{'src': 'hda', 'id': 33027636}]","""thetayc.0.03.lt.ave""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,"""spearman""","""3""",32.0,,42691248,1513809231.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_corr_axes/mothur_corr_axes/1.36.1.0,1.36.1.0,,2017-12-20 22:34:05.002496,5254,8.0
496,mothur.axes,2017-12-20 22:33:39.150414,reserved_normal,1513809246.0,0,,1.0,main_w3_handler1,3280912,17865279,False,,11937008.roundup,slurm,,132112168.0,,,corral-repl,15949.0,mothur.shared,,"[{'src': 'hda', 'id': 33027627}]","""jclass.0.03.lt""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,"""spearman""","""3""",32.0,,42691248,1513809241.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_corr_axes/mothur_corr_axes/1.36.1.0,1.36.1.0,,2017-12-20 22:34:14.886671,5254,5.0
496,mothur.axes,2017-12-20 22:33:41.210672,reserved_normal,1513809249.0,0,,1.0,main_w3_handler1,3280912,17865283,False,,11937009.roundup,slurm,,132112168.0,,,corral-repl,15949.0,mothur.shared,,"[{'src': 'hda', 'id': 33027644}]","""thetayc.0.03.lt.std""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,,,"""spearman""","""3""",32.0,,42691248,1513809244.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_corr_axes/mothur_corr_axes/1.36.1.0,1.36.1.0,,2017-12-20 22:34:24.236883,5254,5.0
23396,mothur.axes,2017-12-20 22:50:48.458941,reserved_normal,1513810288.0,0,,1.0,main_w4_handler0,3280912,17865358,False,,11937125.roundup,slurm,,132112168.0,183.0,tabular,corral-repl,,,,"[{'src': 'hda', 'id': 33028017}]","""jclass.0.03.lt""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1.0,"[{'src': 'hda', 'id': 31618539}]",metadata,"""spearman""","""3""",32.0,,42691248,1513810283.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_corr_axes/mothur_corr_axes/1.36.1.0,1.36.1.0,,2017-12-20 22:51:38.457400,5254,5.0
23410,mothur.axes,2017-12-20 22:50:49.899814,reserved_normal,1513810291.0,0,,1.0,main_w4_handler0,3280912,17865360,False,,11937126.roundup,slurm,,132112168.0,183.0,tabular,corral-repl,,,,"[{'src': 'hda', 'id': 33028021}]","""thetayc.0.03.lt.ave""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1.0,"[{'src': 'hda', 'id': 31618539}]",metadata,"""spearman""","""3""",32.0,,42691248,1513810286.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_corr_axes/mothur_corr_axes/1.36.1.0,1.36.1.0,,2017-12-20 22:51:38.775150,5254,5.0
23403,mothur.axes,2017-12-20 22:50:51.101113,reserved_normal,1513810280.0,0,,1.0,main_w4_handler1,3280912,17865362,False,,11937124.roundup,slurm,,132112168.0,183.0,tabular,corral-repl,,,,"[{'src': 'hda', 'id': 33028025}]","""thetayc.0.03.lt.std""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1.0,"[{'src': 'hda', 'id': 31618539}]",metadata,"""spearman""","""3""",32.0,,42691248,1513810275.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/mothur_corr_axes/mothur_corr_axes/1.36.1.0,1.36.1.0,,2017-12-20 22:51:26.109745,5254,5.0
