create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input1,input1_filetype,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.columns,parameters.dbkey,parameters.input,parameters.input1,parameters.input1_chromCol,parameters.input1_column_types,parameters.input1_columns,parameters.input1_dbkey,parameters.input1_endCol,parameters.input1_nameCol,parameters.input1_startCol,parameters.input1_strandCol,parameters.input_chromCol,parameters.input_columns,parameters.input_dbkey,parameters.input_endCol,parameters.input_startCol,parameters.input_strandCol,parameters.method,parameters.numeric_columns,parameters.numeric_columns.__class__,parameters.numeric_columns.value,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2014-02-17 18:14:58.278564,slurm_normal,1452745744.0,0.0,1.0,main_w2_handler0,1809045.0,6532682,False,,,52.0,tabular,,5765841.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy/data/chrom/hg19.len""",,"""hg19""",,14668948,,,,,,,,,,,,,,,"""pearson""",,UnvalidatedValue,['5'],32.0,,13390155.0,1452745738.0,ok,1023996.0,cor2,1.0.0,,2016-01-14 04:29:08.695458,45252.0,6.0
2014-02-17 18:14:58.317724,slurm_normal,1452745773.0,0.0,1.0,main_w1_handler0,1809045.0,6532683,False,,,52.0,tabular,,5765845.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy/data/chrom/hg19.len""",,"""hg19""",,14668948,,,,,,,,,,,,,,,"""pearson""",,UnvalidatedValue,['5'],32.0,,13390155.0,1452745768.0,ok,1023996.0,cor2,1.0.0,,2016-01-14 04:29:42.204579,45252.0,5.0
