create_time,destination_id,end_epoch,exit_code,fasta,fasta_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.fasta.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-02-23 07:07:41.471361,slurm_normal,1487833790.0,0,92553716,fasta,1.0,main_w3_handler0,3006912,15115613,False,,9270072.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 28474965}]",32.0,,36237396,1487833779.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_reverse_seqs/1.20.0,1.20.0,,2017-02-23 07:09:52.734576,,11.0
2017-02-23 07:13:57.661157,slurm_normal,1487834052.0,0,92553734,fasta,1.0,main_w3_handler1,3006912,15115632,False,,9270090.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 28475270}]",32.0,,36237396,1487834041.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_reverse_seqs/1.20.0,1.20.0,,2017-02-23 07:14:16.748838,,11.0
2017-02-23 06:01:26.305189,slurm_normal,1487829722.0,0,68331822,fasta,1.0,main_w4_handler1,3006912,15115216,False,,9269751.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 28474710}]",32.0,,36237396,1487829708.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_reverse_seqs/1.20.0,1.20.0,,2017-02-23 06:02:05.308580,,14.0
2017-02-23 05:58:09.844141,slurm_normal,1487829502.0,0,68331760,fasta,1.0,main_w3_handler0,3006912,15115196,False,,9269736.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 28474488}]",32.0,,36237396,1487829494.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_reverse_seqs/1.20.0,1.20.0,,2017-02-23 05:58:26.264547,,8.0
2017-02-23 06:00:38.897427,slurm_normal,1487829656.0,0,68331805,fasta,1.0,main_w4_handler0,3006912,15115213,False,,9269747.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 28474528}]",32.0,,36237396,1487829647.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_reverse_seqs/1.20.0,1.20.0,,2017-02-23 06:00:58.139069,,9.0
2017-02-23 05:58:33.339627,slurm_normal,1487829535.0,0,68331775,fasta,1.0,main_w4_handler0,3006912,15115198,False,,9269738.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 28474522}]",32.0,,36237396,1487829527.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_reverse_seqs/1.20.0,1.20.0,,2017-02-23 05:58:57.313950,,8.0
2017-02-23 05:59:35.969884,slurm_normal,1487829594.0,0,68331789,fasta,1.0,main_w4_handler0,3006912,15115205,False,,9269743.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 28474525}]",32.0,,36237396,1487829583.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_reverse_seqs/1.20.0,1.20.0,,2017-02-23 05:59:57.315082,,11.0
2017-02-23 06:01:05.410295,slurm_normal,1487829679.0,0,68331811,fasta,1.0,main_w4_handler0,3006912,15115214,False,,9269748.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 28474556}]",32.0,,36237396,1487829669.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_reverse_seqs/1.20.0,1.20.0,,2017-02-23 06:01:22.725749,,10.0
2017-02-23 07:06:38.018815,slurm_normal,1487833639.0,0,92679319,fasta,1.0,main_w3_handler1,3006912,15115600,False,,9270056.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 28474833}]",32.0,,36237396,1487833628.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_reverse_seqs/1.20.0,1.20.0,,2017-02-23 07:07:23.272904,,11.0
2017-02-23 07:06:51.914980,slurm_normal,1487833667.0,0,92659211,fasta,1.0,main_w4_handler1,3006912,15115603,False,,9270057.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 28474931}]",32.0,,36237396,1487833645.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_reverse_seqs/1.20.0,1.20.0,,2017-02-23 07:07:50.706307,,22.0
2017-02-23 07:07:01.373307,slurm_normal,1487833688.0,0,92659230,fasta,1.0,main_w3_handler1,3006912,15115606,False,,9270064.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 28474945}]",32.0,,36237396,1487833676.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_reverse_seqs/1.20.0,1.20.0,,2017-02-23 07:08:12.157119,,12.0
2017-02-23 07:06:44.909287,slurm_normal,1487833622.0,0,92669269,fasta,1.0,main_w4_handler0,3006912,15115602,False,,9270053.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 28474895}]",32.0,,36237396,1487833609.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_reverse_seqs/1.20.0,1.20.0,,2017-02-23 07:07:04.718389,,13.0
2017-02-23 07:07:09.058931,slurm_normal,1487833693.0,0,92649176,fasta,1.0,main_w3_handler0,3006912,15115607,False,,9270063.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 28474946}]",32.0,,36237396,1487833676.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_reverse_seqs/1.20.0,1.20.0,,2017-02-23 07:08:16.685005,,17.0
2017-02-23 07:07:34.306958,slurm_normal,1487833823.0,0,92563779,fasta,1.0,main_w4_handler1,3006912,15115612,False,,9270075.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 28474964}]",32.0,,36237396,1487833812.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_reverse_seqs/1.20.0,1.20.0,,2017-02-23 07:10:26.279009,,11.0
2017-02-23 07:06:27.638073,slurm_normal,1487833602.0,0,92694398,fasta,1.0,main_w3_handler0,3006912,15115598,False,,9270049.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 28474782}]",32.0,,36237396,1487833591.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_reverse_seqs/1.20.0,1.20.0,,2017-02-23 07:06:46.392838,,11.0
