chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,inputA,inputA_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.addition.__current_case__,parameters.addition.addition_select,parameters.addition.b,parameters.addition.l,parameters.addition.r,parameters.chromInfo,parameters.dbkey,parameters.genome.values,parameters.header,parameters.inputA.values,parameters.pct,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-03-05 11:18:10.192168,slurm_normal,1488712699.0,0,1.0,1971,gg,main_w3_handler0,2804823,15211188,False,,2380,bed,9360526.roundup,slurm,,132112168.0,corral-repl,,,1,lr,,1000,0,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 26815078}]","""false""","[{'src': 'hda', 'id': 28623308}]","""false""","""false""",32.0,,36437156.0,1488712694.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.24.0,2.24.0,,2017-03-05 11:18:20.476300,89184.0,5.0
,,2016-09-08 08:54:57.735605,slurm_normal,1473324929.0,0,1.0,410,bed,main_w3_handler0,2805268,13804319,False,,17849,bed,8024851.roundup,slurm,,132112168.0,corral-repl,,,0,b,250,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b583e5a5044a2cb243'}]","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b531ed6cf2b4507bb4'}]","""false""","""false""",32.0,,32687306.0,1473324911.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.24.0,2.24.0,,2016-09-08 08:55:46.114100,89291.0,18.0
,,2017-03-06 11:39:42.921459,slurm_normal,1488800393.0,0,1.0,1971,gg,main_w3_handler1,2804823,15218725,False,,28950,bed,9367611.roundup,slurm,,132112168.0,corral-repl,,,0,b,1000,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 26815078}]","""false""","[{'src': 'hda', 'id': 28584379}]","""false""","""false""",32.0,,36456636.0,1488800388.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.24.0,2.24.0,,2017-03-06 11:39:55.900571,89184.0,5.0
,,2016-06-24 09:38:22.029736,slurm_normal,1466761140.0,0,1.0,715484,tabular,main_w1_handler1,2737822,13253404,False,,71234,bed,7440384.roundup,slurm,,132112168.0,corral-repl,,,0,b,1000,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a02f127ffa78b82d'}]","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b589d739554a2f8638'}]","""false""","""false""",32.0,,30875603.0,1466761136.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.24.0,2.24.0,,2016-06-24 09:39:01.248655,86068.0,4.0
,,2016-06-24 14:46:37.137328,slurm_normal,1466780288.0,0,1.0,3137162640,tabular,main_w1_handler1,2749022,13254838,False,,29593,bed,7441867.roundup,slurm,,132112168.0,corral-repl,,,0,b,100,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ed0e453a3b8f09ac'}]","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e424af76a7178f71'}]","""false""","""false""",32.0,,30883234.0,1466780185.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.24.0,2.24.0,,2016-06-24 14:58:09.844808,85969.0,103.0
,,2016-07-14 11:18:29.958489,slurm_normal,1468495157.0,0,1.0,37704,bed,main_w2_handler1,2765898,13408905,False,,37704,bed,7620986.roundup,slurm,,132112168.0,corral-repl,,,0,b,200,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e98605523f4a31f3'}]","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e98605523f4a31f3'}]","""false""","""false""",32.0,,31471139.0,1468495154.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.24.0,2.24.0,,2016-07-14 11:19:18.980985,15441.0,3.0
,,2016-07-14 11:29:42.471335,slurm_normal,1468495815.0,0,1.0,4749,bed,main_w1_handler0,2765898,13408946,False,,4749,bed,7621061.roundup,slurm,,132112168.0,corral-repl,,,0,b,150,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b50a965e3dcc46ba52'}]","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b50a965e3dcc46ba52'}]","""false""","""false""",32.0,,31471139.0,1468495812.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.24.0,2.24.0,,2016-07-14 11:30:17.327378,15441.0,3.0
,,2016-09-23 21:27:00.836869,slurm_normal,1474666110.0,0,1.0,392,bed,main_w3_handler0,2831004,13928636,False,,392,bed,8150859.roundup,slurm,,132112168.0,corral-repl,,,0,b,100,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 'bbd44e69cb8906b549dbb620e49ee891'}]","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b549dbb620e49ee891'}]","""false""","""false""",32.0,,33140925.0,1474666073.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.24.0,2.24.0,,2016-09-23 21:28:33.149045,,37.0
,,2016-09-23 15:07:07.056200,slurm_normal,1474643570.0,0,1.0,628,gg,main_w3_handler0,2824917,13926168,False,,1632740051,bed,8148499.roundup,slurm,,132112168.0,corral-repl,,,1,lr,,0,125,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b2630cfdb3dc1003'}]","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b56af768386d1e8dd4'}]","""false""","""true""",32.0,,33125447.0,1474643282.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.24.0,2.24.0,,2016-09-23 15:12:54.629304,84687.0,288.0
,,2016-09-26 18:48:25.356862,slurm_normal,1474915833.0,0,1.0,80,bed,main_w4_handler0,2833588,13947274,False,,1030,bed,8168325.roundup,slurm,,132112168.0,corral-repl,,,0,b,10,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5dfc8e447561cc8c3'}]","""false""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57f24031bed8c4018'}]","""false""","""false""",32.0,,32319261.0,1474915729.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.24.0,2.24.0,,2016-09-26 18:50:43.199485,88613.0,104.0
