chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.winsize,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-04-26 08:46:44.488849,slurm_normal,1461660422.0,1.0,,1.0,main_w2_handler0,1590843,12620244,False,,75101,clustal,6823500.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52ef9899530b4523c'}]","""4""",32.0,,29825917,1461660417.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2016-04-26 08:47:03.006814,38750.0,5.0
,,2015-06-01 19:53:11.361267,slurm_normal,1433188426.0,1.0,,1.0,main_w2_handler1,2272740,9575961,False,,244345,clustal,3888781.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19880535,,"""4""",32.0,,22333464,1433188418.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2015-06-01 19:53:51.112820,35039.0,8.0
,,2015-08-05 07:00:04.550612,slurm_normal,1438759172.0,1.0,,1.0,main_w1_handler2,2400247,10065441,False,,4084135,fasta,4344044.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20691089,,"""4""",32.0,,24457689,1438758019.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2015-08-05 07:19:34.488612,,1153.0
,,2015-08-06 10:39:33.691365,slurm_normal,1438857820.0,1.0,,1.0,main_w2_handler1,2402368,10071584,False,,1689985,fasta,4349616.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20702110,,"""4""",32.0,,24457511,1438857601.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2015-08-06 10:43:45.022432,,219.0
,,2015-08-06 10:40:33.914130,slurm_normal,1438857982.0,1.0,,1.0,main_w2_handler0,2402368,10071592,False,,562437,fasta,4349648.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20702105,,"""4""",32.0,,24457511,1438857934.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2015-08-06 10:46:25.400005,,48.0
,,2015-08-06 10:39:46.598059,slurm_normal,1438857925.0,1.0,,1.0,main_w2_handler1,2402368,10071587,False,,1081337,fasta,4349636.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20702107,,"""4""",32.0,,24457511,1438857831.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2015-08-06 10:45:29.807388,,94.0
,,2015-08-06 10:47:41.529009,slurm_normal,1438859295.0,1.0,,1.0,main_w1_handler1,2402368,10071632,False,,4084135,fasta,4349661.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20702149,,"""4""",32.0,,24457511,1438858075.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2015-08-06 11:08:18.421742,,1220.0
,,2015-08-06 11:12:29.340342,slurm_normal,1438861222.0,1.0,,1.0,main_w2_handler0,2402368,10071730,False,,4084135,fasta,4349794.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20702149,,"""4""",32.0,,24457511,1438860081.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2015-08-06 11:40:25.074710,,1141.0
,,2015-08-07 10:06:56.249400,slurm_normal,1438943183.0,1.0,,1.0,main_w2_handler0,2402368,10077254,False,,4084135,fasta,4354850.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20702149,,"""100""",32.0,,24457511,1438942051.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2015-08-07 10:26:27.886880,,1132.0
,,2015-09-21 07:40:48.523480,slurm_normal,1442821272.0,1.0,,1.0,main_w2_handler0,2441976,10370932,False,,527641,clustal,4651992.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21144949,,"""4""",32.0,,25184088,1442821266.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2015-09-21 07:41:13.764934,69306.0,6.0
,,2015-10-06 12:44:43.083303,slurm_normal,1444135535.0,1.0,,1.0,main_w2_handler0,2461771,10509539,False,,13718,fasta,4785133.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21413571,,"""4""",32.0,,25527158,1444135507.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2015-10-06 12:45:36.658863,36889.0,28.0
,,2015-11-22 03:35:27.445949,slurm_normal,1448163804.0,1.0,,1.0,main_w1_handler0,2515326,10981247,False,,4083255,fasta,5242420.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22120343,,"""4""",32.0,,26285444,1448163341.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2015-11-22 03:43:26.524050,64758.0,463.0
,,2015-11-22 03:35:30.367677,slurm_normal,1448164274.0,1.0,,1.0,main_w1_handler0,2515326,10981252,False,,4033653,fasta,5242438.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22120354,,"""4""",32.0,,26285444,1448163812.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2015-11-22 03:51:16.913597,64758.0,462.0
,,2015-11-22 03:35:28.304500,slurm_normal,1448163822.0,1.0,,1.0,main_w2_handler0,2515326,10981248,False,,4140505,fasta,5242421.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22120345,,"""4""",32.0,,26285444,1448163346.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2015-11-22 03:43:44.727212,64758.0,476.0
,,2015-11-22 03:35:29.717988,slurm_normal,1448164404.0,1.0,,1.0,main_w2_handler1,2515326,10981250,False,,3912944,fasta,5242439.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22120351,,"""4""",32.0,,26285444,1448163815.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2015-11-22 03:53:28.313888,64758.0,589.0
,,2015-11-22 03:35:29.084901,slurm_normal,1448163847.0,1.0,,1.0,main_w2_handler1,2515326,10981249,False,,3866566,fasta,5242423.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22120346,,"""4""",32.0,,26285444,1448163353.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2015-11-22 03:44:10.083747,64758.0,494.0
,,2016-03-16 00:33:47.307702,slurm_normal,1458089095.0,1.0,,1.0,main_w2_handler0,2627684,12148749,False,,184073,clustal,6365253.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23856352,,"""4""",32.0,,27252725,1458089089.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2016-03-16 00:44:59.270712,3741.0,6.0
,,2016-08-03 12:43:58.854000,slurm_normal,1470228288.0,1.0,,1.0,main_w1_handler1,2760958,13577473,False,,5420842,txt,7786065.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bbe2bf174d9d0d61'}]","""4""",32.0,,31341976,1470228262.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2016-08-03 12:44:49.860187,,26.0
,,2016-11-16 05:33:14.895590,slurm_normal,1479274412.0,1.0,,1.0,main_w3_handler1,2896422,14350945,False,,4480046,bed,8556910.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm10Strains1.len""","""mm10Strains1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ce2661698c897429'}]","""4""",32.0,,34272365,1479274397.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2016-11-16 05:33:33.357665,,15.0
,,2017-01-19 07:51:50.061288,slurm_normal,1484812323.0,1.0,,1.0,main_w3_handler1,2950793,14807762,False,,667685,fasta,8970796.roundup,slurm,,132111800.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27989625}]","""50""",32.0,,35274563,1484812313.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2017-01-19 07:52:05.173575,97814.0,10.0
,,2017-01-19 07:49:51.913656,slurm_normal,1484812202.0,1.0,,1.0,main_w4_handler0,2950793,14807752,False,,667685,fasta,8970787.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 27989625}]","""4""",32.0,,35274563,1484812195.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: plotcon75/5.0.0,5.0.0,,2017-01-19 07:50:04.683825,97814.0,7.0
