chromInfo,chromInfo_filetype,contaminants,contaminants_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input_file,input_file_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.contaminants.values,parameters.dbkey,parameters.input_file.values,parameters.input_file|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,,,2017-05-31 02:36:35.600010,slurm_normal,1496198531.0,0,,1.0,main_w3_handler0,3130326,15974592,False,,2764834503,fastq.gz,10070168.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""","[{'src': 'hda', 'id': 29826621}]",,32.0,,38273994.0,1496198212.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.68,0.68,,2017-05-31 02:42:14.588383,106752.0,319.0
,,,,2017-05-31 00:40:43.588062,slurm_normal,1496191513.0,0,,1.0,main_w3_handler0,3014506,15974301,False,,6928440122,fastq,10069986.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""","[{'src': 'hda', 'id': 28578969}]",,32.0,,38314645.0,1496191256.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.68,0.68,,2017-05-31 00:45:14.827259,101084.0,257.0
,,,,2017-05-31 01:04:23.608677,slurm_normal,1496193102.0,0,,1.0,main_w3_handler0,3133709,15974371,False,,16719189,fastqsanger,10070031.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",,"""Homo_sapiens_nuHg19_mtrCRS""","[{'src': 'hda', 'id': 29826094}]",,32.0,,38323949.0,1496193095.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.68,0.68,,2017-05-31 01:11:45.599002,106891.0,7.0
,,,,2017-05-31 01:10:12.844964,slurm_normal,1496193151.0,0,,1.0,main_w3_handler0,3133709,15974395,False,,16719189,fastqsanger,10070034.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",,"""Homo_sapiens_nuHg19_mtrCRS""","[{'src': 'hda', 'id': 29826121}]",,32.0,,38323949.0,1496193144.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.68,0.68,,2017-05-31 01:12:35.636509,106891.0,7.0
,,,,2017-05-30 22:44:58.947674,slurm_normal,1496188841.0,0,,1.0,main_w4_handler1,3133464,15973914,False,Job output deleted by user before job completed.,15905815,fastqsanger,10069905.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""",,"""Homo_sapiens_nuHg19_mtrCRS""","[{'src': 'hda', 'id': 29825483}]",,32.0,,38318468.0,1496188835.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.68,0.68,,2017-05-31 01:24:35.577382,106872.0,6.0
,,,,2017-05-31 03:34:48.727596,slurm_normal,1496201750.0,0,,1.0,main_w3_handler0,3131877,15974738,False,,301965657,fastq,10070252.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""","[{'src': 'hda', 'id': 29823499}]",,32.0,,38220689.0,1496201705.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.68,0.68,,2017-05-31 03:35:52.452248,106584.0,45.0
,,,,2017-05-28 09:05:38.140765,slurm_normal,1498468192.0,0,,1.0,main_w3_handler1,3130475,15954470,False,,8202597,fastqsanger,10263430.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""","[{'src': 'hda', 'id': 29796587}]",,32.0,,38237790.0,1498468175.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.68,0.68,,2017-06-26 09:10:13.830324,,17.0
,,,,2017-05-30 22:21:21.985261,slurm_normal,1496207029.0,0,,1.0,main_w4_handler0,3133557,15973826,False,,2723303428,fastq,10070582.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""",,"""dm3""","[{'src': 'hda', 'id': 29825296}]","""control_m01.fq.gz""",32.0,,36422174.0,1496206866.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.68,0.68,,2017-05-31 05:25:40.719789,46626.0,163.0
,,,,2017-05-31 05:25:34.390967,slurm_normal,1496208368.0,0,,1.0,main_w4_handler1,2799646,15975144,False,,5378513,bam,10070785.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/papHam.len""",,"""papHam""","[{'src': 'hda', 'id': 29827470}]",,32.0,,38072041.0,1496208350.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.68,0.68,,2017-05-31 05:26:18.210772,88893.0,18.0
,,,,2017-05-31 04:42:14.196126,slurm_normal,1496206063.0,0,,1.0,main_w3_handler0,2799646,15974996,False,,5502071,bam,10070417.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/papHam.len""",,"""papHam""","[{'src': 'hda', 'id': 29827288}]",,32.0,,38072041.0,1496206037.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/fastqc/fastqc/0.68,0.68,,2017-05-31 04:47:46.220437,88893.0,26.0
