create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,microsat_in_read,microsat_in_read_filetype,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.lengthofbasetocheckquality,parameters.microsat_in_read,parameters.microsat_in_read.values,parameters.qualitycutoff,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-02-17 07:00:24.485578,slurm_normal,1455692544.0,0,,1.0,main_w1_handler2,2583200,11854791,False,,6097004.roundup,slurm,,132112168.0,324312076,tabular,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""20""",23353960,,"""20""",32.0,,28392811,1455692465.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/fetchflank/1.0.0,1.0.0,,2016-02-17 07:02:25.704735,77763.0,79.0
2016-03-16 10:15:31.657472,slurm_normal,1458123451.0,0,,1.0,main_w2_handler0,2635421,12151110,False,,6369630.roundup,slurm,,132112168.0,11685578,tabular,corral-repl,,"""02c38cc0eb6011e58536005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""20""",23861562,,"""20""",32.0,,28999569,1458123445.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/fetchflank/1.0.0,1.0.0,,2016-03-16 10:17:33.943822,35017.0,6.0
2016-03-16 12:42:58.512524,slurm_normal,1458132584.0,0,,1.0,main_w2_handler1,2635583,12153810,False,,6370721.roundup,slurm,,132112168.0,11685578,tabular,corral-repl,,"""9c03d7dceb7411e5b8cc005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""20""",23864889,,"""20""",32.0,,28999569,1458132574.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/fetchflank/1.0.0,1.0.0,,2016-03-16 12:49:48.297086,35017.0,10.0
2016-03-17 08:14:24.600511,slurm_normal,1458202723.0,0,,1.0,main_w2_handler1,2636761,12163230,False,,6380641.roundup,slurm,,132112168.0,11685578,tabular,corral-repl,,"""41ab09c8ec1811e596fb005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""20""",23881722,,"""20""",32.0,,29038353,1458202701.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/fetchflank/1.0.0,1.0.0,,2016-03-17 08:18:45.471041,35017.0,22.0
2016-03-17 08:15:58.532665,slurm_normal,1458202992.0,0,,1.0,main_w2_handler0,2636765,12163254,False,,6380658.roundup,slurm,,132112168.0,11685578,tabular,corral-repl,,"""796f6796ec1811e5b884005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""20""",23881758,,"""20""",32.0,,29038353,1458202982.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/fetchflank/1.0.0,1.0.0,,2016-03-17 08:23:14.808231,35017.0,10.0
2016-03-17 11:27:10.624135,slurm_normal,1458214462.0,0,,1.0,main_w1_handler2,2636941,12164742,False,,6382077.roundup,slurm,,132112168.0,21437372,tabular,corral-repl,,"""2ee46dfaec3311e58177005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""20""",23884186,,"""20""",32.0,,29038353,1458214455.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/fetchflank/1.0.0,1.0.0,,2016-03-17 11:34:24.732997,35017.0,7.0
2016-03-18 08:39:48.894394,slurm_normal,1458290652.0,0,,1.0,main_w2_handler0,2638255,12175870,False,,6392484.roundup,slurm,,132112168.0,27308166,tabular,corral-repl,,"""f8327844ece411e58e17005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""20""",23901318,,"""20""",32.0,,29038353,1458290643.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/fetchflank/1.0.0,1.0.0,,2016-03-18 08:44:13.459043,35017.0,9.0
2016-09-13 14:23:55.034972,slurm_normal,1473776659.0,0,,1.0,main_w3_handler1,2817658,13841884,False,,8064730.roundup,slurm,,132112168.0,27023,tabular,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""20""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53f9c5adeeb7becc4'}]","""20""",32.0,,32910415,1473776655.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/fetchflank/1.0.0,1.0.0,,2016-09-13 14:24:22.843547,90012.0,4.0
2016-03-21 08:13:36.520153,slurm_normal,1458548293.0,0,,1.0,main_w1_handler0,2640769,12207961,False,,6422274.roundup,slurm,,132112168.0,27308166,tabular,corral-repl,,"""cdf7beeaef3c11e5863c005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""20""",23946308,,"""20""",32.0,,29038353,1458548283.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/fetchflank/1.0.0,1.0.0,,2016-03-21 08:18:16.522490,35017.0,10.0
2016-07-05 03:57:43.454183,slurm_normal,1467691098.0,0,,1.0,main_w2_handler1,2757595,13331275,False,,7538645.roundup,slurm,,132112168.0,471698,tabular,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""20""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b545ce40ce075e15cf'}]","""20""",32.0,,31278815,1467691094.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/arkarachai-fungtammasan/str_fm/fetchflank/1.0.0,1.0.0,,2016-07-05 03:58:23.297497,,4.0
