create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.out_format1,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-16 18:22:54.777222,rodeo_normal,1426530192.0,0.0,1.0,main_w1_handler0,2221208,8959728,False,,1651878,fasta,3186770.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18662761,,"""excel""",32.0,,21802038,1426530188.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: marscan49/5.0.0,5.0.0,,2015-03-16 18:23:13.860214,50494.0,4.0
2015-04-30 10:45:41.431205,slurm_normal,1430390884.0,0.0,1.0,main_w2_handler1,2287291,9367781,False,,38693057,fasta,3703908.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19523173,,"""gff""",32.0,,22403907,1430390831.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: marscan49/5.0.0,5.0.0,,2015-04-30 10:48:15.565667,57539.0,53.0
2015-04-30 10:39:10.651857,slurm_normal,1430390368.0,0.0,1.0,main_w2_handler0,2287291,9367755,False,,3222405,fasta,3703865.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19522378,,"""gff""",32.0,,22403907,1430390364.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: marscan49/5.0.0,5.0.0,,2015-04-30 10:39:32.031825,57539.0,4.0
2015-08-05 07:06:08.183148,slurm_normal,1438759316.0,0.0,1.0,main_w2_handler1,2400247,10065461,False,,4084135,fasta,4344102.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20691089,,"""gff""",32.0,,24457689,1438759312.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: marscan49/5.0.0,5.0.0,,2015-08-05 07:21:59.616147,,4.0
2015-11-03 21:28:22.213633,slurm_normal,1446586119.0,0.0,1.0,main_w1_handler1,2494311,10811203,False,,36983,fasta,5066538.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21862140,,"""excel""",32.0,,26074369,1446586114.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: marscan49/5.0.0,5.0.0,,2015-11-03 21:28:40.742977,,5.0
2015-11-06 15:37:28.188072,slurm_normal,1446824340.0,0.0,1.0,main_w1_handler2,2498173,10835907,False,,135591,fasta,5090769.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21902532,,"""gff""",32.0,,25852082,1446824330.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: marscan49/5.0.0,5.0.0,,2015-11-06 15:39:03.107823,12752.0,10.0
2016-02-02 15:17:20.981923,slurm_normal,1454426278.0,0.0,1.0,main_w2_handler0,2586260,11681845,False,,239799,fasta,5935672.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",23143483,,"""gff""",32.0,,26724650,1454426264.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: marscan49/5.0.0,5.0.0,,2016-02-02 15:18:03.837542,67110.0,14.0
2016-06-17 19:19:17.271215,slurm_normal,1466191170.0,0.0,1.0,main_w1_handler1,2695606,13195250,False,,4129,fasta,7379870.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b00ebf153d7f6017'}]","""gff""",32.0,,30050846,1466191166.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: marscan49/5.0.0,5.0.0,,2016-06-17 19:19:33.787407,,4.0
2016-02-26 18:00:30.568320,slurm_normal,1456509669.0,0.0,1.0,main_w2_handler1,2288868,11952837,False,,4682358,fasta,6186209.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23473607,,"""excel""",32.0,,28104400,1456509661.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: marscan49/5.0.0,5.0.0,,2016-02-26 18:01:14.721101,62515.0,8.0
2016-02-26 17:58:08.082839,slurm_normal,1456509527.0,0.0,1.0,main_w2_handler1,2288868,11952822,False,,4682358,fasta,6186183.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23473607,,"""table""",32.0,,28104400,1456509519.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: marscan49/5.0.0,5.0.0,,2016-02-26 17:58:52.255559,62515.0,8.0
