create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.differenceplot,parameters.input1,parameters.input1.values,parameters.interfaceplot,parameters.octanolplot,parameters.width,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-10-06 12:33:05.218484,slurm_normal,1444134810.0,1.0,1.0,main_w2_handler0,2461771,10509482,False,,1046,fasta,4785079.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",21414777,,"""no""","""no""","""19""",32.0,,25527158.0,1444134805.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2015-10-06 12:33:35.203851,36889.0,5.0
2016-02-01 08:27:32.001044,slurm_normal,1454315266.0,1.0,1.0,main_w1_handler2,2583588,11654232,False,,1216,fasta,5915042.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",23111496,,"""no""","""no""","""19""",32.0,,27422338.0,1454315262.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2016-02-01 08:27:49.370461,288.0,4.0
2016-02-08 00:52:41.338232,slurm_normal,1454892786.0,1.0,1.0,main_w2_handler1,2591146,11740294,False,,1195,fasta,5996834.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",23227982,,"""no""","""no""","""19""",32.0,,28116439.0,1454892781.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2016-02-08 00:53:09.925449,76802.0,5.0
2016-06-30 09:52:28.698891,slurm_normal,1467280363.0,1.0,1.0,main_w2_handler1,2752600,13295084,False,,1911480,fasta,7496692.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""yes""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cf10cca8746173bd'}]","""yes""","""yes""","""19""",32.0,,31081737.0,1467280359.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2016-06-30 09:52:44.911825,86604.0,4.0
2016-09-21 06:38:09.092046,slurm_normal,1474439911.0,1.0,1.0,main_w4_handler1,2812712,13902833,False,,2519,fasta,8125681.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a914a56c816fbff2'}]","""no""","""no""","""19""",32.0,,33067778.0,1474439907.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2016-09-21 06:38:32.042845,90628.0,4.0
2016-04-25 00:01:38.746309,slurm_normal,1461542514.0,1.0,1.0,main_w1_handler2,2682896,12595340,False,,83872,fasta,6797005.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d7fdb7cf4627d097'}]","""yes""","""yes""","""19""",32.0,,29797340.0,1461542510.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2016-04-25 00:01:54.838499,,4.0
2016-09-23 12:53:19.043491,slurm_normal,1474635368.0,1.0,1.0,main_w4_handler0,2822279,13924925,False,,505,fasta,8147275.roundup,slurm,,132112168.0,corral-repl,,"""b1ef9898818c11e6b7c9005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55b756a6bdfc17841'}]","""no""","""no""","""19""",32.0,,33121678.0,1474635362.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2016-09-23 12:56:13.008138,90323.0,6.0
2016-12-08 20:59:39.675796,slurm_normal,1481230789.0,1.0,1.0,main_w4_handler1,2922594,14521705,False,,358,fasta,8704385.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",,"[{'src': 'hda', 'id': 27548141}]","""no""","""no""","""19""",32.0,,33308139.0,1481230783.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2016-12-08 20:59:52.229678,91147.0,6.0
2017-02-08 09:48:12.753468,slurm_normal,1486547304.0,1.0,1.0,main_w3_handler1,523367,14980884,False,,1822,fasta,9138250.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",,"[{'src': 'hda', 'id': 28260844}]","""no""","""no""","""19""",32.0,,35883155.0,1486547297.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2017-02-08 09:48:27.352907,10411.0,7.0
2017-02-08 11:09:52.439180,slurm_normal,1486552201.0,1.0,1.0,main_w4_handler0,523367,14981514,False,,329,fasta,9138883.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",,"[{'src': 'hda', 'id': 28261631}]","""no""","""no""","""19""",32.0,,35883155.0,1486552196.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2017-02-08 11:10:06.026574,10411.0,5.0
2017-02-09 06:37:43.499947,slurm_normal,1486622272.0,1.0,1.0,main_w3_handler0,523367,14992226,False,,996,fasta,9149041.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",,"[{'src': 'hda', 'id': 28276599}]","""no""","""no""","""19""",32.0,,35883155.0,1486622267.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2017-02-09 06:37:54.502415,10411.0,5.0
2014-12-05 04:23:26.056925,rodeo_normal,1417753422.0,1.0,1.0,main_w2_handler0,1509652,8324741,False,,373,fasta,2203234.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",17797008,,"""yes""","""yes""","""21""",32.0,,17278286.0,1417753419.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2014-12-05 04:23:44.189172,36658.0,3.0
2014-12-05 04:18:53.331892,rodeo_normal,1417753151.0,1.0,1.0,main_w1_handler1,1509652,8324583,False,,373,fasta,427219.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",17797008,,"""no""","""no""","""19""",2.0,,17278286.0,1417753148.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2014-12-05 04:19:14.908832,36658.0,3.0
2014-12-05 04:20:35.365169,rodeo_normal,1417753256.0,1.0,1.0,main_w2_handler1,1509652,8324652,False,,373,fasta,427291.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",17797008,,"""no""","""no""","""25""",2.0,,17278286.0,1417753251.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2014-12-05 04:20:59.743939,36658.0,5.0
2014-12-05 04:21:39.730557,rodeo_normal,1417753319.0,1.0,1.0,main_w2_handler0,1509652,8324686,False,,373,fasta,427336.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",17797008,,"""no""","""no""","""15""",2.0,,17278286.0,1417753316.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2014-12-05 04:22:03.510434,36658.0,3.0
2017-05-08 19:17:40.426026,slurm_normal,1494271069.0,1.0,1.0,main_w3_handler1,3102826,15783381,False,,7581,fasta,9889688.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",,"[{'src': 'hda', 'id': 29521637}]","""no""","""no""","""19""",32.0,,37837426.0,1494271065.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2017-05-08 19:17:51.038641,105500.0,4.0
2017-05-08 19:32:38.679214,slurm_normal,1494271982.0,1.0,1.0,main_w4_handler1,3102826,15783509,False,,7581,fasta,9889815.roundup,slurm,,132112168.0,corral-repl,,"""0ca036bc342511e79e3d005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",,"[{'src': 'hda', 'id': 29521637}]","""no""","""no""","""19""",32.0,,,1494271978.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2017-05-08 19:33:05.142224,105500.0,4.0
2017-05-08 20:50:08.628419,slurm_normal,1494276635.0,1.0,1.0,main_w4_handler1,3102826,15784172,False,,7581,fasta,9890459.roundup,slurm,,132112168.0,corral-repl,,"""e52ddc46342f11e79176005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",,"[{'src': 'hda', 'id': 29521637}]","""no""","""no""","""19""",32.0,,,1494276631.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2017-05-08 20:50:38.080492,105500.0,4.0
2017-05-08 23:36:34.632549,slurm_normal,1494286611.0,1.0,1.0,main_w3_handler1,3103198,15785351,False,,7581,fasta,9891538.roundup,slurm,,132112168.0,corral-repl,,"""260dbf9e344711e7a3f4005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",,"[{'src': 'hda', 'id': 29525902}]","""no""","""no""","""19""",32.0,,,1494286607.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2017-05-08 23:36:54.368742,105500.0,4.0
2017-05-09 01:43:23.782628,slurm_normal,1494294220.0,1.0,1.0,main_w3_handler0,3103225,15785810,False,,7581,fasta,9891990.roundup,slurm,,132112168.0,corral-repl,,"""d7e1a134345811e79b29005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",,"[{'src': 'hda', 'id': 29526522}]","""no""","""no""","""19""",32.0,,,1494294217.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2017-05-09 01:43:42.367520,105500.0,3.0
2017-05-18 11:08:02.829082,slurm_normal,1495105704.0,1.0,1.0,main_w3_handler0,3116373,15877969,False,,520,fasta,9977773.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""yes""",,"[{'src': 'hda', 'id': 29668476}]","""no""","""no""","""19""",32.0,,38050177.0,1495105699.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: octanol63/5.0.0,5.0.0,,2017-05-18 11:08:25.586439,81318.0,5.0
