create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__current_case__,parameters.__index__,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.chromInfo,parameters.dbkey,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-02-19 16:43:54.945086,slurm_normal,1519060714.0,0,7680.0,1.0,main_w4_handler0,2937813,18437932,False,,3674271874,bam_native,12532542,slurm,,132112168.0,corral-repl,,,,0.0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33942259}]",32.0,,43814773,1519058646.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-19 17:18:36.961489,96837.0,2068.0
2018-02-19 16:45:25.256424,slurm_normal,1519060418.0,0,7680.0,1.0,main_w4_handler0,2937813,18437964,False,,2991876258,bam_native,12532559,slurm,,132112168.0,corral-repl,,,,0.0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33942368}]",32.0,,43814773,1519058734.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-19 17:13:40.734576,96837.0,1684.0
2018-02-19 17:27:51.120448,slurm_normal,1519062642.0,0,7680.0,1.0,main_w4_handler1,2937813,18438269,False,,2872608075,bam_native,12532906,slurm,,132112168.0,corral-repl,,0,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33942698}]",32.0,,43814773,1519061294.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-19 17:50:44.904043,96837.0,1348.0
2018-02-19 17:17:50.994139,slurm_normal,1519062574.0,0,7680.0,1.0,main_w4_handler1,2937813,18438190,False,,3499144597,bam_native,12532809,slurm,,132112168.0,corral-repl,,,,0.0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33942436}]",32.0,,43814773,1519060694.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-19 17:49:36.775867,96837.0,1880.0
2018-02-19 16:35:15.485659,slurm_normal,1519060860.0,0,7680.0,1.0,main_w3_handler0,2937813,18437813,False,,5242696318,bam_native,12532412,slurm,,132112168.0,corral-repl,,,,0.0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33941953}]",32.0,,43814773,1519058123.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-19 17:21:03.951481,96837.0,2737.0
2018-02-19 17:27:51.934248,slurm_normal,1519062296.0,0,7680.0,1.0,main_w4_handler1,2937813,18438270,False,,1136938614,bam_native,12532978,slurm,,132112168.0,corral-repl,,0,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33942699}]",32.0,,43814773,1519061745.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-19 17:44:58.863567,96837.0,551.0
2018-02-19 17:27:53.753825,slurm_normal,1519061722.0,0,7680.0,1.0,main_w3_handler0,2937813,18438272,False,,864282112,bam_native,12532905,slurm,,132112168.0,corral-repl,,0,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33942701}]",32.0,,43814773,1519061294.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-19 17:35:24.197497,96837.0,428.0
2018-02-19 17:27:54.371013,slurm_normal,1519063174.0,0,7680.0,1.0,main_w3_handler0,2937813,18438273,False,,1767940340,bam_native,12533108,slurm,,132112168.0,corral-repl,,0,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33942702}]",32.0,,43814773,1519062315.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-19 17:59:36.447367,96837.0,859.0
2018-02-19 17:27:53.197753,slurm_normal,1519063045.0,0,7680.0,1.0,main_w3_handler1,2937813,18438271,False,,3760787730,bam_native,12532904,slurm,,132112168.0,corral-repl,,0,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33942700}]",32.0,,43814773,1519061295.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-19 17:57:27.928576,96837.0,1750.0
2018-02-20 12:16:23.950508,slurm_normal,1519128999.0,0,7680.0,1.0,main_w4_handler1,3435847,18445979,False,,1153372,bam_native,12540988,slurm,,132112168.0,corral-repl,,,,0.0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33956297}]",32.0,,44026393,1519128993.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-20 12:16:42.050275,122367.0,6.0
2018-02-20 16:38:04.145350,slurm_normal,1519145098.0,0,7680.0,1.0,main_w3_handler0,3436190,18449477,False,,882880097,bam_native,12544345,slurm,,132112168.0,corral-repl,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33962431}]",32.0,,44036496,1519144697.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-20 16:45:01.192173,,401.0
2018-02-21 09:32:23.911593,slurm_normal,1519207678.0,0,7680.0,1.0,main_w3_handler1,3437020,18458665,False,,3593690628,bam_native,12553806,slurm,,132112168.0,corral-repl,,,,0.0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33976484}]",32.0,,44051579,1519205552.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-21 10:08:00.842073,122457.0,2126.0
2018-02-21 17:49:01.467467,slurm_normal,1519236869.0,0,7680.0,1.0,main_w4_handler1,3437020,18470703,False,,3658115272,bam_native,12564614,slurm,,132112168.0,corral-repl,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33993051}]",32.0,,44067289,1519235353.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-21 18:14:31.331159,122457.0,1516.0
2018-02-22 16:19:59.467536,slurm_normal,1519320345.0,0,7680.0,1.0,main_w3_handler1,2937813,18485752,False,,914151534,bam_native,12580930,slurm,,132112168.0,corral-repl,,,,0.0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34016320}]",32.0,,43814773,1519316412.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-22 17:25:48.123629,96837.0,3933.0
2018-02-22 16:20:11.509959,slurm_normal,1519321997.0,0,7680.0,1.0,main_w3_handler1,2937813,18485759,False,,934883423,bam_native,12580935,slurm,,132112168.0,corral-repl,,,,0.0,no,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 34016319}]",32.0,,43814773,1519316424.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-22 17:53:19.877885,96837.0,5573.0
2018-02-22 18:49:29.878470,slurm_normal,1519326874.0,0,7680.0,1.0,main_w4_handler1,3437020,18487700,False,,3618888795,bam_native,12582915,slurm,,132112168.0,corral-repl,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 34018762}]",32.0,,44098475,1519325412.0,ok,1023996.0,CONVERTER_bam_native_to_bam,1.0.0,,2018-02-22 19:14:36.163252,122457.0,1462.0
