chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.A,parameters.D.__current_case__,parameters.D.input,parameters.D.input.values,parameters.D.seq_dictionary,parameters.F,parameters.G,parameters.N,parameters.S,parameters.__workflow_invocation_uuid__,parameters.b,parameters.c,parameters.chromInfo,parameters.dbkey,parameters.e,parameters.g,parameters.i.__current_case__,parameters.i.alt_indel_snp_ratio,parameters.i.ratio,parameters.input,parameters.input.values,parameters.p.__current_case__,parameters.p.float_value,parameters.p.variant_filter,parameters.t.__current_case__,parameters.t.mutation_rate,parameters.t.rate,parameters.u,parameters.v,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2014-09-10 23:34:52.427144,roundup_single,1410392173.0,0.0,,1.0,main_w2_handler1,2041840,7695195,False,,2913373207.0,bcf,1682058,slurm,,132112264.0,corral-repl,,"""true""",1,,,false,"""false""","""false""","""true""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""false""","""true""",1,false,,16712737,,1,,false,1,false,,"""false""","""true""",32.0,,16819378.0,1410392105.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-10 23:36:15.064711,52782.0,68.0
,,2014-09-10 23:40:18.679476,roundup_single,1410392507.0,0.0,,1.0,main_w1_handler0,2041840,7695208,False,,2913373207.0,bcf,1682073,slurm,,132112264.0,corral-repl,,"""true""",1,,,false,"""false""","""false""","""false""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""false""","""true""",1,false,,16712737,,0,0.5,true,0,true,0.001,"""false""","""true""",32.0,,16819378.0,1410392435.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-10 23:41:48.174498,52782.0,72.0
,,2014-09-10 23:57:51.728197,roundup_single,1410393557.0,0.0,,1.0,main_w1_handler0,2041840,7695245,False,,2913373207.0,bcf,1682116,slurm,,132112264.0,corral-repl,,"""false""",1,,,false,"""true""","""false""","""true""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""false""","""true""",1,false,,16712737,,1,,false,0,true,0.1,"""false""","""true""",32.0,,16819378.0,1410393485.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-10 23:59:18.901468,52782.0,72.0
,,2014-09-11 00:04:00.642146,roundup_single,1410393936.0,0.0,,1.0,main_w2_handler0,2041840,7695256,False,,2913373207.0,bcf,1682131,slurm,,132112264.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""false""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""false""","""true""",1,false,,16712737,,0,0.75,true,0,true,0.001,"""false""","""true""",32.0,,16819378.0,1410393863.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-11 00:05:38.452297,52782.0,73.0
,,2014-09-11 00:14:04.718214,roundup_single,1410394535.0,0.0,,1.0,main_w1_handler1,2041840,7695273,False,,2912454635.0,bcf,1682153,slurm,,132112264.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""false""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""false""","""true""",1,false,,16712825,,1,,false,1,false,,"""false""","""true""",32.0,,16819378.0,1410394464.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-11 00:15:36.094337,52782.0,71.0
,,2014-09-11 00:13:00.149777,roundup_single,1410394455.0,0.0,,1.0,main_w1_handler0,2041840,7695271,False,,2913373207.0,bcf,1682149,slurm,,132112264.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""false""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""false""","""true""",1,false,,16712737,,1,,false,1,false,,"""false""","""true""",32.0,,16819378.0,1410394385.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-11 00:14:16.930147,52782.0,70.0
,,2014-09-11 00:14:31.803444,roundup_single,1410394578.0,0.0,,1.0,main_w2_handler1,2041840,7695277,False,,2917734297.0,bcf,1682157,slurm,,132112264.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""false""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""false""","""true""",1,false,,16712846,,1,,false,1,false,,"""false""","""true""",32.0,,16819378.0,1410394505.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-11 00:16:19.905416,52782.0,73.0
,,2014-09-11 00:44:24.435655,roundup_single,1410396342.0,0.0,,1.0,main_w1_handler0,2041840,7695342,False,,2913373207.0,bcf,1682234,slurm,,132112264.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""false""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""false""","""true""",1,false,,16712737,,1,,false,1,false,,"""true""","""true""",32.0,,16819378.0,1410396275.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-11 00:45:43.543415,52782.0,67.0
,,2014-09-11 01:09:17.974583,roundup_single,1410397846.0,0.0,,1.0,main_w1_handler0,2041840,7695380,False,,2913373207.0,bcf,1682280,slurm,,132112264.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""false""","""false""",,"""true""","""true""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""false""","""true""",1,false,,16712737,,1,,false,1,false,,"""false""","""true""",32.0,,16819378.0,1410397775.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-11 01:10:47.982917,52782.0,71.0
,,2014-09-10 19:48:51.820851,roundup_single,1410416949.0,0.0,,1.0,main_w1_handler1,2046216,7694432,False,,70599779.0,bcf,1683036,slurm,,132112264.0,corral-repl,,"""false""",1,,,false,"""false""","""false""","""false""","""false""",,"""false""","""true""","""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","""false""","""true""",1,false,,16718654,,1,,false,1,false,,"""false""","""true""",32.0,,16877284.0,1410416944.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/gregory-minevich/bcftools_view/bcftools_view/0.0.1,0.0.1,,2014-09-11 06:29:11.463270,39819.0,5.0
