chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.coverage_cap,parameters.dbkey,parameters.inputFile,parameters.minimum_base_quality,parameters.minimum_mapping_quality,parameters.reference_source.__current_case__,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,parameters.validation_stringency,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-05-05 02:28:38.823896,slurm_normal_16gb,1430792941.0,0,1.0,main_w1_handler0,2293504,9392897,False,,2143054,bam,3725351.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""250""","""?""",19573604,"""20""","""20""",0,hg19,cached,"""LENIENT""",32.0,,,,22877276,1430792936.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.126.0,1.126.0,,2015-05-05 02:29:04.162841,,5.0
,,2015-04-02 17:46:11.466774,slurm_normal_64gb,1428004931.0,0,1.0,main_w1_handler0,1305010,9126616,False,,146779504,bam,3411313,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""250""","""mm9""",19120547,"""20""","""20""",0,mm9,cached,"""LENIENT""",32.0,,,,22223461,1428004305.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.126.0,1.126.0,,2015-04-02 20:02:16.328678,31061.0,626.0
,,2015-05-06 21:06:01.349434,slurm_normal_16gb,1430946393.0,0,1.0,main_w2_handler1,1291637,9415493,False,,60220704,bam,3745358.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""250""","""?""",19615000,"""20""","""20""",1,19614075,history,"""LENIENT""",32.0,4708052.0,fasta,,22916125,1430946382.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.126.0,1.126.0,,2015-05-06 21:06:39.191001,30740.0,11.0
,,2015-05-12 15:22:40.288423,slurm_normal_16gb,1431447697.0,0,1.0,main_w1_handler1,2303013,9454502,False,,272861332,bam,3779938.roundup,slurm,,132112168.0,corral-repl,,"""a04f716ef8ba11e4a74c005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""250""","""hg19""",19678649,"""20""","""20""",0,hg19,cached,"""LENIENT""",32.0,,,,23030095,1431446761.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.126.0,1.126.0,,2015-05-12 16:21:39.304461,46265.0,936.0
,,2015-09-15 22:25:00.101807,slurm_normal_16gb,1442356678.0,0,1.0,main_w1_handler1,2439948,10327733,False,,55178452,bam,4611538.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""250""","""hg19""",21123164,"""20""","""20""",0,hg19,cached,"""LENIENT""",32.0,,,,25192756,1442355925.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.126.0,1.126.0,,2015-09-15 22:38:00.522546,69331.0,753.0
,,2015-05-14 18:13:50.601799,slurm_normal_16gb,1431627261.0,0,1.0,main_w2_handler1,2297663,9474008,False,,1345531,bam,3798051.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""250""","""Homo_sapiens_nuHg19_mtrCRS""",19712064,"""30""","""30""",0,hg19,cached,"""LENIENT""",32.0,,,,22938899,1431627257.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.126.0,1.126.0,,2015-05-14 18:14:27.263924,,4.0
,,2015-06-23 14:11:22.094397,slurm_normal_16gb,1435069228.0,0,1.0,main_w1_handler1,2353022,9715890,False,,93,bam,4023032,slurm,,132112168.0,corral-repl,,"""b4c4025a19b111e58885005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""250""","""hg19""",20105046,"""20""","""20""",0,hg19canon,cached,"""LENIENT""",32.0,,,,23773473,1435069223.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.126.0,1.126.0,,2015-06-23 14:27:15.551589,46265.0,5.0
,,2015-06-23 14:33:12.562871,slurm_normal_16gb,1435072209.0,0,1.0,main_w1_handler2,2353022,9716946,False,,149973890,bam,4023323,slurm,,132112168.0,corral-repl,,"""c2d3665819b411e5aa7c005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""250""","""hg19""",20106172,"""20""","""20""",0,hg19,cached,"""LENIENT""",32.0,,,,23773473,1435071325.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.126.0,1.126.0,,2015-06-23 15:10:13.494285,46265.0,884.0
,,2015-06-23 15:47:00.952055,slurm_normal_16gb,1435077212.0,0,1.0,main_w2_handler0,2353127,9717620,False,,510466359,bam,4023985,slurm,,132112168.0,corral-repl,,"""105250f619bf11e58d05005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""250""","""hg19""",20107165,"""20""","""20""",0,hg19,cached,"""LENIENT""",32.0,,,,23773473,1435076412.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.126.0,1.126.0,,2015-06-23 16:33:34.703073,46265.0,800.0
,,2015-05-27 13:55:57.556690,slurm_normal_16gb,1432735050.0,0,1.0,main_w2_handler1,1540043,9544722,False,,1127696720,bam,3858552.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""250""","""?""",19758608,"""10""","""5""",1,19747378,history,"""LENIENT""",32.0,7924.0,fasta,,23161714,1432734974.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_CollectWgsMetrics/1.126.0,1.126.0,,2015-05-27 13:57:34.759630,37112.0,76.0
