chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.description,parameters.disp_name,parameters.firstorf,parameters.html_out1,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,parameters.lastorf,parameters.length,parameters.margin,parameters.mstart,parameters.number,parameters.offset,parameters.orfminsize,parameters.out_format2,parameters.reverse,parameters.table,parameters.uppercase,parameters.width,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-01-15 00:57:20.305051,slurm_normal,1515977847.0,0.0,,1.0,main_w4_handler0,3389805,18034154,False,,48593,fasta,12111219,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""yes""","""yes""","""yes""","""no""",,"[{'src': 'hda', 'id': 33311227}]",,"""yes""","""0""","""10""","""no""","""yes""","""1""","""1""","""fasta""","""yes""","""0""","""""","""60""",32.0,,43148811,1515977842.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sixpack90/5.0.0,5.0.0,,2018-01-15 00:57:29.824597,,5.0
,,2018-01-17 19:42:31.010745,slurm_normal,1516218162.0,0.0,,1.0,main_w4_handler0,3389336,18065130,False,,2390,fasta,12143110,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""yes""","""yes""","""yes""","""no""",,"[{'src': 'hda', 'id': 33358162}]",,"""yes""","""0""","""10""","""no""","""yes""","""1""","""1""","""fasta""","""yes""","""0""","""""","""60""",32.0,,43140174,1516218157.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sixpack90/5.0.0,5.0.0,,2018-01-17 19:42:44.853857,,5.0
,,2017-12-11 00:50:02.720219,slurm_normal,1512953431.0,0.0,,1.0,main_w3_handler1,3360803,17767457,False,,905560065,fasta,11836171,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""yes""","""yes""","""yes""","""no""",,"[{'src': 'hda', 'id': 32850505}]",,"""yes""","""0""","""10""","""no""","""yes""","""1""","""6""","""fasta""","""yes""","""0""","""""","""100""",32.0,,42571113,1512953408.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sixpack90/5.0.0,5.0.0,,2017-12-11 00:50:33.950015,,23.0
,,2018-01-22 16:18:30.068107,slurm_normal,1516637922.0,0.0,,1.0,main_w4_handler0,3400881,18120225,False,,926250,fasta,12199957,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""yes""","""yes""","""yes""","""no""",,"[{'src': 'hda', 'id': 33443645}]",,"""yes""","""0""","""10""","""no""","""yes""","""1""","""1""","""fasta""","""yes""","""0""","""""","""60""",32.0,,43352494,1516637917.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sixpack90/5.0.0,5.0.0,,2018-01-22 16:18:44.315462,,5.0
,,2018-03-07 18:49:22.852142,slurm_normal,1520448679.0,0.0,7680.0,1.0,main_w4_handler0,3455703,18644795,False,,438,fasta,12740101,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""yes""","""yes""","""yes""","""no""",,"[{'src': 'hda', 'id': 34274176}]",,"""yes""","""0""","""10""","""no""","""yes""","""1""","""1""","""fasta""","""yes""","""0""","""""","""60""",32.0,,44434639,1520448676.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sixpack90/5.0.0,5.0.0,,2018-03-07 18:51:21.158406,,3.0
,,2018-03-07 18:49:18.445424,slurm_normal,1520448679.0,0.0,7680.0,1.0,main_w3_handler0,3443654,18644794,False,,432,fasta,12740100,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""yes""","""yes""","""yes""","""no""",,"[{'src': 'hda', 'id': 34274174}]",,"""yes""","""0""","""10""","""no""","""yes""","""1""","""1""","""fasta""","""yes""","""0""","""""","""60""",32.0,,44180942,1520448675.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sixpack90/5.0.0,5.0.0,,2018-03-07 18:51:23.651716,122863.0,4.0
,,2018-03-07 18:56:33.936638,slurm_normal,1520449040.0,0.0,7680.0,1.0,main_w3_handler0,3455703,18644849,False,,438,fasta,12740187,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""yes""","""yes""","""yes""","""no""",,"[{'src': 'hda', 'id': 34274176}]",,"""yes""","""0""","""10""","""yes""","""yes""","""1""","""1""","""fasta""","""no""","""0""","""""","""60""",32.0,,44434639,1520449037.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sixpack90/5.0.0,5.0.0,,2018-03-07 18:57:23.632781,,3.0
,,2018-03-07 18:55:09.245140,slurm_normal,1520448962.0,0.0,7680.0,1.0,main_w3_handler0,3443654,18644841,False,,432,fasta,12740170,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""yes""","""yes""","""yes""","""no""",,"[{'src': 'hda', 'id': 34274174}]",,"""yes""","""0""","""10""","""yes""","""yes""","""1""","""1""","""fasta""","""no""","""0""","""""","""60""",32.0,,44180942,1520448958.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sixpack90/5.0.0,5.0.0,,2018-03-07 18:56:06.663954,122863.0,4.0
,,2018-03-08 21:51:19.541238,slurm_normal,1520545894.0,0.0,7680.0,1.0,main_w4_handler1,3451405,18664150,False,,1474,fasta,12760114,slurm,,132111800.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""yes""","""yes""","""yes""","""no""",,"[{'src': 'hda', 'id': 34307211}]",,"""yes""","""0""","""10""","""no""","""yes""","""1""","""1""","""fasta""","""yes""","""0""","""""","""60""",32.0,,44325316,1520545891.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sixpack90/5.0.0,5.0.0,,2018-03-08 21:51:35.794306,,3.0
,,2018-03-09 00:11:45.162332,slurm_normal,1520554319.0,0.0,7680.0,1.0,main_w3_handler1,3457486,18665679,False,,382,fasta,12761696,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""yes""","""yes""","""yes""","""no""",,"[{'src': 'hda', 'id': 34309973}]",,"""yes""","""0""","""10""","""no""","""yes""","""1""","""1""","""fasta""","""yes""","""0""","""""","""60""",32.0,,44492124,1520554316.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: sixpack90/5.0.0,5.0.0,,2018-03-09 00:12:01.324616,123675.0,3.0
