chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.adv_opts.__current_case__,parameters.adv_opts.adv_opts_selector,parameters.adv_opts.silent,parameters.chromInfo,parameters.code,parameters.dbkey,parameters.infile,parameters.infile.values,parameters.infile|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-12-13 11:33:56.560170,slurm_normal,1513164854.0,0,,1.0,main_w3_handler1,3341032,17795823,False,34856087,bed,,11865090,slurm,,132112168.0,corral-repl,,,0,basic,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""s/chr//""","""hg19""",,"[{'src': 'hda', 'id': 32897365}]",,32.0,,42013659.0,1513164845.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sed_tool/1.0.0,1.0.0,,2017-12-13 11:34:16.175632,105864.0,9.0
,,2018-03-08 18:34:33.170089,slurm_normal,1520534748.0,0,7680.0,1.0,main_w4_handler0,3457241,18661559,False,17142,tabular,,12757762,slurm,,132112168.0,corral-repl,,"""ff47d5fa22fe11e8ac90005056ba55fb""",0,basic,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""s/[ACTG]//g""","""?""",,"[{'src': 'hda', 'id': 34303256}]",,32.0,,,1520534744.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sed_tool/1.0.0,1.0.0,,2018-03-08 18:45:50.215404,5613.0,4.0
,,2018-03-08 22:05:34.224321,slurm_normal,1520547200.0,0,7680.0,1.0,main_w4_handler0,3452962,18664484,False,56667507,tabular,,12760468,slurm,,132112168.0,corral-repl,,"""c1a0c9f0231c11e8b79c005056ba2773""",0,basic,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""s/[ACTG]//g""","""?""",,"[{'src': 'hda', 'id': 34307678}]",,32.0,,,1520547188.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sed_tool/1.0.0,1.0.0,,2018-03-08 22:13:24.734185,5613.0,12.0
,,2018-03-09 22:12:08.549111,slurm_normal,1520633811.0,0,7680.0,1.0,main_w3_handler1,3458853,18677846,False,34142,tabular,,12774104,slurm,,132112168.0,corral-repl,,"""d5449e5823e611e8878f005056ba55fb""",0,basic,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""s/[ACTG]//g""","""?""",,"[{'src': 'hda', 'id': 34332774}]",,32.0,,,1520633808.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sed_tool/1.0.0,1.0.0,,2018-03-09 22:16:53.553191,5613.0,3.0
,,2018-02-21 01:46:16.723659,slurm_normal,1519177636.0,0,7680.0,1.0,main_w4_handler0,3378281,18454725,False,900289,tabular,,12549714,slurm,,132112168.0,corral-repl,,"""fd17497616a811e8b605005056ba55fb""",0,basic,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""s/prefix/\\|@/""","""mm9""",,"[{'src': 'hda', 'id': 33970993}]",,32.0,,,1519177632.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sed_tool/1.0.0,1.0.0,,2018-02-21 01:47:19.877520,117857.0,4.0
,,2018-02-21 01:46:21.796673,slurm_normal,1519177661.0,0,7680.0,1.0,main_w4_handler0,3378281,18454730,False,1066543,tabular,Job output deleted by user before job completed.,12549722,slurm,,132112168.0,corral-repl,,"""fd17497616a811e8b605005056ba55fb""",0,basic,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""s/suffix/\\|/""","""mm9""",,"[{'src': 'hda', 'id': 33970999}]",,32.0,,,1519177657.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sed_tool/1.0.0,1.0.0,,2018-02-21 01:47:41.945852,117857.0,4.0
,,2016-04-26 12:19:53.406435,slurm_normal,1461673213.0,0,,1.0,main_w1_handler0,2681747,12622602,False,6778032,gff,,6825931.roundup,slurm,,132112168.0,corral-repl,,,0,basic,,"""/galaxy-repl/localdata/chrom/hg38.len""","""s/uc([^ ]+)/\\1 transcript_id \""&/""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b552e60cd377b05f64'}]",,32.0,,29826296.0,1461673205.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sed_tool/1.0.0,1.0.0,,2016-04-26 12:20:14.236865,81983.0,8.0
,,2016-04-26 12:25:36.884408,slurm_normal,1461673563.0,0,,1.0,main_w1_handler1,2681747,12622667,False,9382482,gff,,6825982.roundup,slurm,,132112168.0,corral-repl,,,0,basic,,"""/galaxy-repl/localdata/chrom/hg38.len""","""s/;/\"";/""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59ec72b6ab1b6ef8c'}]",,32.0,,29826296.0,1461673549.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sed_tool/1.0.0,1.0.0,,2016-04-26 12:26:06.010198,81983.0,14.0
,,2016-04-26 12:10:32.431068,slurm_normal,1461672649.0,0,,1.0,main_w1_handler0,2681747,12622569,False,5840430,gff,,6825816.roundup,slurm,,132112168.0,corral-repl,,,0,basic,,"""/galaxy-repl/localdata/chrom/hg38.len""","""s/uc/gene_id \""uc/""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b61604304699963a'}]",,32.0,,29826296.0,1461672642.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sed_tool/1.0.0,1.0.0,,2016-04-26 12:10:52.540969,81983.0,7.0
,,2016-04-26 12:28:00.566149,slurm_normal,1461673701.0,0,,1.0,main_w1_handler0,2681747,12622678,False,9382482,gff,,6826017.roundup,slurm,,132112168.0,corral-repl,,,0,basic,,"""/galaxy-repl/localdata/chrom/hg38.len""","""s/;/\"";/g""","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59ec72b6ab1b6ef8c'}]",,32.0,,29826296.0,1461673692.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_sed_tool/1.0.0,1.0.0,,2016-04-26 12:28:22.592183,81983.0,9.0
