chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2014-09-09 19:55:13.247948,roundup_single,1410292658.0,0.0,,1.0,main_w2_handler1,2037072,7675451,False,,14297,tabular,1663002,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16691351,,32.0,,16692134,1410292655.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-09 19:57:44.007811,,3.0
,,2014-09-09 19:54:20.934175,roundup_single,1410292520.0,0.0,,1.0,main_w2_handler1,2037072,7675440,False,,14295,tabular,1662978,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16691283,,32.0,,16692134,1410292517.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-09 19:55:21.218501,,3.0
,,2014-09-09 19:55:08.082634,roundup_single,1410292611.0,0.0,,1.0,main_w1_handler0,2037072,7675449,False,,14291,tabular,1662996,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16691331,,32.0,,16692134,1410292608.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-09 19:56:51.750910,,3.0
,,2014-09-09 19:55:27.088119,roundup_single,1410292637.0,0.0,,1.0,main_w2_handler0,2037072,7675454,False,,14283,tabular,1662998,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16691362,,32.0,,16692134,1410292611.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-09 19:57:20.246896,,26.0
,,2014-09-09 19:54:02.795814,roundup_single,1410292549.0,0.0,,1.0,main_w1_handler1,2037072,7675436,False,,14282,tabular,1662979,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16691270,,32.0,,16692134,1410292518.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-09 19:55:50.036226,,31.0
,,2014-09-15 14:27:23.571900,roundup_single,1410791255.0,0.0,,1.0,main_w1_handler1,1937824,7793794,False,,2156,txt,1779274,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16882208,,32.0,,16915992,1410791251.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-15 14:27:36.875460,4963.0,4.0
,,2014-09-17 10:01:59.170890,roundup_single,1410948136.0,0.0,,1.0,main_w2_handler1,2055265,7806816,False,,4970,txt,1791717,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",16912054,,32.0,,17029886,1410948134.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-17 10:02:19.424643,8017.0,2.0
,,2014-09-18 14:26:35.624472,roundup_single,1411050407.0,0.0,,1.0,main_w2_handler0,2055265,7813027,False,,4968,txt,1797733,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",16933656,,32.0,,17065456,1411050405.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-18 14:26:49.448934,8017.0,2.0
,,2014-09-23 06:05:13.540000,roundup_single,1411452323.0,0.0,,1.0,main_w1_handler0,2060358,7834585,False,,4962,txt,1818893,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",16984287,,32.0,,17144975,1411452321.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-23 06:05:25.182521,8017.0,2.0
,,2014-09-23 06:05:22.229843,roundup_single,1411452335.0,0.0,,1.0,main_w1_handler0,2060358,7834587,False,,4968,txt,1818895,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""",16984288,,32.0,,17144975,1411452333.0,ok,1023992.0,solid_qual_boxplot,1.0.0,,2014-09-23 06:05:36.399693,8017.0,2.0
