create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.distance,parameters.inputA.values,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-07-11 20:43:52.328878,slurm_normal,1468269880.0,0,1.0,main_w1_handler1,2754938,13378541,False,,27737218,bed,7589392.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5bee8ce9c94ef3edc'}]","""false""",32.0,,31218830,1468269873.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-07-11 20:44:43.650891,86849.0,7.0
2016-07-11 20:40:36.311315,slurm_normal,1468269685.0,0,1.0,main_w2_handler1,2754938,13378509,False,,133991661,bed,7589365.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b52280b9cf17c73929'}]","""false""",32.0,,31218830,1468269667.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-07-11 20:41:31.245695,86849.0,18.0
2016-09-22 15:05:11.749915,slurm_normal,1474557101.0,0,1.0,main_w3_handler1,2799370,13917801,False,,266501275,bed,8140112.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/rn6.len""","""rn6""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b56e10d9b66e0a6719'}]","""false""",32.0,,31486278,1474557035.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-09-22 15:12:02.104145,17286.0,66.0
2016-06-16 15:36:50.221654,slurm_normal,1466091428.0,0,1.0,main_w2_handler0,2741019,13185008,False,,90575,bed,7369323.roundup,slurm,,132112168.0,corral-repl,,"""24833f2a33d811e6b43a005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""5000""","[{'src': 'hda', 'id': 'bbd44e69cb8906b56126eee3a3a354dd'}]","""false""",32.0,,30438799,1466091424.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-06-16 15:37:12.325160,81119.0,4.0
2016-07-27 18:26:02.289158,slurm_normal,1469643983.0,0,1.0,main_w1_handler1,2765234,13509502,False,,11484,bed,7725061.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b501a6bceabb544e80'}]","""false""",32.0,,31207358,1469643980.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-07-27 18:26:29.527887,,3.0
2016-07-27 21:05:19.717646,slurm_normal,1469653560.0,0,1.0,main_w2_handler0,2765234,13510776,False,Job output deleted by user before job completed.,12461,bed,7726344.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b52a3d3cb884093934'}]","""false""",32.0,,31207358,1469653532.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-07-27 21:06:02.831258,,28.0
2016-07-27 21:16:36.547436,slurm_normal,1469654216.0,0,1.0,main_w1_handler1,2765234,13510852,False,,18992,bed,7726415.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b52041a62de9aa969e'}]","""false""",32.0,,31207358,1469654213.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-07-27 21:17:00.175713,,3.0
2016-07-27 21:55:56.118460,slurm_normal,1469656579.0,0,1.0,main_w2_handler0,2765234,13511120,False,,24192,bed,7726689.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b51d8cb549775f8d0f'}]","""false""",32.0,,31207358,1469656575.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-07-27 21:56:21.219634,,4.0
2016-07-28 16:40:58.801948,slurm_normal,1469724134.0,0,1.0,main_w2_handler1,2777844,13517400,False,,37239,bed,7732723.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b23dd5df9f4c9e3e'}]","""false""",32.0,,31207358,1469724095.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-07-28 16:42:18.702747,,39.0
2016-08-03 11:46:17.169231,slurm_normal,1470224875.0,0,1.0,main_w2_handler0,2782429,13576626,False,,602281814,bed,7785393.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b584c7225fc50828bc'}]","""true""",32.0,,31904803,1470224798.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-08-03 11:47:56.841266,25804.0,77.0
2016-08-05 13:26:10.187376,slurm_normal,1470403653.0,0,1.0,main_w1_handler1,2017201,13601235,False,,898192,bed,7813184.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""100""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d4e5a4c23e554233'}]","""false""",32.0,,31952171,1470403649.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_clusterbed/2.24.0,2.24.0,,2016-08-05 13:27:38.469382,52106.0,4.0
