chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,main,main_filetype,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.main_lab,parameters.main|__identifier__,parameters.sets,parameters.sets_0|set|__identifier__,parameters.sets_1|set|__identifier__,parameters.sets_2|set|__identifier__,parameters.universe.__current_case__,parameters.universe.main,parameters.universe.main.values,parameters.universe.type_select,processor_count,runner_name,session_id,sets_0|set,sets_0|set_filetype,sets_1|set,sets_1|set_filetype,sets_2|set,sets_2|set_filetype,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-02-01 05:23:59.428481,slurm_normal,1454304275.0,0,,1.0,main_w2_handler0,2584286,11653871,False,,5913901.roundup,slurm,,192857.0,tabular,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""Venn Diagram""",,"[{""__index__"": 0, ""set"": 23111068, ""lab"": ""Group""}]",,,,0,23111068.0,,explicit,32.0,,27980453,192857,tabular,,,,,1454304268.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/peterjc/venn_list/venn_list/0.0.9,0.0.9,,2016-02-01 05:24:39.188379,,7.0
,,2016-10-12 07:06:06.521458,slurm_normal,1476255975.0,0,,1.0,main_w3_handler1,2694960,14060866,False,,8277656.roundup,slurm,,195616.0,fasta,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""Venn Diagram""",,"[{""__index__"": 0, ""set"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b511251cca1bb23ad2""}]}, ""lab"": ""Group""}]",,,,0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b511251cca1bb23ad2'}]",explicit,32.0,,33622645,195616,fasta,,,,,1476255968.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/peterjc/venn_list/venn_list/0.0.9,0.0.9,,2016-10-12 07:06:18.519277,83845.0,7.0
,,2016-02-01 16:11:56.914734,slurm_normal,1454343138.0,0,,1.0,main_w1_handler2,2584596,11658841,False,,5918281.roundup,slurm,,,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""Venn Diagram""",,"[{""__index__"": 0, ""set"": 23116830, ""lab"": ""97-7""}, {""__index__"": 1, ""set"": 23116801, ""lab"": ""nhu""}]",,,,1,,,implicit,32.0,,27269243,927,tabular,1205.0,tabular,,,1454343131.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/peterjc/venn_list/venn_list/0.0.9,0.0.9,,2016-02-01 16:12:21.270976,4131.0,7.0
,,2016-10-12 10:01:29.010484,slurm_normal,1476266515.0,0,,1.0,main_w3_handler1,2850756,14062796,False,,8279412.roundup,slurm,,263388078.0,tabular,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""Venn Diagram""",,"[{""__index__"": 0, ""set"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b5430d221c8cbd6eb7""}]}, ""lab"": ""Group""}]",,,,0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5430d221c8cbd6eb7'}]",explicit,32.0,,33492556,263388078,tabular,,,,,1476266491.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/peterjc/venn_list/venn_list/0.0.9,0.0.9,,2016-10-12 10:01:57.866906,90340.0,24.0
,,2016-02-02 17:33:06.753714,slurm_normal,1454434428.0,0,,1.0,main_w2_handler1,2582532,11683465,False,,5938578.roundup,slurm,,,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""NELF-E ChIP-seq""",,"[{""__index__"": 0, ""set"": 23145880, ""lab"": ""Replicate 1""}, {""__index__"": 1, ""set"": 23146172, ""lab"": ""Replicate 2""}]",,,,1,,,implicit,32.0,,26265526,248788,tabular,255450.0,tabular,,,1454434417.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/peterjc/venn_list/venn_list/0.0.9,0.0.9,,2016-02-02 17:33:54.411047,55649.0,11.0
,,2016-03-10 15:29:01.274812,slurm_normal,1457650328.0,0,,1.0,main_w1_handler1,2585900,12096668,False,,6324754.roundup,slurm,,12356937.0,tabular,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""Venn Diagram""",,"[{""__index__"": 0, ""set"": 23780774, ""lab"": ""Group""}]",,,,0,23780774.0,,explicit,32.0,,28920718,12356937,tabular,,,,,1457650303.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/peterjc/venn_list/venn_list/0.0.9,0.0.9,,2016-03-10 22:52:10.668892,63749.0,25.0
,,2016-04-27 13:01:52.702116,slurm_normal,1461762165.0,0,,1.0,main_w1_handler1,2685097,12644306,False,,6849244.roundup,slurm,,64742732.0,fastqsanger,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""Venn Diagram""",,"[{""__index__"": 0, ""set"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b5ca898c84af37e08e""}]}, ""lab"": ""Group""}]",,,,0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ca898c84af37e08e'}]",explicit,32.0,,29566727,64742732,fastqsanger,,,,,1461762130.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/peterjc/venn_list/venn_list/0.0.9,0.0.9,,2016-04-27 13:02:47.594769,,35.0
,,2015-12-27 16:43:34.843493,slurm_normal,1451234656.0,0,,1.0,main_w1_handler1,2333659,11337130,False,,5613121.roundup,slurm,,4160.0,tabular,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""Venn Diagram""",,"[{""__index__"": 0, ""set"": 19939092, ""lab"": ""Group""}]",,,,0,19939092.0,,explicit,32.0,,27030547,4160,tabular,,,,,1451234643.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/peterjc/venn_list/venn_list/0.0.9,0.0.9,,2015-12-27 16:44:18.447615,44130.0,13.0
,,2016-02-03 23:08:40.671229,slurm_normal,1454540948.0,0,,1.0,main_w1_handler1,2588088,11705857,False,,5962458.roundup,slurm,,37107441.0,fastq,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""Venn Diagram""",,"[{""__index__"": 0, ""set"": 23175383, ""lab"": ""Group""}]",,,,0,23175383.0,,explicit,32.0,,28083549,37107441,fastq,,,,,1454540938.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/peterjc/venn_list/venn_list/0.0.9,0.0.9,,2016-02-03 23:09:13.120063,78008.0,10.0
,,2016-02-03 15:44:18.913737,slurm_normal,1454514295.0,0,,1.0,main_w1_handler2,2587631,11701738,False,,5956167.roundup,slurm,,1797163.0,fasta,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""Venn Diagram""",,"[{""__index__"": 0, ""set"": 23168504, ""lab"": ""Group""}]",,,,0,23168504.0,,explicit,32.0,,28070057,1797163,fasta,,,,,1454514289.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/peterjc/venn_list/venn_list/0.0.9,0.0.9,,2016-02-03 15:44:59.451078,,6.0
