chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.file_format.__current_case__,parameters.file_format.seq_file,parameters.file_format.seq_file.values,parameters.file_format.type,parameters.length,parameters.mapping_file.__current_case__,parameters.mapping_file.param_a,parameters.mapping_file.param_best,parameters.mapping_file.param_five,parameters.mapping_file.param_k,parameters.mapping_file.param_m,parameters.mapping_file.param_three,parameters.mapping_file.param_v,parameters.mapping_file.type,parameters.reference_file,parameters.reference_file.values,parameters.seq_file|__identifier__,parameters.shift,parameters.t_end,processor_count,reference_file,reference_file_filetype,runner_name,seq_file,seq_file_filetype,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-06-02 18:28:13.878712,slurm_normal,1464892146.0,0,1.0,main_w2_handler0,2718146,13051776,False,,7237870.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b516a37e30b3b1ac96'}]",fastq,"""21""",0,,,,,,,,default,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56cb4470d1b4ad559'}]",,"""1""","""five_end""",32.0,692,fasta,,3259134,fastq,30114114.0,1464892118.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 18:29:09.629638,71268.0,28.0
,,2016-06-02 18:39:20.346227,slurm_normal,1464892821.0,0,1.0,main_w2_handler1,2718146,13051854,False,,7237945.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51dac5db197cb468a'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56cb4470d1b4ad559'}]",,"""1""","""five_end""",32.0,692,fasta,,5171648,fastq,30114114.0,1464892799.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 18:40:26.851546,71268.0,22.0
,,2016-06-02 18:39:17.272649,slurm_normal,1464892809.0,0,1.0,main_w1_handler0,2718146,13051851,False,,7237941.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d7bd4b8e78a86e2a'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56cb4470d1b4ad559'}]",,"""1""","""five_end""",32.0,692,fasta,,6598715,fastq,30114114.0,1464892785.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 18:40:14.164196,71268.0,24.0
,,2016-06-02 18:39:22.615279,slurm_normal,1464892848.0,0,1.0,main_w2_handler0,2718146,13051856,False,,7237949.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b516a37e30b3b1ac96'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56cb4470d1b4ad559'}]",,"""1""","""five_end""",32.0,692,fasta,,3259134,fastq,30114114.0,1464892831.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 18:40:52.320091,71268.0,17.0
,,2016-06-02 18:39:19.269043,slurm_normal,1464892823.0,0,1.0,main_w2_handler1,2718146,13051853,False,,7237944.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56f5818c4a08a303c'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56cb4470d1b4ad559'}]",,"""1""","""five_end""",32.0,692,fasta,,3731168,fastq,30114114.0,1464892804.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 18:40:26.488153,71268.0,19.0
,,2016-06-02 18:39:16.574384,slurm_normal,1464892826.0,0,1.0,main_w2_handler1,2718146,13051850,False,,7237943.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51bbf4492e90c3332'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56cb4470d1b4ad559'}]",,"""1""","""five_end""",32.0,692,fasta,,8538859,fastq,30114114.0,1464892799.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 18:40:28.698678,71268.0,27.0
,,2016-06-02 19:47:15.452580,slurm_normal,1464896898.0,0,1.0,main_w1_handler0,2718146,13052363,False,,7238484.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59503e848a086a920'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56cb4470d1b4ad559'}]",,"""1""","""five_end""",32.0,692,fasta,,3161474,fastq,30114114.0,1464896880.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 19:48:23.095044,71268.0,18.0
,,2016-06-02 18:39:18.300493,slurm_normal,1464892837.0,0,1.0,main_w2_handler0,2718146,13051852,False,,7237946.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54cbd8e8d3eafb5d0'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56cb4470d1b4ad559'}]",,"""1""","""five_end""",32.0,692,fasta,,8891289,fastq,30114114.0,1464892799.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 18:40:42.523493,71268.0,38.0
,,2016-06-02 19:47:14.555290,slurm_normal,1464896893.0,0,1.0,main_w2_handler1,2718146,13052362,False,,7238482.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52cf6778246618fe1'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56cb4470d1b4ad559'}]",,"""1""","""five_end""",32.0,692,fasta,,1732146,fastq,30114114.0,1464896878.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 19:48:17.654478,71268.0,15.0
,,2016-06-02 19:47:07.974629,slurm_normal,1464896880.0,0,1.0,main_w1_handler1,2718146,13052356,False,,7238476.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ab6d9fe3df39e611'}]",fastq,"""12""",1,false,false,0,1,-1,0,3,user,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b56cb4470d1b4ad559'}]",,"""1""","""five_end""",32.0,692,fasta,,718,fastq,30114114.0,1464896870.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0,1.0,,2016-06-02 19:48:05.537662,71268.0,10.0
