chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.condition,parameters.dbkey,parameters.description,parameters.filter,parameters.input,parameters.input.values,parameters.tag,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-02-13 09:51:20.969665,slurm_normal,1518515494.0,255,7680.0,1.0,main_w4_handler1,3423341,18363362,False,,22028577,vcf,12448258,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""\"">= [desired allele freq]\""""","""hg38""","""""","""""",,"[{'src': 'hda', 'id': 33798532}]","""FORMAT/FREQ""",32.0,,43712752.0,1518515491.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-02-13 09:51:35.840418,121082.0,3.0
,,2018-02-13 18:17:36.359419,slurm_normal,1518545871.0,255,7680.0,1.0,main_w4_handler0,3425459,18370769,False,,1467154,vcf,12455425,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""""","""hg19""","""""","""""",,"[{'src': 'hda', 'id': 33803451}]","""""",32.0,,43892466.0,1518545868.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-02-13 18:17:54.961348,115067.0,3.0
,,2018-02-14 12:36:24.946941,slurm_normal,1518611797.0,255,7680.0,1.0,main_w3_handler0,3427801,18382010,False,,599593,vcf,12466945,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""<= 0.0001""","""hg19""","""""","""""",,"[{'src': 'hda', 'id': 33847278}]","""\""QUAL""",32.0,,43860776.0,1518611794.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-02-14 12:36:38.618502,121820.0,3.0
,,2018-02-14 18:34:22.666357,slurm_normal,1518633274.0,255,7680.0,1.0,main_w3_handler1,3429277,18385556,False,,8713836,vcf,12470625,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""""","""hg38""","""""","""""",,"[{'src': 'hda', 'id': 33858170}]","""""",32.0,,43921136.0,1518633271.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-02-14 18:34:36.830172,,3.0
,,2018-02-14 20:10:08.994645,slurm_normal,1518639023.0,255,7680.0,1.0,main_w4_handler1,3429277,18386922,False,,9257822,vcf,12471917,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""""","""hg19""","""""","""""",,"[{'src': 'hda', 'id': 33860798}]","""""",32.0,,43921608.0,1518639020.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-02-14 20:10:25.552691,121989.0,3.0
,,2018-02-16 22:31:11.931374,slurm_normal,1518820283.0,255,7680.0,1.0,main_w3_handler0,3432227,18416772,False,,296274,vcf,12502996,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg_g1k_v37.len""","""""","""hg_g1k_v37""","""""","""""",,"[{'src': 'hda', 'id': 33907993}]","""""",32.0,,43856137.0,1518820280.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-02-16 22:31:25.217738,79386.0,3.0
,,2018-02-22 13:12:43.195097,slurm_normal,1519305176.0,255,7680.0,1.0,main_w4_handler1,3438822,18482245,False,,13137,vcf,12577262,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""""","""?""","""""","""""",,"[{'src': 'hda', 'id': 34011531}]","""""",32.0,,44090444.0,1519305174.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-02-22 13:12:58.395437,,2.0
,,2018-02-22 18:25:31.744651,slurm_normal,1519323944.0,255,7680.0,1.0,main_w3_handler1,3419646,18487376,False,,2688812,vcf,12582618,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""",""">= ${allele_freq} ""","""hg19""","""MinAF [${allele_freq}] ""","""MinAF """,,"[{'src': 'hda', 'id': 34018198}]","""FORMAT/FREQ""",32.0,,44092648.0,1519323941.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-02-22 18:25:47.148868,121467.0,3.0
,,2018-02-28 15:49:31.668613,slurm_normal,1519857959.0,255,7680.0,1.0,main_w4_handler1,3445799,18550298,False,,49060650,vcf,12652773,slurm,,132112168.0,corral-repl,,"""f2170c681c9e11e8960f005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""",""">= ${allele_freq}""","""hg19""","""MinAF [${allele_freq}]""","""MinAF""",,"[{'src': 'hda', 'id': 34119613}]","""FORMAT/FREQ""",32.0,,,1519857956.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-02-28 22:46:04.170110,123009.0,3.0
,,2018-03-01 20:05:07.430920,slurm_normal,1519947603.0,255,7680.0,1.0,main_w4_handler1,3447960,18572008,False,,11960035,vcf,12667074,slurm,,132112168.0,corral-repl,,"""ce679b5a1d8b11e8a913005056ba55fb""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""",""">= ${allele_freq}""","""hg19""","""MinAF [${allele_freq}]""","""MinAF""",,"[{'src': 'hda', 'id': 34155954}]","""FORMAT/FREQ""",32.0,,,1519947600.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcftools_annotate/vcftools_annotate/0.1,0.1,,2018-03-01 23:40:06.209990,123009.0,3.0
