create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.idc,parameters.input1,parameters.input1.values,parameters.out_format1,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-10-29 11:45:45.200621,slurm_normal,1509277595.0,0.0,,1.0,main_w3_handler0,3279240,17253592,False,,13468,fasta,11314060,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 31943505}]","""regions""",32.0,,41132930,1509277589.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: garnier40/5.0.0,5.0.0,,2017-10-29 11:46:50.398448,,6.0
2017-10-29 08:54:30.567392,slurm_normal,1509267309.0,0.0,,1.0,main_w3_handler1,3279240,17253087,False,,4516,fasta,11313587,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 31943506}]","""tagseq""",32.0,,41132930,1509267303.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: garnier40/5.0.0,5.0.0,,2017-10-29 08:55:22.902276,,6.0
2017-10-29 08:32:50.368870,slurm_normal,1509266936.0,0.0,,1.0,main_w3_handler1,3279240,17253034,False,,56792,fasta,11313553,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 31943431}]","""excel""",32.0,,41132930,1509266929.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: garnier40/5.0.0,5.0.0,,2017-10-29 08:49:21.022437,,7.0
2017-10-29 08:15:59.253110,slurm_normal,1509264976.0,0.0,,1.0,main_w3_handler0,3279240,17253005,False,,20000,fasta,11313475,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 31943383}]","""excel""",32.0,,41132930,1509264970.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: garnier40/5.0.0,5.0.0,,2017-10-29 08:16:19.002797,,6.0
2017-10-29 08:55:28.904213,slurm_normal,1509267370.0,0.0,,1.0,main_w3_handler1,3279240,17253090,False,,4516,fasta,11313590,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 31943506}]","""excel""",32.0,,41132930,1509267364.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: garnier40/5.0.0,5.0.0,,2017-10-29 08:56:22.595145,,6.0
2017-10-29 08:33:11.798428,slurm_normal,1509266973.0,0.0,,1.0,main_w4_handler0,3279240,17253035,False,,26107,fasta,11313556,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 31943432}]","""excel""",32.0,,41132930,1509266968.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: garnier40/5.0.0,5.0.0,,2017-10-29 08:49:34.083860,,5.0
2017-10-29 09:17:53.977641,slurm_normal,1509268706.0,0.0,,1.0,main_w3_handler1,3279240,17253223,False,,13468,fasta,11313694,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 31943505}]","""table""",32.0,,41132930,1509268701.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: garnier40/5.0.0,5.0.0,,2017-10-29 09:18:34.920690,,5.0
2017-10-29 08:54:30.247300,slurm_normal,1509267286.0,0.0,,1.0,main_w4_handler1,3279240,17253086,False,,13468,fasta,11313586,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 31943505}]","""tagseq""",32.0,,41132930,1509267280.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: garnier40/5.0.0,5.0.0,,2017-10-29 08:54:47.687498,,6.0
2017-10-29 08:55:28.771817,slurm_normal,1509267348.0,0.0,,1.0,main_w4_handler0,3279240,17253089,False,,13468,fasta,11313589,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 31943505}]","""excel""",32.0,,41132930,1509267342.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: garnier40/5.0.0,5.0.0,,2017-10-29 08:55:51.511355,,6.0
2017-10-29 09:18:09.640425,slurm_normal,1509268738.0,0.0,,1.0,main_w3_handler1,3279240,17253224,False,,13468,fasta,11313698,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""0""",,"[{'src': 'hda', 'id': 31943505}]","""feattable""",32.0,,41132930,1509268732.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: garnier40/5.0.0,5.0.0,,2017-10-29 09:19:08.314897,,6.0
