accnos,accnos_filetype,create_time,destination_id,end_epoch,exit_code,fasta_in,fasta_in_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.accnos.values,parameters.chromInfo,parameters.dbkey,parameters.dups,parameters.fasta_in.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
17774,accnos,2017-02-28 22:11:30.082133,slurm_normal,1488319912.0,0,41757159,fasta,1.0,main_w4_handler1,1609768,15171964,False,,9322814.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28541586}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28312694}]",32.0,,35959694,1488319893.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_remove_seqs/1.21.0,1.21.0,,2017-02-28 22:11:55.993352,28561,19.0
20675,accnos,2017-02-28 22:11:30.591773,slurm_normal,1488319916.0,0,49877018,fasta,1.0,main_w3_handler1,1609768,15171965,False,,9322815.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28541589}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28312695}]",32.0,,35959694,1488319897.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_remove_seqs/1.21.0,1.21.0,,2017-02-28 22:11:58.768033,28561,19.0
17222,accnos,2017-02-28 22:11:31.927538,slurm_normal,1488319916.0,0,40405002,fasta,1.0,main_w4_handler1,1609768,15171967,False,,9322817.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28541595}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28312697}]",32.0,,35959694,1488319898.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_remove_seqs/1.21.0,1.21.0,,2017-02-28 22:11:58.986022,28561,18.0
17116,accnos,2017-02-28 22:11:31.294422,slurm_normal,1488319906.0,0,44098748,fasta,1.0,main_w4_handler1,1609768,15171966,False,,9322816.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28541592}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28312696}]",32.0,,35959694,1488319897.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_remove_seqs/1.21.0,1.21.0,,2017-02-28 22:11:48.480131,28561,9.0
77156,accnos,2017-03-01 00:06:29.965528,slurm_normal,1488334286.0,0,41757159,fasta,1.0,main_w4_handler1,1609768,15173036,False,,9324791.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28563001}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28312694}]",32.0,,35959694,1488334279.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_remove_seqs/1.21.0,1.21.0,,2017-03-01 02:11:32.760873,28561,7.0
76512,accnos,2017-03-01 00:06:31.928273,slurm_normal,1488333900.0,0,40405002,fasta,1.0,main_w4_handler1,1609768,15173039,False,,9324734.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28563013}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28312697}]",32.0,,35959694,1488333892.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_remove_seqs/1.21.0,1.21.0,,2017-03-01 02:05:04.424634,28561,8.0
76870,accnos,2017-03-01 00:06:31.357740,slurm_normal,1488336551.0,0,44098748,fasta,1.0,main_w3_handler0,1609768,15173038,False,,9324914.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28563010}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28312696}]",32.0,,35959694,1488336544.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_remove_seqs/1.21.0,1.21.0,,2017-03-01 02:49:13.764779,28561,7.0
89347,accnos,2017-03-01 00:06:30.771445,slurm_normal,1488337339.0,0,49877018,fasta,1.0,main_w4_handler0,1609768,15173037,False,,9324944.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28563007}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28312695}]",32.0,,35959694,1488337333.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_remove_seqs/1.21.0,1.21.0,,2017-03-01 03:02:21.215656,28561,6.0
0,fasta,2017-03-18 06:03:47.090012,slurm_normal,1489817039.0,0,0,fasta,1.0,main_w4_handler1,2978932,15329599,False,,9470252.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28814704}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28814703}]",32.0,,35761745,1489817032.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_remove_seqs/1.21.0,1.21.0,,2017-03-18 06:04:00.745564,92139,7.0
19668160,txt,2017-05-17 14:43:49.882085,slurm_normal,1495032376.0,0,462524582,fasta,1.0,main_w4_handler0,3026093,15867979,False,,9968403.roundup,slurm,,132112168.0,corral-repl,,"[{'src': 'hda', 'id': 28703004}]","""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 29648862}]",32.0,,38003630,1495032245.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_remove_seqs/1.21.0,1.21.0,,2017-05-17 14:46:22.889703,37766,131.0
