create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputFile,inputFile_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.comments,parameters.dbkey,parameters.inputFile,parameters.inputFile.values,parameters.validation_stringency,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-02-16 12:09:38.421533,slurm_normal_16gb,1455624691.0,0,1.0,main_w1_handler2,2601147,11843430,False,,8879936,bam,6090699.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","[{""comment"": """", ""__index__"": 0}]","""?""",23369760,,"""LENIENT""",32.0,,28416920.0,1455624684.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.136.0,1.136.0,,2016-02-16 12:11:34.235980,78685,7.0
2016-02-17 05:34:08.015196,slurm_normal_16gb,1455687295.0,0,1.0,main_w2_handler0,2599402,11854623,False,,12154547,bam,6096805.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","[{""comment"": ""Person 1"", ""__index__"": 0}]","""hg38""",23387105,,"""LENIENT""",32.0,,27971329.0,1455687286.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.136.0,1.136.0,,2016-02-17 05:34:58.602321,77528,9.0
2016-02-17 05:34:18.847050,slurm_normal_16gb,1455687328.0,0,1.0,main_w1_handler2,2599402,11854624,False,,8775049,bam,6096808.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","[{""comment"": ""Person 2"", ""__index__"": 0}]","""hg38""",23387107,,"""LENIENT""",32.0,,27971329.0,1455687324.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.136.0,1.136.0,,2016-02-17 05:35:30.630380,77528,4.0
2016-02-17 05:34:30.275739,slurm_normal_16gb,1455687314.0,0,1.0,main_w2_handler0,2599402,11854626,False,,9258084,bam,6096807.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","[{""comment"": ""Person 3"", ""__index__"": 0}]","""hg38""",23387108,,"""LENIENT""",32.0,,27971329.0,1455687309.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.136.0,1.136.0,,2016-02-17 05:35:19.735516,77528,5.0
2016-05-08 06:17:08.204266,slurm_normal_16gb,1462688269.0,0,1.0,main_w2_handler1,2690898,12820334,False,,10217872,bam,7021364.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{""comment"": ""Mother"", ""__index__"": 0}]","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53f226cc5e20e4be3'}]","""LENIENT""",32.0,,30082211.0,1462688265.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.136.0,1.136.0,,2016-05-08 06:17:52.629188,83200,4.0
2016-05-08 06:16:55.392742,slurm_normal_16gb,1462688252.0,0,1.0,main_w2_handler0,2690898,12820333,False,,13484325,bam,7021362.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{""comment"": ""Father"", ""__index__"": 0}]","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58b948c9ef41041c3'}]","""LENIENT""",32.0,,30082211.0,1462688247.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.136.0,1.136.0,,2016-05-08 06:17:35.021747,83200,5.0
2016-05-08 06:17:21.203162,slurm_normal_16gb,1462688268.0,0,1.0,main_w1_handler2,2690898,12820335,False,,10196742,bam,7021363.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","[{""comment"": ""Child"", ""__index__"": 0}]","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54cb5727b28e2caa3'}]","""LENIENT""",32.0,,30082211.0,1462688264.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.136.0,1.136.0,,2016-05-08 06:17:50.218388,83200,4.0
2016-05-08 12:30:55.208128,slurm_normal_16gb,1462710967.0,0,1.0,main_w1_handler1,2696622,12821646,False,,10217872,bam,7022626.roundup,slurm,,132112168.0,corral-repl,,"""ab77ea78151811e68a04005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","[{""comment"": ""Mother"", ""__index__"": 0}]","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57208f66485600e3c'}]","""LENIENT""",32.0,,30089618.0,1462710962.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.136.0,1.136.0,,2016-05-08 12:36:09.480463,62542,5.0
2016-05-08 12:30:55.800317,slurm_normal_16gb,1462710877.0,0,1.0,main_w1_handler1,2696622,12821647,False,,10196742,bam,7022617.roundup,slurm,,132112168.0,corral-repl,,"""ab77ea78151811e68a04005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","[{""comment"": ""Child"", ""__index__"": 0}]","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b54744154023ee858f'}]","""LENIENT""",32.0,,30089618.0,1462710873.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.136.0,1.136.0,,2016-05-08 12:34:39.598463,62542,4.0
2016-05-08 12:30:54.704182,slurm_normal_16gb,1462710876.0,0,1.0,main_w2_handler0,2696622,12821645,False,,13484327,bam,7022616.roundup,slurm,,132112168.0,corral-repl,,"""ab77ea78151811e68a04005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","[{""comment"": ""Father"", ""__index__"": 0}]","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b575bd6af7841691d3'}]","""LENIENT""",32.0,,30089618.0,1462710870.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.136.0,1.136.0,,2016-05-08 12:34:38.514328,62542,6.0
2016-10-23 16:35:40.525017,slurm_normal,1477240573.0,0,1.0,main_w4_handler1,2865092,14151575,False,,13462737,bam,8363367.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","[{""comment"": ""Father"", ""__index__"": 0}]","""hg38""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58ecb6e444da6cfb5'}]","""LENIENT""",32.0,,33854759.0,1477240569.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.136.0,1.136.0,,2016-10-23 16:36:16.045736,91359,4.0
2016-10-23 20:04:47.160099,slurm_normal,1477253135.0,0,1.0,main_w3_handler0,2865851,14152558,False,,541,bam,8364164.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/venter1.len""","[{""comment"": ""Father"", ""__index__"": 0}]","""venter1""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5d38d498f6d1690a7'}]","""LENIENT""",32.0,,33277259.0,1477253128.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_AddCommentsToBam/1.136.0,1.136.0,,2016-10-23 20:05:36.583671,75069,7.0
