create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.eightyseven,parameters.input1,parameters.input1.values,parameters.mean,parameters.minsd,parameters.out_format1,parameters.sd,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-24 03:00:27.781795,rodeo_normal,1427166060.0,0.0,1.0,main_w1_handler1,2246310,9020394,False,,321,fasta,3302560.roundup,slurm,,132112168.0,corral-repl,,"""ec2ae1d2d1d111e48c81005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""no""",18969927,,"""238.71""","""2.5""","""motif""","""293.61""",32.0,,21985907.0,1427166056.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: helixturnhelix43/5.0.0,5.0.0,,2015-03-24 03:01:02.272651,4690.0,4.0
2015-03-20 15:06:54.593951,rodeo_normal,1426864040.0,0.0,1.0,main_w1_handler0,2222750,8996696,False,,468,fasta,3256965.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""no""",18933519,,"""238.71""","""2.5""","""motif""","""293.61""",32.0,,21529509.0,1426864037.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: helixturnhelix43/5.0.0,5.0.0,,2015-03-20 15:07:21.312310,60360.0,3.0
2015-04-01 07:29:47.374858,rodeo_normal,1427873405.0,0.0,1.0,main_w2_handler1,2249891,9110919,False,,1062,txt,3396149.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""no""",19098987,,"""238.71""","""2.5""","""motif""","""293.61""",32.0,,22038149.0,1427873401.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: helixturnhelix43/5.0.0,5.0.0,,2015-04-01 07:30:07.328807,,4.0
2015-03-30 14:20:44.282175,rodeo_normal,1427725264.0,0.0,1.0,main_w1_handler0,2166549,9086417,False,,76902,fasta,3371943.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""no""",19063563,,"""238.71""","""2.5""","""motif""","""293.61""",32.0,,20370892.0,1427725260.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: helixturnhelix43/5.0.0,5.0.0,,2015-03-30 14:21:06.424719,,4.0
2015-04-27 18:58:01.778320,slurm_normal,1430162194.0,0.0,1.0,main_w1_handler0,580562,9337077,False,,2721,fasta,3676488.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""no""",19476929,,"""238.71""","""2.5""","""motif""","""293.61""",32.0,,21034937.0,1430162032.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: helixturnhelix43/5.0.0,5.0.0,,2015-04-27 19:16:44.231856,2298.0,162.0
2015-06-10 20:03:15.820374,slurm_normal,1433966671.0,0.0,1.0,main_w2_handler0,2310813,9629560,False,,242065,fasta,3940153.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""no""",19968974,,"""238.71""","""2.5""","""motif""","""293.61""",32.0,,23150913.0,1433966666.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: helixturnhelix43/5.0.0,5.0.0,,2015-06-10 20:04:34.941664,53164.0,5.0
2015-06-10 20:03:15.118328,slurm_normal,1433966627.0,0.0,1.0,main_w2_handler0,2310813,9629559,False,,244347,fasta,3940152.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""no""",19968973,,"""238.71""","""2.5""","""motif""","""293.61""",32.0,,23150913.0,1433966621.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: helixturnhelix43/5.0.0,5.0.0,,2015-06-10 20:03:49.456297,53164.0,6.0
2015-06-12 00:32:40.065003,slurm_normal,1434069203.0,0.0,1.0,main_w1_handler1,2208197,9638883,False,,687352,fasta,3949696.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""","""no""",19982030,,"""238.71""","""2.5""","""motif""","""293.61""",32.0,,23359121.0,1434069200.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: helixturnhelix43/5.0.0,5.0.0,,2015-06-12 00:33:25.711853,51766.0,3.0
2015-07-05 14:05:35.569215,slurm_normal,1436105171.0,0.0,1.0,main_w1_handler0,2350049,9792603,False,,19889,fasta,4094630.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""no""",20231890,,"""238.71""","""2.5""","""motif""","""293.61""",32.0,,23026810.0,1436105165.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: helixturnhelix43/5.0.0,5.0.0,,2015-07-05 14:06:12.810171,62515.0,6.0
2015-06-16 12:44:33.809545,slurm_normal,1434458711.0,0.0,1.0,main_w2_handler1,2295601,9663381,False,,394876,fasta,3972897.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""no""",20021950,,"""238.71""","""2.5""","""motif""","""293.61""",32.0,,23317027.0,1434458707.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: helixturnhelix43/5.0.0,5.0.0,,2015-06-16 12:45:15.709212,40000.0,4.0
