chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.gaplimit,parameters.input1,parameters.input1.values,parameters.maxpallen,parameters.minpallen,parameters.nummismatches,parameters.overlap,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-01-21 15:33:05.450595,slurm_normal,1516548795.0,0.0,,1.0,main_w4_handler1,2495011,18101148,False,,27462,fasta,12181493,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""10""",,"[{'src': 'hda', 'id': 33418281}]","""13""","""5""","""1""","""no""",32.0,,42975003,1516548791.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: palindrome65/5.0.0,5.0.0,,2018-01-21 15:33:16.595701,72633.0,4.0
,,2018-01-25 12:33:09.051206,slurm_normal,1516888103.0,0.0,,1.0,main_w4_handler0,3383836,18153851,False,,507351141,fasta,12235095,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""100""",,"[{'src': 'hda', 'id': 33202748}]","""100""","""10""","""0""","""yes""",32.0,,43431279,1516883641.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: palindrome65/5.0.0,5.0.0,,2018-01-25 13:48:25.809162,99424.0,4462.0
,,2018-01-26 07:32:44.880681,slurm_normal,1516951986.0,0.0,,1.0,main_w4_handler1,2495011,18162181,False,,27462,fasta,12243710,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""10""",,"[{'src': 'hda', 'id': 33418281}]","""13""","""5""","""1""","""no""",32.0,,42975003,1516951982.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: palindrome65/5.0.0,5.0.0,,2018-01-26 07:33:14.056450,72633.0,4.0
,,2018-01-26 07:36:05.821005,slurm_normal,1516952190.0,0.0,,1.0,main_w4_handler1,2495011,18162193,False,,27462,fasta,12243721,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""27""",,"[{'src': 'hda', 'id': 33418281}]","""13""","""5""","""1""","""no""",32.0,,42975003,1516952186.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: palindrome65/5.0.0,5.0.0,,2018-01-26 07:36:38.068518,72633.0,4.0
,,2018-01-26 07:34:09.113227,slurm_normal,1516952077.0,0.0,,1.0,main_w4_handler1,2495011,18162185,False,,27462,fasta,12243716,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""10""",,"[{'src': 'hda', 'id': 33418281}]","""13""","""5""","""1""","""yes""",32.0,,42975003,1516952072.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: palindrome65/5.0.0,5.0.0,,2018-01-26 07:34:42.238176,72633.0,5.0
,,2018-01-26 07:44:05.576084,slurm_normal,1516952691.0,0.0,,1.0,main_w3_handler1,2495011,18162230,False,,27463,fasta,12243751,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""27""",,"[{'src': 'hda', 'id': 33509665}]","""13""","""3""","""1""","""yes""",32.0,,42975003,1516952686.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: palindrome65/5.0.0,5.0.0,,2018-01-26 07:44:56.174147,72633.0,5.0
,,2018-01-26 07:42:25.266657,slurm_normal,1516952562.0,0.0,,1.0,main_w4_handler1,2495011,18162225,False,,27463,fasta,12243746,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""27""",,"[{'src': 'hda', 'id': 33509665}]","""13""","""5""","""1""","""no""",32.0,,42975003,1516952558.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: palindrome65/5.0.0,5.0.0,,2018-01-26 07:42:46.512758,72633.0,4.0
,,2018-03-08 08:52:20.475231,slurm_normal,1520499168.0,0.0,7680.0,1.0,main_w3_handler0,3387648,18653697,False,,117315,fasta,12749440,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""3""",,"[{'src': 'hda', 'id': 33984159}]","""1000""","""7""","""0""","""yes""",32.0,,44322182,1520499155.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: palindrome65/5.0.0,5.0.0,,2018-03-08 08:52:51.748063,102197.0,13.0
,,2018-03-08 08:48:04.037409,slurm_normal,1520499266.0,0.0,7680.0,1.0,main_w4_handler1,3387648,18653589,False,,117315,fasta,12749453,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""3""",,"[{'src': 'hda', 'id': 33984159}]","""1000""","""7""","""0""","""yes""",32.0,,44322182,1520499257.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: palindrome65/5.0.0,5.0.0,,2018-03-08 08:55:57.827329,102197.0,9.0
,,2018-01-31 13:39:46.691335,slurm_normal,1517406064.0,0.0,,1.0,main_w4_handler1,3411643,18211336,False,,6490703,fasta,12291880,slurm,,132111800.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""100""",,"[{'src': 'hda', 'id': 33586352}]","""100""","""10""","""0""","""yes""",32.0,,43284252,1517406003.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: palindrome65/5.0.0,5.0.0,,2018-01-31 13:41:06.422849,102197.0,61.0
