chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.g_option,parameters.input,parameters.null_filler,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-05-04 19:11:13.447599,slurm_normal,1430772133.0,0,1.0,main_w2_handler1,2246143,9390183,False,,14349117136,vcf,3722961.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/papAnu2.len""","""papAnu2""","""True""",19564616,"""""",32.0,,22015150,1430766694.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcf2tsv/vcf2tsv/0.0.2,0.0.2,,2015-05-04 20:42:21.525873,61434.0,5439.0
,,2015-03-17 12:41:02.109320,rodeo_normal,1426596080.0,0,1.0,main_w1_handler1,2230007,8965981,False,,2422438,vcf,3199745.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/523/dataset_10523596.dat""","""hg19""","""True""",18879904,""".""",32.0,,21855259,1426596076.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcf2tsv/vcf2tsv/0.0.2,0.0.2,,2015-03-17 12:41:22.311989,58799.0,4.0
,,2015-06-18 20:16:14.956454,slurm_normal,1434658641.0,0,1.0,main_w1_handler1,2348238,9687208,False,,12563049,vcf,3996322.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""",20060845,"""""",32.0,,23709056,1434658599.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcf2tsv/vcf2tsv/0.0.2,0.0.2,,2015-06-18 20:17:24.363674,64892.0,42.0
,,2015-03-18 16:36:25.964273,rodeo_normal,1426696638.0,0,1.0,main_w1_handler0,2241225,8979775,False,,27683896,vcf,3224770.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""",18902349,"""""",32.0,,21881365,1426696631.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcf2tsv/vcf2tsv/0.0.2,0.0.2,,2015-03-18 16:37:20.301524,,7.0
,,2015-03-18 16:36:02.217914,rodeo_normal,1426696618.0,0,1.0,main_w1_handler0,2241225,8979765,False,,29959565,vcf,3224742.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""",18902347,"""""",32.0,,21881365,1426696577.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcf2tsv/vcf2tsv/0.0.2,0.0.2,,2015-03-18 16:37:03.657266,,41.0
,,2015-03-24 03:49:23.155836,rodeo_normal,1427169020.0,0,1.0,main_w1_handler0,2244419,9020661,False,,100595486,vcf,3303014.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""",18947218,"""""",32.0,,21943139,1427168974.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcf2tsv/vcf2tsv/0.0.2,0.0.2,,2015-03-24 03:50:22.116397,,46.0
,,2015-03-24 03:49:56.789363,rodeo_normal,1427169073.0,0,1.0,main_w1_handler0,2244419,9020663,False,,98134506,vcf,3303020.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""",18947424,"""""",32.0,,21943139,1427169029.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcf2tsv/vcf2tsv/0.0.2,0.0.2,,2015-03-24 03:51:14.707918,,44.0
,,2015-03-27 10:31:00.991149,rodeo_normal,1427452275.0,0,1.0,main_w2_handler0,2238351,9058352,False,,24102,vcf,3343616.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""True""",19024141,"""""",32.0,,22064715,1427452272.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcf2tsv/vcf2tsv/0.0.2,0.0.2,,2015-03-27 10:31:17.826908,56382.0,3.0
,,2015-03-21 19:00:25.516047,rodeo_normal,1426964442.0,0,1.0,main_w1_handler0,2222803,9003557,False,,635623,vcf,3270225.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""True""",18944263,"""""",32.0,,21513730,1426964437.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcf2tsv/vcf2tsv/0.0.2,0.0.2,,2015-03-21 19:00:42.788904,,5.0
,,2015-03-20 15:28:22.390021,rodeo_normal,1426867594.0,0,1.0,main_w2_handler1,2243738,8996822,False,,9480,vcf,3257757.roundup,slurm,,132112168.0,corral-repl,,"""b9b2bd2ecf1511e498b7005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""",18933679,"""""",32.0,,21622266,1426867591.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcf2tsv/vcf2tsv/0.0.2,0.0.2,,2015-03-20 16:06:37.114592,5254.0,3.0
,,2015-03-25 15:39:29.917571,rodeo_normal,1427298351.0,0,1.0,main_w2_handler1,2104786,9034697,False,,359263002,vcf,3319915.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/666/dataset_10666137.dat""","""willowscaff""","""True""",18842494,""".""",32.0,,21886039,1427297987.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcf2tsv/vcf2tsv/0.0.2,0.0.2,,2015-03-25 15:45:55.774744,52881.0,364.0
1641085.0,len,2015-03-26 09:43:19.330452,rodeo_normal,1427363031.0,0,1.0,main_w2_handler1,2242266,9043693,False,,17861191,vcf,3329374.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/010/759/dataset_10759551.dat""","""Medicago_v3""","""True""",18960451,"""""",32.0,,21901477,1427363013.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcf2tsv/vcf2tsv/0.0.2,0.0.2,,2015-03-26 09:43:55.577711,61115.0,18.0
