chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.d,parameters.dbkey,parameters.dz,parameters.five,parameters.input_type.__current_case__,parameters.input_type.genome.values,parameters.input_type.input.values,parameters.input_type.input_type_select,parameters.input|__identifier__,parameters.report.__current_case__,parameters.report.max,parameters.report.report_select,parameters.report.scale,parameters.report.zero_regions,parameters.split,parameters.strand,parameters.three,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-06-25 10:21:44.657467,slurm_normal,1498386220.0,0,,1.0,1270.0,tabular,main_w3_handler1,3152365,16179846,False,,237337921,bed,10255307.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""false""","""mm9""","""false""","""false""",0,"[{'src': 'hda', 'id': 30135851}]","[{'src': 'hda', 'id': 30005946}]",bed,,0,,bg,0.062795737,false,"""false""","""""","""false""",32.0,,38623847.0,1498386114.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.26.0.0,2.26.0.0,,2017-06-25 10:23:41.178593,75605.0,106.0
,,2017-04-09 01:17:00.133770,slurm_normal,1491700736.0,0,,1.0,41.0,tabular,main_w4_handler1,2761634,15532400,False,,2415680,bed,9658604.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/vibrChol1.len""","""false""","""vibrChol1""","""false""","""false""",0,"[{'src': 'hda', 'id': 29136856}]","[{'src': 'hda', 'id': 29136510}]",bed,,0,,bg,1.0,false,"""false""","""""","""false""",32.0,,37220709.0,1491700731.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.26.0.0,2.26.0.0,,2017-04-09 01:20:25.627141,87168.0,5.0
,,2017-06-25 10:21:09.388465,slurm_normal,1498386188.0,0,,1.0,1270.0,tabular,main_w4_handler0,3152365,16179845,False,,343724372,bed,10255302.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""false""","""mm9""","""false""","""false""",0,"[{'src': 'hda', 'id': 30135851}]","[{'src': 'hda', 'id': 30005945}]",bed,,0,,bg,0.043480518,false,"""false""","""""","""false""",32.0,,38623847.0,1498386082.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.26.0.0,2.26.0.0,,2017-06-25 10:23:12.122975,75605.0,106.0
,,2017-06-25 10:22:00.496873,slurm_normal,1498386275.0,0,,1.0,1270.0,tabular,main_w3_handler0,3152365,16179847,False,,1175002896,bed,10255311.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""false""","""mm9""","""false""","""false""",0,"[{'src': 'hda', 'id': 30135851}]","[{'src': 'hda', 'id': 30005957}]",bed,,0,,bg,0.012740696,false,"""false""","""""","""false""",32.0,,38623847.0,1498386128.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.26.0.0,2.26.0.0,,2017-06-25 10:24:38.276266,75605.0,147.0
,,2017-06-25 10:22:20.725864,slurm_normal,1498386330.0,0,,1.0,1270.0,tabular,main_w4_handler0,3152365,16179852,False,,1105202866,bed,10255318.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""false""","""mm9""","""false""","""false""",0,"[{'src': 'hda', 'id': 30135851}]","[{'src': 'hda', 'id': 30005958}]",bed,,0,,bg,0.013543666,false,"""false""","""""","""false""",32.0,,38623847.0,1498386151.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.26.0.0,2.26.0.0,,2017-06-25 10:25:33.696126,75605.0,179.0
,,2017-05-03 19:41:44.268203,slurm_normal,1493841829.0,0,,1.0,,,main_w4_handler1,3096930,15739518,False,,523909032,bam,9849285.roundup,slurm,,132112168.0,corral-repl,,"""8675a80a303811e782b6005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","""false""",1,,"[{'src': 'hda', 'id': 29456594}]",bam,,0,,bg,1.0,true,"""false""","""""","""false""",32.0,,,1493841722.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.26.0.0,2.26.0.0,,2017-05-03 20:09:27.173342,104814.0,107.0
,,2017-06-04 22:48:37.570050,slurm_normal,1496616847.0,0,,1.0,,,main_w4_handler0,2418892,16010885,False,,2198100576,bam,10103942.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""false""","""hg19""","""false""","""false""",1,,"[{'src': 'hda', 'id': 29885882}]",bam,,0,,bg,1.0,false,"""true""","""""","""false""",32.0,,38434211.0,1496616528.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.26.0.0,2.26.0.0,,2017-06-04 22:54:08.386499,68237.0,319.0
,,2017-06-25 11:09:09.727157,slurm_normal,1498389096.0,0,,1.0,1270.0,tabular,main_w3_handler0,3152365,16180250,False,,326668958,bed,10255740.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""false""","""mm9""","""false""","""false""",0,"[{'src': 'hda', 'id': 30135851}]","[{'src': 'hda', 'id': 30005951}]",bed,,0,,bg,0.091508086,false,"""false""","""""","""false""",32.0,,38623847.0,1498388959.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.26.0.0,2.26.0.0,,2017-06-25 11:11:39.016685,75605.0,137.0
,,2017-04-07 08:44:22.475352,slurm_normal,1491554820.0,0,,1.0,,,main_w3_handler0,3063234,15516321,False,,737086179,bam,9643062.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""false""","""Arabidopsis_thaliana_TAIR10""","""false""","""false""",1,,"[{'src': 'hda', 'id': 29112033}]",bam,,0,,bg,1.0,true,"""false""","""""","""false""",32.0,,37183374.0,1491554664.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.26.0.0,2.26.0.0,,2017-04-07 08:47:02.738485,,156.0
,,2017-04-07 08:58:18.853568,slurm_normal,1491555651.0,0,,1.0,,,main_w3_handler1,3063234,15516406,False,,704265631,bam,9643165.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""false""","""Arabidopsis_thaliana_TAIR10""","""false""","""false""",1,,"[{'src': 'hda', 'id': 29112953}]",bam,,0,,bg,1.0,true,"""false""","""""","""false""",32.0,,37183374.0,1491555501.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_genomecoveragebed/2.26.0.0,2.26.0.0,,2017-04-07 09:00:53.838281,,150.0
