chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.out_format1,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-02-01 20:55:08.820766,slurm_normal,1517518523.0,0.0,,1.0,main_w3_handler0,3413775,18228370,False,,64280,fasta,12308598,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33618797}]","""fasta""",32.0,,43434733,1517518519.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: degapseq20/5.0.0,5.0.0,,2018-02-01 20:55:25.444492,119601.0,4.0
,,2018-02-01 21:31:39.574297,slurm_normal,1517520713.0,0.0,,1.0,main_w3_handler0,3413775,18228716,False,,63960,fasta,12308958,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33619408}]","""fasta""",32.0,,43434733,1517520708.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: degapseq20/5.0.0,5.0.0,,2018-02-01 21:31:54.386980,119601.0,5.0
,,2018-02-02 13:19:49.490948,slurm_normal,1517577601.0,0.0,,1.0,main_w4_handler1,3414577,18234818,False,,29621,fasta,12315435,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33630892}]","""fasta""",32.0,,43434733,1517577597.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: degapseq20/5.0.0,5.0.0,,2018-02-02 13:20:02.497753,119601.0,4.0
,,2018-02-02 13:04:14.788619,slurm_normal,1517576668.0,0.0,,1.0,main_w3_handler1,3414577,18234697,False,,29621,fasta,12315313,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33630890}]","""fasta""",32.0,,43434733,1517576664.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: degapseq20/5.0.0,5.0.0,,2018-02-02 13:04:30.825945,119601.0,4.0
,,2018-02-02 15:36:53.307141,slurm_normal,1517585827.0,0.0,,1.0,main_w4_handler0,3414779,18236678,False,,499939,fasta,12317155,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33635997}]","""fasta""",32.0,,43434733,1517585822.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: degapseq20/5.0.0,5.0.0,,2018-02-02 15:37:07.589535,119601.0,5.0
,,2018-03-08 22:20:41.965376,slurm_normal,1520547686.0,0.0,7680.0,1.0,main_w4_handler1,3457454,18664697,False,,385347398,fasta,12760587,slurm,,132111800.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 34307259}]","""fasta""",32.0,,42670319,1520547649.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: degapseq20/5.0.0,5.0.0,,2018-03-08 22:21:28.332963,86263.0,37.0
,,2015-03-25 13:44:08.809262,rodeo_normal,1427291064.0,0.0,,1.0,main_w2_handler1,2248425,9033247,False,,24843221,txt,3318607.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18989481,,"""fasta""",32.0,,21988845,1427291060.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: degapseq20/5.0.0,5.0.0,,2015-03-25 13:44:29.538184,61331.0,4.0
,,2015-03-25 13:46:05.218693,rodeo_normal,1427291184.0,0.0,,1.0,main_w2_handler0,2248425,9033259,False,,24843221,txt,3318615.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18989481,,"""embl""",32.0,,21988845,1427291178.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: degapseq20/5.0.0,5.0.0,,2015-03-25 13:46:27.363394,61331.0,6.0
,,2015-05-22 11:37:02.242246,slurm_normal,1432294910.0,0.0,,1.0,main_w1_handler0,2193622,9518639,False,,9142204,txt,3839152.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19789487,,"""fasta""",32.0,,23174397,1432294631.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: degapseq20/5.0.0,5.0.0,,2015-05-22 11:41:57.111991,59077.0,279.0
,,2015-05-27 15:53:20.023323,slurm_normal,1432742024.0,0.0,,1.0,main_w1_handler1,2254323,9545861,False,,50658960,fasta,3859594.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19817754,,"""fasta""",32.0,,23267586,1432742017.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: degapseq20/5.0.0,5.0.0,,2015-05-27 15:53:50.434118,60145.0,7.0
