create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,gtf,gtf_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.chromInfo,parameters.dbkey,parameters.fdr_cutoff,parameters.gtf.values,parameters.rep_factorName,parameters.report,processor_count,rep_factorName_0|countFiles1,rep_factorName_0|countFiles11,rep_factorName_0|countFiles11_filetype,rep_factorName_0|countFiles12,rep_factorName_0|countFiles12_filetype,rep_factorName_0|countFiles13,rep_factorName_0|countFiles13_filetype,rep_factorName_0|countFiles14,rep_factorName_0|countFiles14_filetype,rep_factorName_0|countFiles15,rep_factorName_0|countFiles15_filetype,rep_factorName_0|countFiles1_filetype,rep_factorName_0|countFiles2,rep_factorName_0|countFiles21,rep_factorName_0|countFiles21_filetype,rep_factorName_0|countFiles22,rep_factorName_0|countFiles22_filetype,rep_factorName_0|countFiles23,rep_factorName_0|countFiles23_filetype,rep_factorName_0|countFiles24,rep_factorName_0|countFiles24_filetype,rep_factorName_0|countFiles25,rep_factorName_0|countFiles25_filetype,rep_factorName_0|countFiles2_filetype,rep_factorName_1|countFiles1,rep_factorName_1|countFiles11,rep_factorName_1|countFiles11_filetype,rep_factorName_1|countFiles12,rep_factorName_1|countFiles12_filetype,rep_factorName_1|countFiles13,rep_factorName_1|countFiles13_filetype,rep_factorName_1|countFiles14,rep_factorName_1|countFiles14_filetype,rep_factorName_1|countFiles1_filetype,rep_factorName_1|countFiles2,rep_factorName_1|countFiles21,rep_factorName_1|countFiles21_filetype,rep_factorName_1|countFiles22,rep_factorName_1|countFiles22_filetype,rep_factorName_1|countFiles23,rep_factorName_1|countFiles23_filetype,rep_factorName_1|countFiles24,rep_factorName_1|countFiles24_filetype,rep_factorName_1|countFiles2_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-06-29 13:13:48.669792,slurm_normal,1498749140.0,0,,1.0,14191787,gtf,main_w3_handler0,3175337,16222897,False,,10298844.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.05""","[{'src': 'hda', 'id': 30221946}]","[{""factorName"": ""condition"", ""countFiles1"": {""values"": [{""src"": ""hda"", ""id"": 30214378}, {""src"": ""hda"", ""id"": 30214380}, {""src"": ""hda"", ""id"": 30214381}]}, ""factorLevel2"": ""untreated"", ""factorLevel1"": ""treated"", ""countFiles2"": {""values"": [{""src"": ""hda"", ""id"": 30214374}, {""src"": ""hda"", ""id"": 30214375}, {""src"": ""hda"", ""id"": 30214376}, {""src"": ""hda"", ""id"": 30214383}]}, ""__index__"": 0}, {""factorName"": ""sequencing"", ""countFiles1"": {""values"": [{""src"": ""hda"", ""id"": 30214374}, {""src"": ""hda"", ""id"": 30214378}, {""src"": ""hda"", ""id"": 30214383}]}, ""factorLevel2"": ""PE"", ""factorLevel1"": ""SeqType"", ""countFiles2"": {""values"": [{""src"": ""hda"", ""id"": 30214375}, {""src"": ""hda"", ""id"": 30214376}, {""src"": ""hda"", ""id"": 30214380}, {""src"": ""hda"", ""id"": 30214381}]}, ""__index__"": 1}]","""true""",32.0,1513177,1513177,tabular,1514153,tabular,1520924.0,tabular,,,,,tabular,1510942,1510942,tabular,1518867,tabular,1519031.0,tabular,1516032.0,tabular,,,tabular,1510942.0,1510942.0,tabular,1513177.0,tabular,1516032.0,tabular,,,tabular,1518867.0,1518867.0,tabular,1519031.0,tabular,1514153.0,tabular,1520924.0,tabular,tabular,,38140127,1498742107.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq/1.20.1,1.20.1,,2017-06-29 15:15:13.147982,106403,7033.0
2017-06-29 16:01:16.836299,slurm_normal,1498832618.0,0,,1.0,135849425,gff,main_w4_handler0,3095893,16224295,False,,10300338.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.05""","[{'src': 'hda', 'id': 30236157}]","[{""factorName"": ""condition"", ""countFiles1"": {""values"": [{""src"": ""hda"", ""id"": 30236152}, {""src"": ""hda"", ""id"": 30236153}]}, ""factorLevel2"": ""Wildtype"", ""factorLevel1"": ""Knockout"", ""countFiles2"": {""values"": [{""src"": ""hda"", ""id"": 30236149}, {""src"": ""hda"", ""id"": 30236151}]}, ""__index__"": 0}]","""true""",32.0,17414104,17414104,tabular,17423317,tabular,,,,,,,tabular,17376897,17376897,tabular,17377786,tabular,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,37947465,1498752093.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq/1.20.1,1.20.1,,2017-06-30 14:50:05.302231,104117,80525.0
2017-06-29 16:00:26.397227,slurm_normal,1498832910.0,0,,1.0,135849425,gff,main_w4_handler0,3095893,16224289,False,,10300333.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.05""","[{'src': 'hda', 'id': 30236157}]","[{""factorName"": ""condition"", ""countFiles1"": {""values"": [{""src"": ""hda"", ""id"": 30236116}, {""src"": ""hda"", ""id"": 30236148}]}, ""factorLevel2"": ""Wildtype"", ""factorLevel1"": ""Knockdown"", ""countFiles2"": {""values"": [{""src"": ""hda"", ""id"": 30236149}, {""src"": ""hda"", ""id"": 30236151}]}, ""__index__"": 0}]","""true""",32.0,17401429,17401429,tabular,17421737,tabular,,,,,,,tabular,17376897,17376897,tabular,17377786,tabular,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,37947465,1498752041.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq/1.20.1,1.20.1,,2017-06-30 15:08:03.657514,104117,80869.0
2017-12-14 14:08:39.454711,slurm_multi,1513299517.0,0,,6.0,143773671,gtf,main_w4_handler2,3348423,17806962,False,,11876669,slurm,,132112168.0,corral-repl,,0.0,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","""0.05""","[{'src': 'hda', 'id': 32798396}]","[{""factorName"": ""condition"", ""countFiles1"": {""values"": [{""src"": ""hda"", ""id"": 32802537}, {""src"": ""hda"", ""id"": 32802539}, {""src"": ""hda"", ""id"": 32802540}]}, ""factorLevel2"": ""del11A"", ""factorLevel1"": ""WT"", ""countFiles2"": {""values"": [{""src"": ""hda"", ""id"": 32798661}, {""src"": ""hda"", ""id"": 32802543}, {""src"": ""hda"", ""id"": 32802544}]}, ""__index__"": 0}]","""true""",32.0,19956396,19956396,tabular,19942166,tabular,19936874.0,tabular,,,,,tabular,19914061,19914061,tabular,19897422,tabular,19922611.0,tabular,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,41880931,1513260531.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq/1.20.1,1.20.1,,2017-12-15 00:58:50.902835,114330,38986.0
2017-07-25 04:00:32.671775,slurm_normal,1500963491.0,0,,1.0,30494448,gtf,main_w4_handler0,3197639,16409835,False,,10474809.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.05""","[{'src': 'hda', 'id': 30598208}]","[{""factorName"": ""condition"", ""countFiles1"": {""values"": [{""src"": ""hda"", ""id"": 30598225}, {""src"": ""hda"", ""id"": 30598226}, {""src"": ""hda"", ""id"": 30598227}]}, ""factorLevel2"": ""wildtype"", ""factorLevel1"": ""knockdown"", ""countFiles2"": {""values"": [{""src"": ""hda"", ""id"": 30598222}, {""src"": ""hda"", ""id"": 30598223}, {""src"": ""hda"", ""id"": 30598224}]}, ""__index__"": 0}]","""true""",32.0,4232450,4232450,tabular,4244465,tabular,4235829.0,tabular,,,,,tabular,4243087,4243087,tabular,4242428,tabular,4237902.0,tabular,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,39486231,1500955242.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq/1.20.1,1.20.1,,2017-07-25 06:18:23.917514,106495,8249.0
2017-07-25 16:13:13.883869,slurm_normal,1501009011.0,0,,1.0,30494448,gtf,main_w3_handler0,3202173,16415127,False,,10480138.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.05""","[{'src': 'hda', 'id': 30604298}]","[{""factorName"": ""condition"", ""countFiles1"": {""values"": [{""src"": ""hda"", ""id"": 30604313}, {""src"": ""hda"", ""id"": 30604314}, {""src"": ""hda"", ""id"": 30604315}]}, ""factorLevel2"": ""wildtype"", ""factorLevel1"": ""knockdown"", ""countFiles2"": {""values"": [{""src"": ""hda"", ""id"": 30604310}, {""src"": ""hda"", ""id"": 30604311}, {""src"": ""hda"", ""id"": 30604312}]}, ""__index__"": 0}]","""true""",32.0,4232133,4232133,tabular,4244197,tabular,4235517.0,tabular,,,,,tabular,4242733,4242733,tabular,4242120,tabular,4237561.0,tabular,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,38169172,1500999406.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq/1.20.1,1.20.1,,2017-07-25 18:57:08.290020,106495,9605.0
2017-07-27 17:40:58.025253,slurm_normal,1501186400.0,0,,1.0,30494448,gtf,main_w4_handler0,3204448,16436082,False,,10503975.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.05""","[{'src': 'hda', 'id': 30639571}]","[{""factorName"": ""condition"", ""countFiles1"": {""values"": [{""src"": ""hda"", ""id"": 30640333}, {""src"": ""hda"", ""id"": 30640334}, {""src"": ""hda"", ""id"": 30640335}]}, ""factorLevel2"": ""wildtype"", ""factorLevel1"": ""knockdown"", ""countFiles2"": {""values"": [{""src"": ""hda"", ""id"": 30640336}, {""src"": ""hda"", ""id"": 30640337}, {""src"": ""hda"", ""id"": 30640338}]}, ""__index__"": 0}]","""true""",32.0,4232450,4232450,tabular,4244465,tabular,4235829.0,tabular,,,,,tabular,4237902,4237902,tabular,4243087,tabular,4242428.0,tabular,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,38169172,1501177268.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq/1.20.1,1.20.1,,2017-07-27 20:13:33.358846,106495,9132.0
2017-07-30 05:51:17.627709,slurm_normal,1501401054.0,0,,1.0,30494448,gtf,main_w3_handler1,3206462,16458337,False,,10526488.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.05""","[{'src': 'hda', 'id': 30675322}]","[{""factorName"": ""condition"", ""countFiles1"": {""values"": [{""src"": ""hda"", ""id"": 30675462}, {""src"": ""hda"", ""id"": 30675463}, {""src"": ""hda"", ""id"": 30675464}]}, ""factorLevel2"": ""wildtype"", ""factorLevel1"": ""knockdown"", ""countFiles2"": {""values"": [{""src"": ""hda"", ""id"": 30675459}, {""src"": ""hda"", ""id"": 30675460}, {""src"": ""hda"", ""id"": 30675461}]}, ""__index__"": 0}]","""true""",32.0,4232592,4232592,tabular,4244846,tabular,4236160.0,tabular,,,,,tabular,4238072,4238072,tabular,4243211,tabular,4242742.0,tabular,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,39554153,1501393928.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq/1.20.1,1.20.1,,2017-07-30 07:51:06.930935,106495,7126.0
2017-12-15 10:43:07.514145,slurm_multi,1513374989.0,0,,6.0,143773671,gtf,main_w4_handler2,3348423,17816339,False,,11884841,slurm,,132112168.0,corral-repl,,0.0,no,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","""0.05""","[{'src': 'hda', 'id': 32798396}]","[{""factorName"": ""condition"", ""countFiles1"": {""values"": [{""src"": ""hda"", ""id"": 32798661}, {""src"": ""hda"", ""id"": 32802543}, {""src"": ""hda"", ""id"": 32802544}]}, ""factorLevel2"": ""del11B"", ""factorLevel1"": ""del11A"", ""countFiles2"": {""values"": [{""src"": ""hda"", ""id"": 32802545}, {""src"": ""hda"", ""id"": 32802547}, {""src"": ""hda"", ""id"": 32802549}]}, ""__index__"": 0}]","""true""",32.0,19914061,19914061,tabular,19897422,tabular,19922611.0,tabular,,,,,tabular,19935635,19935635,tabular,19917606,tabular,19924515.0,tabular,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,41880931,1513334604.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq/1.20.1,1.20.1,,2017-12-15 21:56:52.629994,114330,40385.0
2017-08-13 01:12:48.722580,slurm_normal,1502638256.0,0,,1.0,117711191,gtf,main_w4_handler0,3201157,16567553,False,,10638516.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""0.1""","[{'src': 'hda', 'id': 30842996}]","[{""factorName"": ""condition"", ""countFiles1"": {""values"": [{""src"": ""hda"", ""id"": 30844876}, {""src"": ""hda"", ""id"": 30844879}]}, ""factorLevel2"": ""FoxQ1"", ""factorLevel1"": ""LacZ"", ""countFiles2"": {""values"": [{""src"": ""hda"", ""id"": 30843325}, {""src"": ""hda"", ""id"": 30844882}]}, ""__index__"": 0}]","""true""",32.0,13117401,13117401,tabular,13082853,tabular,,,,,,,tabular,13115518,13115518,tabular,13065859,tabular,,,,,,,tabular,,,,,,,,,,,,,,,,,,,,,,39531857,1502586774.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/dexseq/dexseq/1.20.1,1.20.1,,2017-08-13 15:34:37.038454,107924,51482.0
