create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.detail,parameters.inputA,parameters.inputA.values,parameters.inputB,parameters.inputB.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-01-14 21:05:10.258612,slurm_normal,1452805552.0,0,1.0,main_w1_handler1,2559676,11507414,False,,88918,bed,185729,bed,5775419.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22902754,,22904368,,32.0,,27240485,1452805549.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:05:56.884896,50494.0,3.0
2016-01-14 21:05:15.320771,slurm_normal,1452805586.0,0,1.0,main_w2_handler0,2559676,11507424,False,,88918,bed,815304,bed,5775424.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22902754,,22904378,,32.0,,27240485,1452805580.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:06:30.875490,50494.0,6.0
2016-01-14 21:06:40.688988,slurm_normal,1452805711.0,0,1.0,main_w1_handler1,2559676,11507442,False,,88699,bed,185729,bed,5775455.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22905147,,22904368,,32.0,,27240485,1452805700.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:08:36.263904,50494.0,11.0
2016-01-14 21:06:47.813238,slurm_normal,1452805847.0,0,1.0,main_w1_handler0,2559676,11507450,False,,88699,bed,1544635,bed,5775484.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22905147,,22904376,,32.0,,27240485,1452805841.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:10:50.968057,50494.0,6.0
2016-01-14 21:05:08.872238,slurm_normal,1452805705.0,0,1.0,main_w1_handler0,2559676,11507411,False,,88918,bed,3300870,bed,5775456.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22902754,,22904366,,32.0,,27240485,1452805700.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:08:33.423547,50494.0,5.0
2016-01-14 21:06:35.696494,slurm_normal,1452805658.0,0,1.0,main_w1_handler1,2559676,11507435,False,,88699,bed,414464,bed,5775442.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22905147,,22904355,,32.0,,27240485,1452805634.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:07:46.514695,50494.0,24.0
2016-01-14 21:01:40.350190,slurm_normal,1452805320.0,0,1.0,main_w2_handler1,2559676,11507398,False,,88918,bed,313670,bed,5775395.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22904360,,22904379,,32.0,,27240485,1452805315.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:02:01.604740,50494.0,5.0
2016-01-14 21:01:09.794356,slurm_normal,1452805300.0,0,1.0,main_w1_handler2,2559676,11507397,False,,88699,bed,313670,bed,5775393.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22905147,,22904379,,32.0,,27240485,1452805296.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:01:42.453377,50494.0,4.0
2016-01-14 21:05:04.483857,slurm_normal,1452805529.0,0,1.0,main_w1_handler2,2559676,11507406,False,,88918,bed,414464,bed,5775409.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22902754,,22904355,,32.0,,27240485,1452805525.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:05:35.726209,50494.0,4.0
2016-01-14 21:06:44.834261,slurm_normal,1452805687.0,0,1.0,main_w1_handler2,2559676,11507446,False,,88699,bed,1063983,bed,5775446.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""",22905147,,22904372,,32.0,,27240485,1452805669.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_reldistbed/2.22.0,2.22.0,,2016-01-14 21:08:11.977076,50494.0,18.0
