create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_bams_0|input_bam,input_bams_0|input_bam_filetype,input_bams_1|input_bam,input_bams_1|input_bam_filetype,input_bams_2|input_bam,input_bams_2|input_bam_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.analysis_type.__current_case__,parameters.analysis_type.analysis_type_selector,parameters.analysis_type.tag_name,parameters.chromInfo,parameters.dbkey,parameters.input_bams,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-04-05 07:16:27.553025,slurm_normal,1428218204.0,0,1.0,main_w2_handler0,2253735,9142772,False,,3977262,bam,,,,,3425959.roundup,slurm,,132112168.0,corral-repl,,1,-mapped,,"""/galaxy-repl/localdata/chrom/papHam.len""","""papHam""","[{""__index__"": 0, ""input_bam"": 19149322}]",32.0,,22259390,1428218197.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.1,0.0.1,,2015-04-05 07:16:45.332165,61657.0,7.0
2015-07-04 18:22:45.934519,slurm_normal,1436034896.0,0,1.0,main_w1_handler1,2199500,9790845,False,,9247532972,bam,,,,,4092877.roundup,slurm,,132112168.0,corral-repl,,0,-tag,NM,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""","[{""__index__"": 0, ""input_bam"": 20221034}]",32.0,,23945695,1436034204.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.1,0.0.1,,2015-07-04 18:34:58.993384,59384.0,692.0
2015-09-30 04:29:36.549505,slurm_normal,1443587396.0,0,1.0,main_w1_handler1,2411410,10467120,False,,34,bam,,,,,4743398.roundup,slurm,,132112168.0,corral-repl,,3,-reference,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""__index__"": 0, ""input_bam"": 21337506}]",32.0,,24926238,1443587392.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.1,0.0.1,,2015-09-30 04:29:59.219539,51515.0,4.0
2015-09-30 04:20:56.924466,slurm_normal,1443586882.0,0,1.0,main_w1_handler1,2411410,10467068,False,,92,bam,,,,,4743368.roundup,slurm,,132112168.0,corral-repl,,3,-reference,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""__index__"": 0, ""input_bam"": 21337400}]",32.0,,24926238,1443586878.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.1,0.0.1,,2015-09-30 04:21:27.401875,51515.0,4.0
2015-09-30 04:13:11.619379,slurm_normal,1443586412.0,0,1.0,main_w1_handler0,2411410,10467052,False,,92,bam,,,,,4743345.roundup,slurm,,132112168.0,corral-repl,,3,-reference,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""__index__"": 0, ""input_bam"": 21337400}]",32.0,,24926238,1443586407.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.1,0.0.1,,2015-09-30 04:13:36.357481,51515.0,5.0
2015-09-30 04:15:07.229832,slurm_normal,1443586526.0,0,1.0,main_w2_handler1,2411410,10467055,False,,92,bam,,,,,4743351.roundup,slurm,,132112168.0,corral-repl,,3,-reference,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{""__index__"": 0, ""input_bam"": 21337400}]",32.0,,24926238,1443586521.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.1,0.0.1,,2015-09-30 04:15:30.697937,51515.0,5.0
2015-12-22 06:48:20.799716,slurm_normal,1450766969.0,0,1.0,main_w2_handler0,2545414,11300371,False,,344559030,bam,,,,,5579904.roundup,slurm,,132112168.0,corral-repl,,0,-tag,chr,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","[{""__index__"": 0, ""input_bam"": 22599382}]",32.0,,26935128,1450766931.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.1,0.0.1,,2015-12-22 06:49:31.377371,74025.0,38.0
2016-05-16 09:43:12.325283,slurm_normal,1463391838.0,0,1.0,main_w2_handler0,2707007,12906958,False,Job output deleted by user before job completed.,1568,bam,,,,,7101400.roundup,slurm,,132112168.0,corral-repl,,2,-paired,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","[{""__index__"": 0, ""input_bam"": {""values"": [{""src"": ""hda"", ""id"": ""bbd44e69cb8906b50c480d43dbbfa90e""}]}}]",32.0,,30258257,1463391834.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.1,0.0.1,,2016-05-16 09:44:10.066796,84388.0,4.0
2015-02-27 06:48:13.376081,rodeo_normal,1425028799.0,0,1.0,main_w2_handler1,2221477,8826683,False,,790,bam,,,,,2942415.roundup,slurm,,132112168.0,corral-repl,,1,-mapped,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{""__index__"": 0, ""input_bam"": 18666467}]",32.0,,21492563,1425028795.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.1,0.0.1,,2015-02-27 09:20:01.273740,,4.0
2015-03-03 14:09:02.621322,rodeo_normal,1425391883.0,0,1.0,main_w2_handler1,2081767,8851128,False,,2155728350,bam,,,,,2987773.roundup,slurm,,132112168.0,corral-repl,,0,-tag,0x40,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{""__index__"": 0, ""input_bam"": 18693434}]",32.0,,21533763,1425391753.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/bamtools_split/bamSplit/0.0.1,0.0.1,,2015-03-03 14:11:26.816497,36283.0,130.0
