create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,inputA,inputA_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.addition.__current_case__,parameters.addition.addition_select,parameters.addition.b,parameters.addition.l,parameters.addition.r,parameters.chromInfo,parameters.dbkey,parameters.genome.values,parameters.header,parameters.inputA.values,parameters.inputA|__identifier__,parameters.pct,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-10-24 20:46:10.370549,slurm_normal,1508878008.0,0,,1.0,15295,bed,main_w4_handler1,3210869,17202778,False,,10469,bed,11262368,slurm,,132112168.0,corral-repl,,,0,b,50000,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31862341}]","""false""","[{'src': 'hda', 'id': 31862334}]",,"""false""","""false""",32.0,,41497384.0,1508878002.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-24 20:46:50.621412,109716.0,6.0
2017-10-24 20:46:11.059325,slurm_normal,1508878002.0,0,,1.0,15295,bed,main_w3_handler1,3210869,17202780,False,,16105,bed,11262367,slurm,,132112168.0,corral-repl,,,0,b,50000,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31862341}]","""false""","[{'src': 'hda', 'id': 31862337}]",,"""false""","""false""",32.0,,41497384.0,1508877998.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-24 20:46:45.396585,109716.0,4.0
2017-10-24 21:02:54.849784,slurm_normal,1508878993.0,0,,1.0,1971,gg,main_w4_handler1,3210869,17202918,False,,10469,bed,11262514,slurm,,132112168.0,corral-repl,,,0,b,1000,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31087741}]","""false""","[{'src': 'hda', 'id': 31862334}]",,"""false""","""false""",32.0,,41497384.0,1508878989.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-24 21:03:17.754683,109716.0,4.0
2017-10-24 21:02:56.512913,slurm_normal,1508878993.0,0,,1.0,1971,gg,main_w3_handler0,3210869,17202922,False,,15657,bed,11262512,slurm,,132112168.0,corral-repl,,,0,b,1000,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31087741}]","""false""","[{'src': 'hda', 'id': 31862338}]",,"""false""","""false""",32.0,,41497384.0,1508878989.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-24 21:03:17.581614,109716.0,4.0
2017-10-24 21:02:57.042226,slurm_normal,1508878999.0,0,,1.0,1971,gg,main_w3_handler0,3210869,17202923,False,,14331,bed,11262515,slurm,,132112168.0,corral-repl,,,0,b,1000,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31087741}]","""false""","[{'src': 'hda', 'id': 31862339}]",,"""false""","""false""",32.0,,41497384.0,1508878995.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-24 21:03:22.865992,109716.0,4.0
2018-01-04 13:19:50.273142,slurm_normal,1515072001.0,0,,1.0,43827100,bed,main_w4_handler1,3323209,17943791,False,,43827100,bed,12019925,slurm,,132112168.0,corral-repl,,,0,b,100,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 33170703}]","""false""","[{'src': 'hda', 'id': 33170703}]",,"""false""","""false""",32.0,,41961287.0,1515071992.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2018-01-04 13:20:02.814547,,9.0
2017-10-25 12:41:54.947096,slurm_normal,1508935335.0,0,,1.0,168736658,tabular,main_w4_handler0,3215281,17211681,False,,30615345,bed,11272068,slurm,,132112168.0,corral-repl,,,0,b,150,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31740998}]","""false""","[{'src': 'hda', 'id': 31875779}]",,"""false""","""false""",32.0,,41512371.0,1508935322.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-25 12:42:16.734169,107752.0,13.0
2017-10-25 17:17:03.713223,slurm_normal,1508951864.0,0,,1.0,11262,bed,main_w3_handler0,3244557,17215735,False,,2732,bed,11276461,slurm,,132112168.0,corral-repl,,,0,b,500000,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","[{'src': 'hda', 'id': 31881396}]","""false""","[{'src': 'hda', 'id': 31723961}]",,"""false""","""false""",32.0,,41245038.0,1508951859.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-25 17:17:55.102076,56227.0,5.0
2018-01-07 21:09:31.715905,slurm_normal,1515359378.0,0,,1.0,475,bed,main_w4_handler1,3384295,17968191,False,,475,bed,12044765,slurm,,132112168.0,corral-repl,,,0,b,5,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 33207962}]","""false""","[{'src': 'hda', 'id': 33207962}]",,"""false""","""false""",32.0,,42856790.0,1515359374.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2018-01-07 21:09:39.829701,100685.0,4.0
2018-02-03 15:22:00.081836,slurm_normal,1517671332.0,0,,1.0,1971,gg,main_w3_handler0,3320392,18246690,False,,12920,bed,12328012,slurm,,132112168.0,corral-repl,,,0,b,1000,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33286118}]","""false""","[{'src': 'hda', 'id': 33654208}]",,"""false""","""false""",32.0,,43613200.0,1517671328.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2018-02-03 15:22:13.062471,115950.0,4.0
2017-10-27 02:12:18.057341,slurm_normal,1509070357.0,0,,1.0,168736658,tabular,main_w4_handler1,3215281,17235625,False,,769323,bed,11296031,slurm,,132112168.0,corral-repl,,,0,b,500,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31740998}]","""false""","[{'src': 'hda', 'id': 31916698}]",,"""false""","""false""",32.0,,41547723.0,1509070351.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-27 02:12:40.040008,107752.0,6.0
2017-10-27 02:12:17.499351,slurm_normal,1509070376.0,0,,1.0,168736658,tabular,main_w4_handler0,3215281,17235624,False,,11028,bed,11296033,slurm,,132112168.0,corral-repl,,,0,b,500,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31740998}]","""false""","[{'src': 'hda', 'id': 31916697}]",,"""false""","""false""",32.0,,41547723.0,1509070371.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-27 02:13:06.438972,107752.0,5.0
2017-10-27 02:12:18.562228,slurm_normal,1509070359.0,0,,1.0,168736658,tabular,main_w4_handler1,3215281,17235626,False,,15869,bed,11296032,slurm,,132112168.0,corral-repl,,,0,b,500,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31740998}]","""false""","[{'src': 'hda', 'id': 31916699}]",,"""false""","""false""",32.0,,41547723.0,1509070354.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-27 02:12:42.961391,107752.0,5.0
2017-10-27 09:08:06.052798,slurm_normal,1509095304.0,0,,1.0,1405,tabular,main_w3_handler1,3296538,17237741,False,,324197,bed,11298468,slurm,,132112168.0,corral-repl,,,0,b,250,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31920175}]","""false""","[{'src': 'hda', 'id': 31919800}]",,"""false""","""false""",32.0,,41534020.0,1509095299.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-27 09:08:26.773954,114218.0,5.0
2017-10-27 11:30:22.861537,slurm_normal,1509103834.0,0,,1.0,1405,tabular,main_w4_handler0,3296538,17238809,False,,528030,bed,11299553,slurm,,132112168.0,corral-repl,,,0,b,250,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31920175}]","""false""","[{'src': 'hda', 'id': 31922382}]",,"""false""","""false""",32.0,,41534020.0,1509103830.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-27 11:30:36.526453,114218.0,4.0
2017-10-27 14:56:35.965744,slurm_normal,1509116263.0,0,,1.0,1405,tabular,main_w3_handler0,3296538,17240903,False,,443784,bed,11301589,slurm,,132112168.0,corral-repl,,,0,b,250,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31920175}]","""false""","[{'src': 'hda', 'id': 31925225}]",,"""false""","""false""",32.0,,41534020.0,1509116258.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-27 14:57:58.956310,114218.0,5.0
2018-01-07 19:08:29.608046,slurm_normal,1515352118.0,0,,1.0,48303,bed,main_w4_handler1,3384295,17967574,False,,48303,bed,12044126,slurm,,132112168.0,corral-repl,,,0,b,5,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 33207021}]","""false""","[{'src': 'hda', 'id': 33207021}]",,"""false""","""false""",32.0,,42856790.0,1515352113.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2018-01-07 19:08:43.268583,100685.0,5.0
2017-10-30 15:33:32.509398,slurm_normal,1509377658.0,0,,1.0,802684,bed,main_w4_handler1,3244557,17265799,False,,2732,bed,11324927,slurm,,132112168.0,corral-repl,,,0,b,500000,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","[{'src': 'hda', 'id': 31965448}]","""false""","[{'src': 'hda', 'id': 31723961}]",,"""false""","""false""",32.0,,41545813.0,1509377654.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-30 15:34:37.715592,56227.0,4.0
2017-10-29 15:39:37.067679,slurm_normal,1509291604.0,0,,1.0,1971,gg,main_w4_handler1,3210869,17255346,False,,1227057,bed,11315164,slurm,,132112168.0,corral-repl,,,0,b,1000,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31087741}]","""false""","[{'src': 'hda', 'id': 31950439}]",,"""false""","""false""",32.0,,41606893.0,1509291597.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-29 15:40:05.066605,109716.0,7.0
2017-10-29 15:39:37.362132,slurm_normal,1509291634.0,0,,1.0,1971,gg,main_w4_handler1,3210869,17255347,False,,671443,bed,11315170,slurm,,132112168.0,corral-repl,,,0,b,1000,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31087741}]","""false""","[{'src': 'hda', 'id': 31950440}]",,"""false""","""false""",32.0,,41606893.0,1509291627.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-29 15:40:36.086121,109716.0,7.0
2017-10-29 15:39:37.622415,slurm_normal,1509291622.0,0,,1.0,1971,gg,main_w4_handler0,3210869,17255348,False,,782903,bed,11315168,slurm,,132112168.0,corral-repl,,,0,b,1000,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31087741}]","""false""","[{'src': 'hda', 'id': 31950441}]",,"""false""","""false""",32.0,,41606893.0,1509291615.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-29 15:40:29.000219,109716.0,7.0
2018-01-07 18:31:55.059212,slurm_normal,1515349923.0,0,,1.0,23790,bed,main_w3_handler1,3384295,17967294,False,,23790,bed,12043863,slurm,,132112168.0,corral-repl,,,0,b,30,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 33206613}]","""false""","[{'src': 'hda', 'id': 33206613}]",,"""false""","""false""",32.0,,42856790.0,1515349918.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2018-01-07 18:32:05.134955,100685.0,5.0
2017-10-30 08:46:51.976206,slurm_normal,1509353242.0,0,,1.0,77124,bed,main_w4_handler1,3299213,17262220,False,,77124,bed,11321069,slurm,,132112168.0,corral-repl,,,1,lr,,250,249,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 31961271}]","""false""","[{'src': 'hda', 'id': 31961271}]",,"""false""","""false""",32.0,,41507554.0,1509353236.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-30 08:47:28.517022,114475.0,6.0
2017-10-30 08:14:57.985533,slurm_normal,1509351319.0,0,,1.0,76554,bed,main_w4_handler1,3299213,17261994,False,,76554,bed,11320867,slurm,,132112168.0,corral-repl,,,1,lr,,250,249,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31872442}]","""false""","[{'src': 'hda', 'id': 31872442}]",,"""false""","""false""",32.0,,41507554.0,1509351314.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-30 08:15:21.947050,114475.0,5.0
2017-10-30 09:03:39.975488,slurm_normal,1509354246.0,0,,1.0,77124,bed,main_w3_handler1,3299213,17262291,False,,77124,bed,11321159,slurm,,132112168.0,corral-repl,,,1,lr,,250,249,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31961358}]","""false""","[{'src': 'hda', 'id': 31961358}]",,"""false""","""false""",32.0,,41507554.0,1509354239.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_slopbed/2.26.0.0,2.26.0.0,,2017-10-30 09:04:14.301259,114475.0,7.0
