bands,bands_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,genome_fasta,genome_fasta_filetype,handler,history_id,id,imported,info,input_karyotype,input_karyotype_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.ideogram.ideogram_labels.parallel,parameters.ideogram.ideogram_labels.show_label,parameters.ideogram.radius,parameters.ideogram.spacing,parameters.ideogram.thickness,parameters.reference_genome.__current_case__,parameters.reference_genome.bands.values,parameters.reference_genome.fasta_indexes,parameters.reference_genome.input_karyotype.values,parameters.reference_genome.reference_genome_source,parameters.sec_links.data,parameters.sec_tdd.data,parameters.ticks.color,parameters.ticks.multiplier,parameters.ticks.radius,parameters.ticks.show_ticks,parameters.ticks.tick_group,processor_count,runner_name,sec_links|data_0|data_source,sec_links|data_0|data_source_filetype,sec_tdd|data_0|data_source,sec_tdd|data_0|data_source1,sec_tdd|data_0|data_source1_filetype,sec_tdd|data_0|data_source2,sec_tdd|data_0|data_source2_filetype,sec_tdd|data_0|data_source3,sec_tdd|data_0|data_source3_filetype,sec_tdd|data_0|data_source4,sec_tdd|data_0|data_source4_filetype,sec_tdd|data_0|data_source5,sec_tdd|data_0|data_source5_filetype,sec_tdd|data_0|data_source6,sec_tdd|data_0|data_source6_filetype,sec_tdd|data_0|data_source7,sec_tdd|data_0|data_source7_filetype,sec_tdd|data_0|data_source_filetype,sec_tdd|data_1|data_source,sec_tdd|data_1|data_source1,sec_tdd|data_1|data_source1_filetype,sec_tdd|data_1|data_source_filetype,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-03-03 04:28:15.948773,slurm_normal,1520051327.0,0,7680.0,1.0,181813.0,fasta,main_w4_handler0,2878144,18588839,False,,,,12683868,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",false,false,0.9,0.005,10.0,,,,,,[],[],#000000,0.001,1.0,false,[],32.0,,,,,,,,,,,,,,,,,,,,,,,,44298480,1520051306.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/circos/circgraph/0.9-RC2,0.9-RC2,,2018-03-03 04:28:50.995126,93623,21.0
,,2018-03-03 12:09:28.660236,slurm_normal,1520079021.0,0,7680.0,1.0,,,main_w3_handler1,3450258,18591288,False,,17803.0,txt,12686038,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""",false,false,0.9,0.005,10.0,2.0,,,"[{'src': 'hda', 'id': 34185606}]",karyotype,"[{'linktype': {'ribbon': 'no', '__current_case__': 1}, 'data_source': {'values': [{'src': 'hda', 'id': 34185606}]}, 'color': '#000000', 'sec_link_rule': {'rules': []}, 'thickness': '15.0', 'radius': '0.8', 'bezier_radius': '0.1', '__index__': 0, 'advanced': {'bezier_radius_purity': '0.75', 'perturbation': {'__current_case__': 1, 'perturb': 'no'}, 'crest': '0.5', 'zdepth': ''}}]","[{'sec_rule': {'rules': [{'__index__': 0, 'conditions': [{'__index__': 0, 'application': {'application_select': '1', '__current_case__': 0}}], 'actions': [{'action': {'action_select': 'show', 'action_value': 'false', '__current_case__': 0}, '__index__': 0}], 'continue_flow': 'false'}]}, 'r0': '0.8', 'sec_bkgs': {'backgrounds': []}, 'orientation': 'false', 'sec_axes': {'axes': [{'color': '#000000', 'spacing': '0.1', 'thickness': '1', '__index__': 0, 'y1': '1.0', 'y0': '0.0'}]}, '__index__': 0, 'plot_format': {'data_source': {'values': [{'src': 'hda', 'id': 34185697}, {'src': 'hda', 'id': 34185698}, {'src': 'hda', 'id': 34185699}, {'src': 'hda', 'id': 34185700}, {'src': 'hda', 'id': 34185701}, {'src': 'hda', 'id': 34185702}, {'src': 'hda', 'id': 34185496}]}, 'format_specific': {'fill_color': 'purples-13-seq', 'extend_bins': 'false'}, 'plot_format_select': 'histogram', '__current_case__': 0}, 'r1': '0.89'}]",#000000,0.001,1.0,false,[],32.0,,17803.0,txt,22869.0,22869.0,bed6,163094.0,bed6,8489.0,bed6,5305174.0,bed6,331695.0,bed6,350907.0,bed6,4190135.0,bed6,bed6,,,,,42442696,1520079001.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/circos/circgraph/0.9-RC2,0.9-RC2,,2018-03-03 12:10:24.635150,79131,20.0
,,2018-03-04 15:13:33.533749,slurm_normal,1520176439.0,0,7680.0,1.0,8450408.0,fasta,main_w4_handler0,3450569,18600497,False,,,,12695707,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",false,false,0.9,0.005,10.0,,,,,,[],[],#000000,0.001,1.0,false,"[{'format': '%d', 'spacing': '5000.0', 'label_offset': '10.0', 'show_tick_labels': 'false', '__index__': 0, 'label_size': '20.0', 'size': '10.0'}]",32.0,,,,,,,,,,,,,,,,,,,,,,,,44308116,1520176419.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/circos/circgraph/0.9-RC2,0.9-RC2,,2018-03-04 15:14:01.892711,123213,20.0
36024.0,bed6,2018-03-04 19:42:49.022174,slurm_normal,1520192675.0,0,7680.0,1.0,,,main_w4_handler0,2444339,18602446,False,,,,12697677,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19Patch10.len""","""hg19Patch10""",false,false,0.9,0.005,10.0,0.0,"[{'src': 'hda', 'id': 34204113}]",hg19,,cached,[],[],#000000,0.001,1.0,false,[],32.0,,,,,,,,,,,,,,,,,,,,,,,,44263919,1520192591.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/circos/circgraph/0.9-RC2,0.9-RC2,,2018-03-04 19:44:37.811724,69647,84.0
,,2018-03-04 19:50:58.478586,slurm_normal,1520193090.0,0,7680.0,1.0,7884116.0,fasta,main_w3_handler0,3450569,18602473,False,,,,12697705,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",false,false,0.9,0.005,10.0,,,,,,[],[],#000000,0.001,1.0,false,[],32.0,,,,,,,,,,,,,,,,,,,,,,,,44308116,1520193064.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/circos/circgraph/0.9-RC2,0.9-RC2,,2018-03-04 19:51:34.445499,123213,26.0
15430.0,bed6,2018-03-04 19:35:20.798281,slurm_normal,1520192214.0,0,7680.0,1.0,,,main_w3_handler0,2444339,18602427,False,,,,12697655,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",false,false,0.9,0.005,10.0,0.0,"[{'src': 'hda', 'id': 34204086}]",mm9,,cached,[],[],#000000,0.001,1.0,false,[],32.0,,,,,,,,,,,,,,,,,,,,,,,,44263919,1520192146.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/circos/circgraph/0.9-RC2,0.9-RC2,,2018-03-04 19:36:57.478293,69647,68.0
15430.0,bed6,2018-03-05 16:59:03.144409,slurm_normal,1520269267.0,0,7680.0,1.0,,,main_w3_handler1,2444339,18612731,False,,,,12708525,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",false,false,0.9,0.005,10.0,0.0,"[{'src': 'hda', 'id': 34204086}]",mm9,,cached,[],"[{'sec_rule': {'rules': []}, 'r0': '0.8', 'sec_bkgs': {'backgrounds': []}, 'orientation': 'false', 'sec_axes': {'axes': []}, '__index__': 0, 'plot_format': {'data_source': {'values': [{'src': 'hda', 'id': 34191708}]}, 'format_specific': {'fill_color': 'purples-13-seq', 'extend_bins': 'false'}, 'plot_format_select': 'histogram', '__current_case__': 0}, 'r1': '0.89'}, {'sec_rule': {'rules': []}, 'r0': '0.8', 'sec_bkgs': {'backgrounds': []}, 'orientation': 'false', 'sec_axes': {'axes': []}, '__index__': 1, 'plot_format': {'data_source': {'values': [{'src': 'hda', 'id': 34191499}]}, 'format_specific': {'fill_color': 'purples-13-seq', 'extend_bins': 'false'}, 'plot_format_select': 'histogram', '__current_case__': 0}, 'r1': '0.89'}]",#000000,0.001,1.0,false,[],32.0,,,,432088.0,432088.0,bed6,,,,,,,,,,,,,bed6,158322.0,158322.0,bed6,bed6,44263919,1520269155.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/circos/circgraph/0.9-RC2,0.9-RC2,,2018-03-05 17:01:10.480875,69647,112.0
15430.0,bed6,2018-03-05 17:06:56.728556,slurm_normal,1520269725.0,0,7680.0,1.0,,,main_w3_handler0,2444339,18612846,False,,,,12708613,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",false,false,0.9,0.005,10.0,0.0,"[{'src': 'hda', 'id': 34204086}]",mm9,,cached,[],"[{'sec_rule': {'rules': []}, 'r0': '0.8', 'sec_bkgs': {'backgrounds': []}, 'orientation': 'false', 'sec_axes': {'axes': []}, '__index__': 0, 'plot_format': {'data_source': {'values': [{'src': 'hda', 'id': 34191708}]}, 'format_specific': {'fill_color': 'purples-13-seq', 'extend_bins': 'false'}, 'plot_format_select': 'histogram', '__current_case__': 0}, 'r1': '0.89'}]",#000000,0.001,1.0,false,[],32.0,,,,432088.0,432088.0,bed6,,,,,,,,,,,,,bed6,,,,,44263919,1520269625.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/circos/circgraph/0.9-RC2,0.9-RC2,,2018-03-05 17:08:48.158221,69647,100.0
15430.0,bed6,2018-03-05 17:50:24.620435,slurm_normal,1520272338.0,0,7680.0,1.0,,,main_w3_handler1,2444339,18613568,False,,,,12709205,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",false,false,0.9,0.005,10.0,0.0,"[{'src': 'hda', 'id': 34204086}]",mm9,,cached,[],"[{'sec_rule': {'rules': []}, 'r0': '0.8', 'sec_bkgs': {'backgrounds': []}, 'orientation': 'false', 'sec_axes': {'axes': []}, '__index__': 0, 'plot_format': {'data_source': {'values': [{'src': 'hda', 'id': 34191708}]}, 'format_specific': {'layers': '15', 'fill_color': 'purples-13-seq', 'color': '#000000', 'thickness': '15.0', 'padding': '8.0', 'stroke_thickness': '0', 'overflow': {'overflow_behavior': 'hide', '__current_case__': 0}}, 'plot_format_select': 'tile', '__current_case__': 4}, 'r1': '0.89'}]",#000000,0.001,1.0,false,[],32.0,,,,432088.0,,,,,,,,,,,,,,,bed6,,,,,44263919,1520272233.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/circos/circgraph/0.9-RC2,0.9-RC2,,2018-03-05 17:52:21.947084,69647,105.0
15430.0,bed6,2018-03-05 18:06:57.036526,slurm_normal,1520273298.0,0,7680.0,1.0,,,main_w4_handler0,2444339,18613702,False,,,,12709370,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""",false,false,0.9,0.005,10.0,0.0,"[{'src': 'hda', 'id': 34204086}]",mm9,,cached,[],"[{'sec_rule': {'rules': []}, 'r0': '0.8', 'sec_bkgs': {'backgrounds': []}, 'orientation': 'false', 'sec_axes': {'axes': []}, '__index__': 0, 'plot_format': {'data_source': {'values': [{'src': 'hda', 'id': 34191499}]}, 'format_specific': {'fill_color': 'purples-13-seq', 'extend_bins': 'false'}, 'plot_format_select': 'histogram', '__current_case__': 0}, 'r1': '0.89'}]",#000000,0.001,1.0,false,[],32.0,,,,158322.0,158322.0,bed6,,,,,,,,,,,,,bed6,,,,,44263919,1520273225.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/circos/circgraph/0.9-RC2,0.9-RC2,,2018-03-05 18:08:20.083597,69647,73.0
