chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,inputA,inputA_filetype,inputB,inputB1,inputB10,inputB10_filetype,inputB11,inputB11_filetype,inputB12,inputB12_filetype,inputB13,inputB13_filetype,inputB14,inputB14_filetype,inputB15,inputB15_filetype,inputB16,inputB16_filetype,inputB17,inputB17_filetype,inputB18,inputB18_filetype,inputB1_filetype,inputB2,inputB2_filetype,inputB3,inputB3_filetype,inputB4,inputB4_filetype,inputB5,inputB5_filetype,inputB6,inputB6_filetype,inputB7,inputB7_filetype,inputB8,inputB8_filetype,inputB9,inputB9_filetype,inputB_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.count,parameters.dbkey,parameters.fraction,parameters.header,parameters.inputA,parameters.inputA.values,parameters.inputB,parameters.inputB.values,parameters.invert,parameters.once,parameters.overlap_mode,parameters.reciprocal,parameters.split,parameters.strand,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-03-09 21:46:28.513033,slurm_normal,1457560035.0,0,1.0,main_w1_handler1,2618637,12089649,False,,2363016,bed,713083,713083,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,6313973.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""False""","""mm9""","""""","""False""",23768187,,"""23767548""",,"""False""","""False""","[""-wao""]","""False""","""False""","""""",32.0,,28759729.0,1457560021.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-03-09 21:47:18.445405,79664.0,14.0
,,2016-03-09 21:52:30.352165,slurm_normal,1457560399.0,0,1.0,main_w1_handler0,2618637,12089726,False,,2363016,bed,999017,999017,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,6314108.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""False""","""mm9""","""""","""False""",23768187,,"""23768341""",,"""False""","""False""","[""-wao""]","""False""","""False""","""""",32.0,,28759729.0,1457560377.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-03-09 21:53:26.200268,79664.0,22.0
,,2016-01-28 14:58:34.559356,slurm_normal,1453993185.0,0,1.0,main_w2_handler0,2504452,11623541,False,,21555203,bed,52534,52534,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,5887560.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""False""","""?""","""""","""False""",23069237,,"""23069156""",,"""False""","""False""","[""-wa""]","""False""","""False""","""""",32.0,,26240973.0,1453993175.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-01-28 14:59:54.103658,,10.0
,,2016-01-28 14:55:04.505800,slurm_normal,1453992918.0,0,1.0,main_w1_handler0,2504452,11623517,False,,13309415,bed,52534,52534,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,5887501.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""False""","""?""","""""","""False""",23069155,,"""23069156""",,"""False""","""False""","[""-wa""]","""False""","""False""","""""",32.0,,26240973.0,1453992914.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-01-28 14:55:21.991047,,4.0
,,2016-01-28 15:02:44.523163,slurm_normal,1453993385.0,0,1.0,main_w2_handler0,2504452,11623583,False,,21555203,bed,52534,52534,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,5887603.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""False""","""?""","""""","""False""",23069237,,"""23069156""",,"""False""","""False""","[""-wa""]","""False""","""False""","""""",32.0,,26240973.0,1453993377.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-01-28 15:03:08.301020,,8.0
,,2016-01-28 19:15:01.966120,slurm_normal,1454008555.0,0,1.0,main_w1_handler2,2575846,11625459,False,,2124915,bed,2164420,2164420,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,5889435.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""False""","""hg19""","""""","""False""",23072127,,"""23019880""",,"""False""","""False""","[""-wa""]","""False""","""False""","""""",32.0,,27549256.0,1454008548.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-01-28 19:15:59.529251,76977.0,7.0
,,2016-01-28 19:37:18.038557,slurm_normal,1454009858.0,0,1.0,main_w1_handler1,2561345,11625568,False,,754596,bed,22782,22782,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,5889524.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""True""","""dm3""","""""","""False""",22982333,,"""23060636""",,"""False""","""False""","[""-wa""]","""False""","""False""","""""",32.0,,27799599.0,1454009853.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-01-28 19:37:45.145012,76583.0,5.0
,,2016-01-28 15:38:55.267443,slurm_normal,1453995552.0,0,1.0,main_w1_handler2,2504452,11623883,False,,11638043,bed,52534,52534,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,5887938.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""False""","""?""","""""","""False""",23069417,,"""23069416""",,"""False""","""False""","[""-wa""]","""False""","""False""","""""",32.0,,26240973.0,1453995547.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-01-28 15:39:15.478157,,5.0
,,2016-01-28 19:39:51.809129,slurm_normal,1454010083.0,0,1.0,main_w2_handler1,2561345,11625581,False,,754596,bed,118725,118725,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,5889540.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""True""","""?""","""""","""False""",22982333,,"""23072238""",,"""False""","""False""","[""-wa""]","""False""","""False""","""""",32.0,,27799599.0,1454010007.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-01-28 19:41:33.610670,76583.0,76.0
,,2016-01-28 19:36:18.897631,slurm_normal,1454009823.0,0,1.0,main_w2_handler1,2561345,11625562,False,,22782,bed,118725,118725,,,,,,,,,,,,,,,,,,,bed,,,,,,,,,,,,,,,,,bed,5889519.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""True""","""dm3""","""""","""False""",23060636,,"""23072238""",,"""False""","""False""","[""-wa""]","""False""","""False""","""""",32.0,,27799599.0,1454009797.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_intersectbed/2.22.0,2.22.0,,2016-01-28 19:37:09.978403,76583.0,26.0
