create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-03-10 01:51:17.767134,slurm_normal,1457574708.0,0,,1.0,main_w1_handler1,2627396,12091414,False,,1695926,vcf,6315999.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23771777,,32.0,,28881863,1457574697.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2016-03-10 01:51:49.574174,78782.0,11.0
2015-08-22 04:19:11.967211,slurm_normal,1440217173.0,0,,1.0,main_w2_handler1,2410049,10170908,False,,1291875,vcf,4440093.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20825900,,32.0,,24604058,1440217168.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2015-08-22 04:19:37.169747,67582.0,5.0
2015-08-23 20:31:16.509246,slurm_normal,1440361905.0,0,,1.0,main_w2_handler1,2416384,10183103,False,,1286381,vcf,4452424.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20875250,,32.0,,24441689,1440361900.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2015-08-23 20:31:48.145227,67349.0,5.0
2015-12-10 03:47:46.876557,slurm_normal,1449733667.0,0,,1.0,main_w1_handler1,2533860,11136283,False,,17574485,vcf,5405015.roundup,slurm,,132112168.0,corral-repl,,"""842d0d669ef011e59ae1005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22383594,,32.0,,26715293,1449733656.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2015-12-10 07:47:49.223627,25806.0,11.0
2015-12-10 03:47:49.867928,slurm_normal,1449733619.0,0,,1.0,main_w1_handler0,2533860,11136285,False,,18115339,vcf,5405008.roundup,slurm,,132112168.0,corral-repl,,"""842d0d669ef011e59ae1005056a52a46""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22383597,,32.0,,26715293,1449733607.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2015-12-10 07:47:02.370448,25806.0,12.0
2015-09-01 21:45:17.443799,slurm_normal,1441144102.0,0,,1.0,main_w1_handler0,2371852,10240147,False,,358368613,vcf,4520732.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",20977775,,32.0,,24085869,1441143942.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2015-09-01 21:48:27.517439,50040.0,160.0
2015-10-02 00:36:04.697092,slurm_normal,1443746202.0,0,,1.0,main_w1_handler2,2457117,10485264,False,,17138495,vcf,4761741.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21366526,,32.0,,25456591,1443746186.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2015-10-02 00:36:44.687384,70338.0,16.0
2015-10-07 15:41:00.722228,slurm_normal,1444232516.0,0,,1.0,main_w1_handler1,2463474,10520262,False,,29225887,vcf,4795068.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21429435,,32.0,,25543281,1444232476.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2015-10-07 15:42:03.264971,53481.0,40.0
2015-10-16 20:52:44.405460,slurm_normal,1445028846.0,0,,1.0,main_w2_handler1,2447423,10606926,False,,113428052,vcf,4871559.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21570036,,32.0,,25361703,1445028778.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2015-10-16 20:54:11.427346,66662.0,68.0
2015-10-22 19:29:35.210149,slurm_normal,1445542243.0,0,,1.0,main_w1_handler1,2481062,10692075,False,,978273,vcf,4954276.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",21687418,,32.0,,25652759,1445542232.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2015-10-22 19:30:51.022455,71093.0,11.0
2015-11-21 03:42:57.645524,slurm_normal,1448077402.0,0,,1.0,main_w2_handler1,2514611,10972853,False,,1129685,vcf,5234501.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22106375,,32.0,,26356442,1448077398.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2015-11-21 03:43:26.417703,72931.0,4.0
2015-12-08 22:54:27.700457,slurm_normal,1449615333.0,0,,1.0,main_w2_handler1,2512087,11122600,False,,66909247,vcf,5388421.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22357475,,32.0,,26670556,1449615300.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2015-12-08 22:55:35.401108,25806.0,33.0
2015-12-08 21:48:06.429151,slurm_normal,1449611329.0,0,,1.0,main_w1_handler2,2513495,11121965,False,,36101909,vcf,5387854.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22349998,,32.0,,26670556,1449611310.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2015-12-08 21:48:52.907501,25806.0,19.0
2015-12-08 23:15:25.811298,slurm_normal,1449616660.0,0,,1.0,main_w1_handler2,2512087,11122749,False,,52020769,vcf,5388572.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22357789,,32.0,,26670556,1449616635.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2015-12-08 23:17:43.336015,25806.0,25.0
2016-02-03 05:50:49.511707,slurm_normal,1454478675.0,0,,1.0,main_w2_handler1,2554275,11690675,False,,328359,vcf,5947755.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mycoTube_H37RV.len""","""mycoTube_H37RV""",22755203,,32.0,,27162388,1454478670.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2016-02-03 05:51:18.350379,,5.0
2016-03-11 02:16:54.549138,slurm_normal,1457662649.0,0,,1.0,main_w1_handler0,2629705,12102097,False,,256116,vcf,6326122.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",23788803,,32.0,,28930403,1457662646.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2016-03-11 02:17:31.415753,29287.0,3.0
2016-03-11 02:17:17.145667,slurm_normal,1457662673.0,0,,1.0,main_w1_handler2,2629705,12102100,False,,1187964,vcf,6326130.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",23788804,,32.0,,28930403,1457662667.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2016-03-11 02:17:58.956907,29287.0,6.0
2016-03-11 07:39:54.139936,slurm_normal,1457682034.0,0,,1.0,main_w1_handler1,2629705,12103411,False,,174336,vcf,6327494.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",23790935,,32.0,,28930403,1457682016.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2016-03-11 07:40:38.317851,29287.0,18.0
2016-03-11 06:10:35.384046,slurm_normal,1457676658.0,0,,1.0,main_w1_handler1,2629112,12103053,False,,1575022,vcf,6327182.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23790344,,32.0,,28881863,1457676653.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2016-03-11 06:11:00.465577,78782.0,5.0
2016-03-11 06:10:35.782551,slurm_normal,1457676658.0,0,,1.0,main_w2_handler0,2629112,12103054,False,,1571635,vcf,6327181.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23790346,,32.0,,28881863,1457676653.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2016-03-11 06:11:01.743139,78782.0,5.0
2016-03-11 06:10:36.146305,slurm_normal,1457676673.0,0,,1.0,main_w1_handler1,2629112,12103055,False,,1580948,vcf,6327183.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",23790348,,32.0,,28881863,1457676668.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2016-03-11 06:11:15.567553,78782.0,5.0
2016-01-08 21:01:18.160579,slurm_normal,1452286909.0,0,,1.0,main_w2_handler1,2551729,11425788,False,,1587114,vcf,5688594.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",22779121,,32.0,,26873728,1452286901.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2016-01-08 21:01:55.591802,52987.0,8.0
2016-01-14 00:21:12.857420,slurm_normal,1452730917.0,0,,1.0,main_w2_handler0,2402933,11497708,False,,113685816,vcf,5763277.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22631235,,32.0,,27357211,1452730894.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2016-01-14 00:22:01.970614,67496.0,23.0
2016-01-20 17:35:15.193447,slurm_normal,1453311329.0,0,,1.0,main_w2_handler1,2571011,11563788,False,,314071,vcf,5829240.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",22981213,,32.0,,25866055,1453311324.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2016-01-20 17:35:34.076237,41721.0,5.0
2016-04-29 20:26:12.573898,slurm_normal,1461961607.0,0,,1.0,main_w1_handler0,2687200,12692248,False,,693691,vcf,6894701.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e68108af0ca7dab6'}]",32.0,,28981702,1461961603.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2016-04-29 20:26:50.190512,6515.0,4.0
2016-02-24 15:27:52.116496,slurm_normal,1456327733.0,0,,1.0,main_w1_handler1,2608497,11929854,False,,23192,vcf,6158582.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23474041,,32.0,,28547966,1456327722.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2016-02-24 15:28:59.596644,79114.0,11.0
2016-02-26 22:42:12.570050,slurm_normal,1456526591.0,0,,1.0,main_w2_handler0,2606637,11955336,False,,9045772,vcf,6188537.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23499301,,32.0,,26550110,1456526566.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2016-02-26 22:43:15.803839,17244.0,25.0
2016-02-29 16:07:18.631309,slurm_normal,1456762219.0,0,,1.0,main_w2_handler1,2608497,11968630,False,,14177,vcf,6200901.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23512964,,32.0,,28547966,1456762105.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2016-02-29 16:10:24.841821,79114.0,114.0
2016-03-02 05:56:47.932340,slurm_normal,1456898305.0,0,,1.0,main_w1_handler1,2617828,11986454,False,,1147527,vcf,6218192.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",23579180,,32.0,,28740588,1456898226.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfflatten/vcfflatten2/0.0.3,0.0.3,,2016-03-02 05:58:28.815698,29287.0,79.0
