create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.add_to_end,parameters.chromInfo,parameters.dbkey,parameters.extend_existing,parameters.input.values,parameters.region_boundaries,parameters.start_coordinate,parameters.subtract_from_start,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-05-12 02:24:05.682047,slurm_normal,1463019912.0,0,,1.0,main_w2_handler0,2700173,12863623,False,,598,gff,7064353.roundup,slurm,,132112168.0,corral-repl,,"""30""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""midpoint""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57426e55b4638fdd0'}]","""discard""","""1""","""30""",32.0,,30182844,1463019909.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/resize_coordinate_window/resize_coordinate_window/1.0.1,1.0.1,,2016-05-12 02:25:14.652128,84298.0,3.0
2016-10-24 23:03:54.795894,slurm_normal,1477350266.0,0,,1.0,main_w3_handler1,2499071,14162981,False,,3282810,gff,8375402.roundup,slurm,,132112168.0,corral-repl,,"""250""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""midpoint""","[{'src': 'hda', 'id': 'bbd44e69cb8906b54be7f46809cd330b'}]","""discard""","""1""","""250""",32.0,,33854765,1477350260.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/resize_coordinate_window/resize_coordinate_window/1.0.1,1.0.1,,2016-10-24 23:04:27.707684,42232.0,6.0
2016-10-24 23:14:53.912572,slurm_normal,1477350908.0,0,,1.0,main_w3_handler0,2499071,14163025,False,,3066643,gff,8375453.roundup,slurm,,132112168.0,corral-repl,,"""250""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""midpoint""","[{'src': 'hda', 'id': 'bbd44e69cb8906b555e82d1d39fa9311'}]","""discard""","""1""","""250""",32.0,,33854765,1477350900.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/resize_coordinate_window/resize_coordinate_window/1.0.1,1.0.1,,2016-10-24 23:15:12.174991,42232.0,8.0
2016-10-27 16:45:55.567569,slurm_normal,1477586773.0,0,,1.0,main_w4_handler1,2841267,14192719,False,,12067,gff,8405039.roundup,slurm,,132112168.0,corral-repl,,"""8000""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""existing""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5e22fab2e2dee74c9'}]","""discard""","""0""","""8000""",32.0,,33426268,1477586768.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/resize_coordinate_window/resize_coordinate_window/1.0.1,1.0.1,,2016-10-27 16:46:15.560113,83563.0,5.0
2016-10-27 16:46:17.069988,slurm_normal,1477586858.0,0,,1.0,main_w3_handler1,2841267,14192723,False,,1086,gff,8405046.roundup,slurm,,132112168.0,corral-repl,,"""8000""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""existing""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5070f694e26f65f2f'}]","""discard""","""0""","""8000""",32.0,,33426268,1477586800.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/resize_coordinate_window/resize_coordinate_window/1.0.1,1.0.1,,2016-10-27 16:47:41.699316,83563.0,58.0
2016-10-27 16:45:36.687297,slurm_normal,1477586757.0,0,,1.0,main_w3_handler0,2841267,14192717,False,,3667,gff,8405035.roundup,slurm,,132112168.0,corral-repl,,"""8000""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""existing""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a5709c30177cab31'}]","""discard""","""0""","""8000""",32.0,,33426268,1477586749.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/resize_coordinate_window/resize_coordinate_window/1.0.1,1.0.1,,2016-10-27 16:45:59.839677,83563.0,8.0
2016-10-27 16:39:26.077322,slurm_normal,1477586385.0,0,,1.0,main_w4_handler0,2841267,14192662,False,,97,gff,8404990.roundup,slurm,,132112168.0,corral-repl,,"""8000""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","""existing""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5ed2142644ae003bc'}]","""error""","""0""","""8000""",32.0,,33426268,1477586381.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/resize_coordinate_window/resize_coordinate_window/1.0.1,1.0.1,,2016-10-27 16:39:46.876782,83563.0,4.0
2016-11-09 16:22:48.471471,slurm_normal,1478708654.0,0,,1.0,main_w4_handler0,2887917,14296921,False,,559,gff,8504975.roundup,slurm,,132112168.0,corral-repl,,"""30""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""midpoint""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5363fc1aa8ce94303'}]","""discard""","""0""","""30""",32.0,,34128566,1478708645.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/resize_coordinate_window/resize_coordinate_window/1.0.1,1.0.1,,2016-11-09 16:24:16.859287,,9.0
2017-03-04 18:49:02.210090,slurm_normal,1488653366.0,0,,1.0,main_w4_handler0,3004381,15208137,False,,2386837,gff,9357923.roundup,slurm,,132112168.0,corral-repl,,"""30""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""midpoint""","[{'src': 'hda', 'id': 28618132}]","""discard""","""0""","""30""",32.0,,36202578,1488653360.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/resize_coordinate_window/resize_coordinate_window/1.0.1,1.0.1,,2017-03-04 18:49:27.955421,,6.0
2017-10-09 10:45:42.486294,slurm_normal,1507545965.0,0,,1.0,main_w4_handler1,3264537,17054527,False,,43,gff,11111584.roundup,slurm,,132112168.0,corral-repl,,"""40""","""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""existing""","[{'src': 'hda', 'id': 31608577}]","""error""","""0""","""40""",32.0,,40813130,1507545957.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/resize_coordinate_window/resize_coordinate_window/1.0.1,1.0.1,,2017-10-09 10:46:09.477005,,8.0
