beds_0|input,beds_0|input1,beds_0|input1_filetype,beds_0|input_filetype,beds_10|input,beds_10|input1,beds_10|input1_filetype,beds_10|input_filetype,beds_11|input,beds_11|input1,beds_11|input1_filetype,beds_11|input_filetype,beds_12|input,beds_12|input1,beds_12|input1_filetype,beds_12|input_filetype,beds_13|input,beds_13|input1,beds_13|input1_filetype,beds_13|input_filetype,beds_14|input,beds_14|input1,beds_14|input1_filetype,beds_14|input_filetype,beds_15|input,beds_15|input1,beds_15|input1_filetype,beds_15|input_filetype,beds_16|input,beds_16|input1,beds_16|input1_filetype,beds_16|input_filetype,beds_17|input,beds_17|input1,beds_17|input1_filetype,beds_17|input_filetype,beds_1|input,beds_1|input1,beds_1|input1_filetype,beds_1|input_filetype,beds_2|input,beds_2|input1,beds_2|input1_filetype,beds_2|input_filetype,beds_3|input,beds_3|input1,beds_3|input1_filetype,beds_3|input_filetype,beds_4|input,beds_4|input1,beds_4|input1_filetype,beds_4|input_filetype,beds_5|input,beds_5|input1,beds_5|input1_filetype,beds_5|input_filetype,beds_6|input,beds_6|input1,beds_6|input1_filetype,beds_6|input_filetype,beds_7|input,beds_7|input1,beds_7|input1_filetype,beds_7|input_filetype,beds_8|input,beds_8|input1,beds_8|input1_filetype,beds_8|input_filetype,beds_9|input,beds_9|input1,beds_9|input1_filetype,beds_9|input_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,genome,genome_filetype,handler,history_id,id,imported,info,inputs,inputs1,inputs10,inputs10_filetype,inputs11,inputs11_filetype,inputs12,inputs12_filetype,inputs13,inputs13_filetype,inputs14,inputs14_filetype,inputs15,inputs15_filetype,inputs16,inputs16_filetype,inputs17,inputs17_filetype,inputs18,inputs18_filetype,inputs1_filetype,inputs2,inputs2_filetype,inputs3,inputs3_filetype,inputs4,inputs4_filetype,inputs5,inputs5_filetype,inputs6,inputs6_filetype,inputs7,inputs7_filetype,inputs8,inputs8_filetype,inputs9,inputs9_filetype,inputs_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.cluster,parameters.dbkey,parameters.filler,parameters.genome,parameters.genome.values,parameters.header,parameters.tag.__current_case__,parameters.tag.beds,parameters.tag.inputs,parameters.tag.inputs.values,parameters.tag.tag_select,parameters.zero,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tag|beds_0|input,tag|beds_0|input1,tag|beds_0|input1_filetype,tag|beds_0|input_filetype,tag|beds_1|input,tag|beds_1|input1,tag|beds_1|input1_filetype,tag|beds_1|input_filetype,tag|beds_2|input,tag|beds_2|input1,tag|beds_2|input1_filetype,tag|beds_2|input_filetype,tag|beds_3|input,tag|beds_3|input1,tag|beds_3|input1_filetype,tag|beds_3|input_filetype,tool_id,tool_version,traceback,update_time,user_id,runtime
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-10 16:40:50.708286,slurm_normal,1457628094.0,0,1.0,2905488,bed,main_w2_handler1,2626166,12097438,False,,5088588.0,5088588.0,,,,,,,,,,,,,,,,,,,bed,2905488.0,bed,,,,,,,,,,,,,,,bed,6321751.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""False""","""?""","""N/A""",23781820,,"""False""",0,,"23781815,23781820",,tag,"""False""",32.0,,28882307,1457628070.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.22.0,2.22.0,,2016-03-10 16:41:37.120107,80122.0,24.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-10 18:54:35.098224,slurm_normal,1457636957.0,0,1.0,2905488,bed,main_w1_handler2,2626174,12098525,False,,5088588.0,5088588.0,,,,,,,,,,,,,,,,,,,bed,2905488.0,bed,,,,,,,,,,,,,,,bed,6322703.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""False""","""?""","""N/A""",23783897,,"""False""",0,,"23783890,23783897",,tag,"""False""",32.0,,28882347,1457636944.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.22.0,2.22.0,,2016-03-10 19:09:23.529374,80131.0,13.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-11 00:17:16.919068,slurm_normal,1457655475.0,0,1.0,2905488,bed,main_w1_handler1,2626167,12101227,False,,5088588.0,5088588.0,,,,,,,,,,,,,,,,,,,bed,2905488.0,bed,,,,,,,,,,,,,,,bed,6325372.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""False""","""?""","""N/A""",23787568,,"""False""",0,,"23787553,23787568",,tag,"""False""",32.0,,28882309,1457655465.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.22.0,2.22.0,,2016-03-11 00:18:00.959235,80123.0,10.0
2033280.0,2033280.0,bed,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744228.0,744228.0,bed,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-02 21:16:09.094773,slurm_normal,1454448259.0,0,1.0,610067,bed,main_w2_handler1,2567634,11686095,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5942816.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""False""","""?""","""N/A""",23150504,,"""False""",1,"[{'__index__': 0, 'custom_name': '', 'input': '23150539'}, {'__index__': 1, 'custom_name': '', 'input': '23150538'}]",,,custom,"""True""",32.0,,27523479,1454448249.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.22.0,2.22.0,,2016-02-02 21:24:27.593306,76930.0,10.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-11 00:56:52.221226,slurm_normal,1457657840.0,0,1.0,5088588,bed,main_w1_handler0,2626171,12101431,False,,2905488.0,2905488.0,,,,,,,,,,,,,,,,,,,bed,5088588.0,bed,,,,,,,,,,,,,,,bed,6325603.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""False""","""?""","""N/A""",23787853,,"""False""",0,,"23787831,23787853",,tag,"""False""",32.0,,28906038,1457657832.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.22.0,2.22.0,,2016-03-11 00:57:22.005925,80128.0,8.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-12-25 03:25:12.153708,slurm_normal,1451014053.0,0,1.0,15996,interval,main_w2_handler1,2469637,11324424,False,,2744.0,2744.0,11557.0,bed,17905.0,bed,,,,,,,,,,,,,,,bed,4255.0,bed,2157.0,bed,5978.0,bed,5880.0,bed,2016.0,bed,2434.0,bed,4209.0,bed,2463.0,bed,bed,5601945.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""False""","""?""","""N/A""",22648794,,"""False""",0,,"22646286,22646287,22646288,22648810,22648811,22648812,22648813,22648814,22648815,22648816,22648817",,tag,"""True""",32.0,,26994627,1451014047.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.22.0,2.22.0,,2015-12-25 03:27:36.072326,68909.0,6.0
179676.0,179676.0,bed,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195843.0,195843.0,bed,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-03 02:26:20.788784,slurm_normal,1454466404.0,0,1.0,179676,bed,main_w1_handler1,2585946,11690108,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5946255.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""False""","""hg19""","""N/A""",23155091,,"""False""",1,"[{'__index__': 0, 'custom_name': 'Hg19', 'input': '23155091'}, {'__index__': 1, 'custom_name': 'Gh38', 'input': '23155090'}]",,,custom,"""False""",32.0,,28026846,1454466399.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.22.0,2.22.0,,2016-02-03 02:26:47.563006,,5.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-12-24 17:18:01.963801,slurm_normal,1450977632.0,0,1.0,2026,interval,main_w1_handler2,2469637,11323076,False,,2744.0,2744.0,,,,,,,,,,,,,,,,,,,bed,4255.0,bed,2157.0,bed,,,,,,,,,,,,,bed,5600619.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""False""","""?""","""N/A""",22646278,,"""False""",0,,"22646286,22646287,22646288",,tag,"""True""",32.0,,26988685,1450977627.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.22.0,2.22.0,,2015-12-24 17:20:35.859483,68909.0,5.0
45879.0,45879.0,bed,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45879.0,45879.0,bed,bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-12-28 15:00:53.919320,slurm_normal,1451314892.0,0,1.0,82424,tabular,main_w1_handler2,2491970,11341772,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5617427.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""False""","""?""","""N/A""",22676249,,"""True""",1,"[{'__index__': 0, 'custom_name': 'a', 'input': '22676248'}, {'__index__': 1, 'custom_name': 'b', 'input': '22676248'}]",,,custom,"""False""",32.0,,26023045,1451314886.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.22.0,2.22.0,,2015-12-28 15:01:34.536117,72427.0,6.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-12-29 20:55:43.778623,slurm_normal,1451422591.0,0,1.0,1725528,bed,main_w1_handler1,2550895,11346212,False,,1716736.0,1716736.0,,,,,,,,,,,,,,,,,,,bed,1716741.0,bed,1716746.0,bed,1716741.0,bed,,,,,,,,,,,bed,5619866.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""False""","""hg19""","""N/A""",22681949,,"""False""",0,,"22683083,22683084,22683085,22683086",,tag,"""True""",32.0,,26301143,1451422583.0,ok,1023996.0,,,,,,,,,,,,,,,,,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_multiintersectbed/2.22.0,2.22.0,,2015-12-29 20:56:34.393937,45336.0,8.0
