chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.analysis_type,parameters.chromInfo,parameters.dbkey,parameters.vcf_input,parameters.vcf_input.values,parameters.vcf_input|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,vcf_input,vcf_input_filetype,runtime
,,2015-08-26 07:27:52.502272,slurm_normal,1440574096.0,0,,1.0,main_w1_handler2,2330723,10201595,False,,4472040.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20891799,,,32.0,,23456477,1440574091.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-08-26 07:28:19.537007,,14912106,vcf,5.0
,,2015-08-26 06:45:46.898521,slurm_normal,1440571573.0,0,,1.0,main_w1_handler2,2330723,10201521,False,,4471946.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20891844,,,32.0,,23456477,1440571566.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-08-26 06:46:21.752362,,18447150,vcf,7.0
,,2015-08-26 07:26:56.554960,slurm_normal,1440574037.0,0,,1.0,main_w1_handler1,2330723,10201593,False,,4472036.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20891830,,,32.0,,23456477,1440574030.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-08-26 07:27:18.322258,,15895215,vcf,7.0
,,2015-08-26 07:27:25.080324,slurm_normal,1440574081.0,0,,1.0,main_w2_handler1,2330723,10201594,False,,4472039.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20891816,,,32.0,,23456477,1440574070.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-08-26 07:28:06.157548,,20252397,vcf,11.0
,,2015-08-26 07:28:17.467469,slurm_normal,1440574130.0,0,,1.0,main_w2_handler1,2330723,10201598,False,,4472044.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20891681,,,32.0,,23456477,1440574119.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-08-26 07:28:54.981827,,17185953,vcf,11.0
,,2015-08-26 07:26:02.710519,slurm_normal,1440573985.0,0,,1.0,main_w1_handler0,2330723,10201592,False,,4472032.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20891844,,,32.0,,23456477,1440573978.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-08-26 07:26:27.326060,,18447150,vcf,7.0
,,2015-08-26 07:23:57.284477,slurm_normal,1440573869.0,0,,1.0,main_w2_handler1,2330723,10201585,False,,4472022.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20891830,,,32.0,,23456477,1440573861.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-08-26 07:24:31.722147,,15895215,vcf,8.0
,,2015-08-26 07:29:49.915531,slurm_normal,1440574234.0,0,,1.0,main_w2_handler1,2330723,10201603,False,,4472053.roundup,slurm,,132112168.0,corral-repl,,,"""ratio""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20908857,,,32.0,,23456477,1440574228.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-08-26 07:30:37.049592,,15335775,vcf,6.0
,,2015-08-27 03:58:05.644989,slurm_normal,1440647916.0,0,,1.0,main_w1_handler0,2418048,10208254,False,,4478029.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20921644,,,32.0,,24827160,1440647911.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-08-27 03:58:38.665550,,313321,vcf,5.0
,,2015-08-24 17:05:43.379724,slurm_normal,1440435970.0,0,,1.0,main_w2_handler1,2158966,10190256,False,,4459264.roundup,slurm,,132112168.0,corral-repl,,,"""count""","""/galaxy-repl/localdata/chrom/?.len""","""?""",20889496,,,32.0,,24811706,1440435965.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfhethom/vcfhethom/0.0.3,0.0.3,,2015-08-24 17:06:12.276936,2722.0,943503,vcf,5.0
