bias_correction|ref_file,bias_correction|ref_file_filetype,chromInfo,chromInfo_filetype,conditions1,conditions1_filetype,conditions2,conditions2_filetype,conditions3,conditions3_filetype,conditions4,conditions4_filetype,conditions5,conditions5_filetype,conditions6,conditions6_filetype,conditions_0|samples,conditions_0|samples1,conditions_0|samples10,conditions_0|samples10_filetype,conditions_0|samples11,conditions_0|samples11_filetype,conditions_0|samples1_filetype,conditions_0|samples2,conditions_0|samples2_filetype,conditions_0|samples3,conditions_0|samples3_filetype,conditions_0|samples4,conditions_0|samples4_filetype,conditions_0|samples5,conditions_0|samples5_filetype,conditions_0|samples6,conditions_0|samples6_filetype,conditions_0|samples7,conditions_0|samples7_filetype,conditions_0|samples8,conditions_0|samples8_filetype,conditions_0|samples9,conditions_0|samples9_filetype,conditions_0|samples_filetype,conditions_10|samples,conditions_10|samples1,conditions_10|samples1_filetype,conditions_10|samples2,conditions_10|samples2_filetype,conditions_10|samples3,conditions_10|samples3_filetype,conditions_10|samples_filetype,conditions_11|samples,conditions_11|samples1,conditions_11|samples1_filetype,conditions_11|samples2,conditions_11|samples2_filetype,conditions_11|samples3,conditions_11|samples3_filetype,conditions_11|samples_filetype,conditions_12|samples,conditions_12|samples1,conditions_12|samples1_filetype,conditions_12|samples2,conditions_12|samples2_filetype,conditions_12|samples3,conditions_12|samples3_filetype,conditions_12|samples4,conditions_12|samples4_filetype,conditions_12|samples_filetype,conditions_13|samples,conditions_13|samples1,conditions_13|samples1_filetype,conditions_13|samples2,conditions_13|samples2_filetype,conditions_13|samples3,conditions_13|samples3_filetype,conditions_13|samples_filetype,conditions_14|samples,conditions_14|samples1,conditions_14|samples1_filetype,conditions_14|samples2,conditions_14|samples2_filetype,conditions_14|samples3,conditions_14|samples3_filetype,conditions_14|samples_filetype,conditions_15|samples,conditions_15|samples1,conditions_15|samples1_filetype,conditions_15|samples2,conditions_15|samples2_filetype,conditions_15|samples_filetype,conditions_16|samples,conditions_16|samples1,conditions_16|samples1_filetype,conditions_16|samples2,conditions_16|samples2_filetype,conditions_16|samples3,conditions_16|samples3_filetype,conditions_16|samples_filetype,conditions_17|samples,conditions_17|samples1,conditions_17|samples1_filetype,conditions_17|samples2,conditions_17|samples2_filetype,conditions_17|samples3,conditions_17|samples3_filetype,conditions_17|samples_filetype,conditions_18|samples,conditions_18|samples1,conditions_18|samples1_filetype,conditions_18|samples2,conditions_18|samples2_filetype,conditions_18|samples3,conditions_18|samples3_filetype,conditions_18|samples_filetype,conditions_19|samples,conditions_19|samples1,conditions_19|samples1_filetype,conditions_19|samples2,conditions_19|samples2_filetype,conditions_19|samples3,conditions_19|samples3_filetype,conditions_19|samples_filetype,conditions_1|samples,conditions_1|samples1,conditions_1|samples10,conditions_1|samples10_filetype,conditions_1|samples11,conditions_1|samples11_filetype,conditions_1|samples12,conditions_1|samples12_filetype,conditions_1|samples13,conditions_1|samples13_filetype,conditions_1|samples14,conditions_1|samples14_filetype,conditions_1|samples15,conditions_1|samples15_filetype,conditions_1|samples16,conditions_1|samples16_filetype,conditions_1|samples17,conditions_1|samples17_filetype,conditions_1|samples18,conditions_1|samples18_filetype,conditions_1|samples19,conditions_1|samples19_filetype,conditions_1|samples1_filetype,conditions_1|samples2,conditions_1|samples20,conditions_1|samples20_filetype,conditions_1|samples21,conditions_1|samples21_filetype,conditions_1|samples22,conditions_1|samples22_filetype,conditions_1|samples23,conditions_1|samples23_filetype,conditions_1|samples24,conditions_1|samples24_filetype,conditions_1|samples25,conditions_1|samples25_filetype,conditions_1|samples26,conditions_1|samples26_filetype,conditions_1|samples27,conditions_1|samples27_filetype,conditions_1|samples28,conditions_1|samples28_filetype,conditions_1|samples2_filetype,conditions_1|samples3,conditions_1|samples3_filetype,conditions_1|samples4,conditions_1|samples4_filetype,conditions_1|samples5,conditions_1|samples5_filetype,conditions_1|samples6,conditions_1|samples6_filetype,conditions_1|samples7,conditions_1|samples7_filetype,conditions_1|samples8,conditions_1|samples8_filetype,conditions_1|samples9,conditions_1|samples9_filetype,conditions_1|samples_filetype,conditions_2|samples,conditions_2|samples1,conditions_2|samples1_filetype,conditions_2|samples2,conditions_2|samples2_filetype,conditions_2|samples3,conditions_2|samples3_filetype,conditions_2|samples4,conditions_2|samples4_filetype,conditions_2|samples5,conditions_2|samples5_filetype,conditions_2|samples6,conditions_2|samples6_filetype,conditions_2|samples7,conditions_2|samples7_filetype,conditions_2|samples8,conditions_2|samples8_filetype,conditions_2|samples_filetype,conditions_3|samples,conditions_3|samples1,conditions_3|samples1_filetype,conditions_3|samples2,conditions_3|samples2_filetype,conditions_3|samples3,conditions_3|samples3_filetype,conditions_3|samples4,conditions_3|samples4_filetype,conditions_3|samples5,conditions_3|samples5_filetype,conditions_3|samples6,conditions_3|samples6_filetype,conditions_3|samples_filetype,conditions_4|samples,conditions_4|samples1,conditions_4|samples1_filetype,conditions_4|samples2,conditions_4|samples2_filetype,conditions_4|samples3,conditions_4|samples3_filetype,conditions_4|samples4,conditions_4|samples4_filetype,conditions_4|samples5,conditions_4|samples5_filetype,conditions_4|samples6,conditions_4|samples6_filetype,conditions_4|samples_filetype,conditions_5|samples,conditions_5|samples1,conditions_5|samples1_filetype,conditions_5|samples2,conditions_5|samples2_filetype,conditions_5|samples3,conditions_5|samples3_filetype,conditions_5|samples4,conditions_5|samples4_filetype,conditions_5|samples5,conditions_5|samples5_filetype,conditions_5|samples_filetype,conditions_6|samples,conditions_6|samples1,conditions_6|samples1_filetype,conditions_6|samples2,conditions_6|samples2_filetype,conditions_6|samples3,conditions_6|samples3_filetype,conditions_6|samples_filetype,conditions_7|samples,conditions_7|samples1,conditions_7|samples1_filetype,conditions_7|samples2,conditions_7|samples2_filetype,conditions_7|samples3,conditions_7|samples3_filetype,conditions_7|samples_filetype,conditions_8|samples,conditions_8|samples1,conditions_8|samples1_filetype,conditions_8|samples2,conditions_8|samples2_filetype,conditions_8|samples3,conditions_8|samples3_filetype,conditions_8|samples_filetype,conditions_9|samples,conditions_9|samples1,conditions_9|samples1_filetype,conditions_9|samples2,conditions_9|samples2_filetype,conditions_9|samples3,conditions_9|samples3_filetype,conditions_9|samples_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,gtf_input,gtf_input_filetype,handler,history_id,id,imported,in_type|conditions_0|samples,in_type|conditions_0|samples1,in_type|conditions_0|samples1_filetype,in_type|conditions_0|samples2,in_type|conditions_0|samples2_filetype,in_type|conditions_0|samples3,in_type|conditions_0|samples3_filetype,in_type|conditions_0|samples_filetype,in_type|conditions_1|samples,in_type|conditions_1|samples1,in_type|conditions_1|samples1_filetype,in_type|conditions_1|samples2,in_type|conditions_1|samples2_filetype,in_type|conditions_1|samples3,in_type|conditions_1|samples3_filetype,in_type|conditions_1|samples4,in_type|conditions_1|samples4_filetype,in_type|conditions_1|samples_filetype,in_type|conditions_2|samples,in_type|conditions_2|samples1,in_type|conditions_2|samples1_filetype,in_type|conditions_2|samples2,in_type|conditions_2|samples2_filetype,in_type|conditions_2|samples_filetype,in_type|conditions_3|samples,in_type|conditions_3|samples1,in_type|conditions_3|samples1_filetype,in_type|conditions_3|samples2,in_type|conditions_3|samples2_filetype,in_type|conditions_3|samples_filetype,in_type|conditions_4|samples,in_type|conditions_4|samples1,in_type|conditions_4|samples1_filetype,in_type|conditions_4|samples2,in_type|conditions_4|samples2_filetype,in_type|conditions_4|samples_filetype,in_type|conditions_5|samples,in_type|conditions_5|samples1,in_type|conditions_5|samples1_filetype,in_type|conditions_5|samples2,in_type|conditions_5|samples2_filetype,in_type|conditions_5|samples_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,mask_file,mask_file_filetype,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.additional.__current_case__,parameters.additional.frag_len_std_dev,parameters.additional.frag_mean_len,parameters.additional.sAdditional,parameters.advanced_settings.__current_case__,parameters.advanced_settings.hits_norm,parameters.advanced_settings.library_type,parameters.advanced_settings.mask_file,parameters.advanced_settings.max_bundle_frags,parameters.advanced_settings.max_mle_iterations,parameters.advanced_settings.min_reps_for_js_test,parameters.advanced_settings.num_frag_assign_draws,parameters.advanced_settings.num_frag_count_draws,parameters.advanced_settings.sAdvanced,parameters.advanced_settings.time_series,parameters.bias_correction.__current_case__,parameters.bias_correction.do_bias_correction,parameters.bias_correction.seq_source.__current_case__,parameters.bias_correction.seq_source.index,parameters.bias_correction.seq_source.index.__class__,parameters.bias_correction.seq_source.index.value,parameters.bias_correction.seq_source.index_source,parameters.bias_correction.seq_source.ref_file,parameters.bias_correction.seq_source.ref_file.values,parameters.chromInfo,parameters.conditions_0|samples,parameters.conditions_10|samples,parameters.conditions_11|samples,parameters.conditions_12|samples,parameters.conditions_13|samples,parameters.conditions_14|samples,parameters.conditions_15|samples,parameters.conditions_16|samples,parameters.conditions_17|samples,parameters.conditions_18|samples,parameters.conditions_19|samples,parameters.conditions_1|samples,parameters.conditions_2|samples,parameters.conditions_3|samples,parameters.conditions_4|samples,parameters.conditions_5|samples,parameters.conditions_6|samples,parameters.conditions_7|samples,parameters.conditions_8|samples,parameters.conditions_9|samples,parameters.dbkey,parameters.dispersion_method,parameters.fdr,parameters.generate_sqlite,parameters.gtf_input,parameters.gtf_input.values,parameters.gtf_input|__identifier__,parameters.in_type.__current_case__,parameters.in_type.conditions,parameters.in_type.set_in_type,parameters.in_type|conditions_0|samples,parameters.in_type|conditions_1|samples,parameters.include_count_files,parameters.include_read_group_files,parameters.length_correction,parameters.library_norm_method,parameters.min_alignment_count,parameters.multiread_correct,parameters.omit_tabular_output,processor_count,ref_file,ref_file_filetype,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,,,,,,,,,,,,,,,3079338348.0,3079338348.0,,,,,bam,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2633332003.0,2633332003.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-18 20:46:43.798884,slurm_multi_dynamic_walltime,1434668185.0,0,,6.0,506813832,gtf,main_w2_handler2,2347012,9687463,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3996722,slurm,,,,132112168.0,corral-repl,,0,no,,,0,,,No,0.0,,,,,,,,,No,,0,Yes,0.0,hg38,,,cached,,,"""/galaxy-repl/localdata/chrom/hg38.len""",,,,,,,,,,,,,,,,,,,,,"""hg38""","""pooled""","""0.05""","""False""",20054963,,,0,"[{'__index__': 0, 'name': 'Capan1 NS', 'samples': '20054889'}, {'__index__': 1, 'name': 'Capan1 NAT 319', 'samples': '20054907'}]",BAM,,,"""No""","""No""","""""","""geometric""","""10""","""True""","""False""",32.0,,,,23677599.0,1434660449.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-06-18 22:56:35.932499,65001,7736.0
,,,,,,,,,,,,,,,,65197337.0,65197337.0,,,,,cxb,,,,,,,,,,,,,,,,,cxb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65197337.0,65197337.0,,,,,,,,,,,,,,,,,,,,,cxb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cxb,65197337.0,65197337.0,cxb,,,,,,,,,,,,,,,cxb,65197337.0,65197337.0,cxb,,,,,,,,,,,cxb,65197337.0,65197337.0,cxb,,,,,,,,,,,cxb,65197337.0,65197337.0,cxb,,,,,,,,,cxb,65197337.0,65197337.0,cxb,,,,,cxb,,,,,,,,,,,,,,,,,,,,,,,,,2015-09-15 09:16:48.785275,slurm_multi_dynamic_walltime,1442308651.0,0,,6.0,34185597,gff3,main_w2_handler2,2426293,10321747,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4605828,slurm,,,,132112168.0,corral-repl,,0,no,,,0,,,No,0.0,,,,,,,,,No,,1,No,,,,,,,,"""/galaxy-repl/main/files/012/373/dataset_12373292.dat""",,,,,,,,,,,,,,,,,,,,,"""canSat3""","""pooled""","""0.05""","""False""",21097675,,,1,"[{'__index__': 0, 'name': 'PK Root', 'samples': '21113320'}, {'__index__': 1, 'name': 'PK Stem', 'samples': '21113319'}, {'__index__': 2, 'name': 'PK Shoot', 'samples': '21113318'}, {'__index__': 3, 'name': 'PK Pre-Flower', 'samples': '21113317'}, {'__index__': 4, 'name': 'PK Early-Flower', 'samples': '21113316'}, {'__index__': 5, 'name': 'PK Mid-Flower', 'samples': '21113310'}, {'__index__': 6, 'name': 'Finola Mid-Flower', 'samples': '21113309'}]",CXB,,,"""No""","""No""","""""","""geometric""","""10""","""False""","""False""",32.0,,,,24876659.0,1442308627.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-09-15 09:17:34.151389,21426,24.0
,,,,,,,,,,,,,,,,222914458.0,222914458.0,,,,,bam,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302363917.0,302363917.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-18 23:32:09.014202,slurm_multi_dynamic_walltime,1434671097.0,0,,6.0,571476208,gff3,main_w2_handler2,2265418,9688799,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3997780,slurm,,,,132112168.0,corral-repl,,0,no,,,0,,,No,0.0,,,,,,,,,No,,1,No,,,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""",,,,,,,,,,,,,,,,,,,,,"""hg38""","""pooled""","""0.05""","""False""",20061507,,,0,"[{'__index__': 0, 'name': '', 'samples': '20061595'}, {'__index__': 1, 'name': '', 'samples': '20061590'}]",BAM,,,"""No""","""No""","""""","""geometric""","""10""","""False""","""False""",32.0,,,,23714492.0,1434670366.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-06-18 23:45:12.688182,2893,731.0
,,,,,,,,,,,,,,,,1236085366.0,1236085366.0,,,,,bam,1060839870.0,bam,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328961001.0,1328961001.0,,,,,,,,,,,,,,,,,,,,,bam,1273543493.0,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-18 21:33:15.671833,slurm_multi_dynamic_walltime,1434664302.0,0,,6.0,8589185,gff3,main_w2_handler2,2165922,9687704,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3996972,slurm,,,,132112168.0,corral-repl,,0,no,,,0,,,No,0.0,,,,,,,,,No,,1,No,,,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""",,,,,,,,,,,,,,,,,,,,,"""hg38""","""pooled""","""0.2""","""False""",20059988,,,0,"[{'__index__': 0, 'name': 'ctrl', 'samples': '18144664,18152733'}, {'__index__': 1, 'name': '38a', 'samples': '18143085,18152793'}]",BAM,,,"""No""","""No""","""""","""geometric""","""10""","""False""","""False""",32.0,,,,23713364.0,1434663235.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-06-18 21:51:52.574980,57939,1067.0
,,,,,,,,,,,,,,,,810054672.0,810054672.0,,,,,bam,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550871603.0,550871603.0,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-27 08:17:59.011701,slurm_multi_dynamic_walltime,1437985680.0,0,,6.0,107704291,gtf,main_w2_handler2,2386588,10004336,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4286741,slurm,,,,132112168.0,corral-repl,,0,no,,,0,,,No,0.0,,,,,,,,,No,,1,No,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,,,,,,,,,,,,,,,,,,,,"""hg19""","""pooled""","""0.05""","""False""",20513652,,,0,"[{'__index__': 0, 'name': 'silvia_RPF_control', 'samples': '20512217'}, {'__index__': 1, 'name': 'max_RPF_control', 'samples': '20512206'}]",BAM,,,"""No""","""No""","""""","""classic-fpkm""","""10""","""False""","""False""",32.0,,,,24333772.0,1437985106.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-07-27 08:28:11.321168,66546,574.0
,,,,,,,,,,,,,,,,1230407575.0,1230407575.0,,,,,bam,1321423349.0,bam,1176081212.0,bam,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151438227.0,1151438227.0,,,,,,,,,,,,,,,,,,,,,bam,1284643622.0,,,,,,,,,,,,,,,,,,,bam,1119600947.0,bam,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-18 23:48:43.379850,slurm_multi_dynamic_walltime,1434675168.0,0,,6.0,41068558,gtf,main_w2_handler2,2348371,9688827,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3997890,slurm,,,,132112168.0,corral-repl,,0,no,,,1,80,200,Yes,,,,,,,,,,,,0,Yes,1.0,,,,history,20062208.0,,"""/galaxy-repl/main/files/010/126/dataset_10126223.dat""",,,,,,,,,,,,,,,,,,,,,"""rn6""","""pooled""","""0.05""","""True""",20063020,,,0,"[{'__index__': 0, 'name': 'Handled', 'samples': '20062189,20062191,20062214'}, {'__index__': 1, 'name': 'Non-Handled', 'samples': '20062216,20062218,20062220'}]",BAM,,,"""Yes""","""Yes""","""""","""geometric""","""10""","""True""","""False""",32.0,2927607333.0,fasta,,23713758.0,1434671363.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-06-19 00:53:12.331481,53117,3805.0
,,,,,,,,,,,,,,,,809731069.0,809731069.0,,,,,bam,5390855844.0,bam,4249586839.0,bam,5293921017.0,bam,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5703216828.0,5703216828.0,,,,,,,,,,,,,,,,,,,,,bam,5856308628.0,,,,,,,,,,,,,,,,,,,bam,4670156449.0,bam,5042882563.0,bam,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-18 15:51:24.684486,slurm_multi_dynamic_walltime,1434675414.0,0,,6.0,1133413181,gtf,main_w2_handler2,2341970,9683489,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3996595,slurm,,,,132112168.0,corral-repl,,0,no,,,0,,,No,0.0,,,,,,,,,No,,1,No,,,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""",,,,,,,,,,,,,,,,,,,,,"""hg38""","""pooled""","""0.05""","""False""",20004212,,,0,"[{'__index__': 0, 'name': 'Jo-1', 'samples': '20004221,20004222,20004224,20037070'}, {'__index__': 1, 'name': 'IBM', 'samples': '20004217,20004218,20004219,20004220'}]",BAM,,,"""No""","""No""","""""","""geometric""","""10""","""True""","""False""",32.0,,,,22491640.0,1434659757.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-06-19 00:57:09.306860,14117,15657.0
,,,,,,,,,,,,,,,,11071100.0,11071100.0,,,,,bam,14462782.0,bam,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41378467.0,41378467.0,,,,,,,,,,,,,,,,,,,,,bam,47383660.0,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-27 08:48:03.322797,slurm_multi_dynamic_walltime,1437987164.0,0,,6.0,5192394,gtf,main_w2_handler2,2375313,10004537,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4286886,slurm,,,,132112168.0,corral-repl,,0,no,,,0,,,No,0.0,,,,,,,,,No,,1,No,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,,,,,,,,,,,,,,,,,,,,"""hg19""","""pooled""","""0.05""","""False""",20575988,,,0,"[{'__index__': 0, 'name': 'Cd20', 'samples': '20343847,20343864'}, {'__index__': 1, 'name': 'H1hesc', 'samples': '20343869,20343875'}]",BAM,,,"""No""","""No""","""""","""geometric""","""10""","""False""","""False""",32.0,,,,24059174.0,1437986906.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-07-27 08:52:50.647788,65880,258.0
,,,,,,,,,,,,,,,,1236085366.0,1236085366.0,,,,,bam,1060839870.0,bam,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328961001.0,1328961001.0,,,,,,,,,,,,,,,,,,,,,bam,1273543493.0,,,,,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-19 00:15:51.829960,slurm_multi_dynamic_walltime,1434675894.0,0,,6.0,167607220,gtf,main_w2_handler2,2165922,9688897,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3998013,slurm,,,,132112168.0,corral-repl,,0,no,,,0,,,No,,,,,,,,,,,,1,No,,,,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""",,,,,,,,,,,,,,,,,,,,,"""hg38""","""pooled""","""0.05""","""False""",18154508,,,0,"[{'__index__': 0, 'name': 'CTRL', 'samples': '18144664,18152733'}, {'__index__': 1, 'name': 'siPRPF38A', 'samples': '18143085,18152793'}]",BAM,,,"""No""","""No""","""""","""geometric""","""10""","""False""","""False""",32.0,,,,23713364.0,1434672985.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-06-19 01:05:13.339802,57939,2909.0
,,1474708.0,len,,,,,,,,,,,,,5286570987.0,5286570987.0,,,,,bam,3754422725.0,bam,3491004618.0,bam,2606746204.0,bam,,,,,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5283149460.0,5283149460.0,,,,,,,,,,,,,,,,,,,,,bam,5265372574.0,,,,,,,,,,,,,,,,,,,bam,4885270483.0,bam,3551960540.0,bam,,,,,,,,,,,bam,2936762718.0,2936762718.0,bam,4666424209.0,bam,2607842814.0,bam,4808057434.0,bam,,,,,,,,,bam,3829144224.0,3829144224.0,bam,4421707154.0,bam,4115105510.0,bam,,,,,,,bam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-18 19:48:42.809651,slurm_multi_dynamic_walltime,1434676446.0,0,,6.0,115828331,gtf,main_w2_handler2,2187358,9686809,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3996038,slurm,,,,132112168.0,corral-repl,,0,no,,,0,,,No,0.0,,,,,,,,,No,,1,No,,,,,,,,"""/galaxy-repl/main/files/010/519/dataset_10519668.dat""",,,,,,,,,,,,,,,,,,,,,"""?""","""pooled""","""0.05""","""False""",20042148,,,0,"[{'__index__': 0, 'name': 'Naive', 'samples': '18628342,18820639,18960497,18980104'}, {'__index__': 1, 'name': 'Infected', 'samples': '18796726,18997762,19040673,19072594'}, {'__index__': 2, 'name': 'LipN', 'samples': '19388346,19401896,19591380,19944247'}, {'__index__': 3, 'name': 'Mycopar', 'samples': '19967219,19989587,20010861'}]",BAM,,,"""No""","""No""","""""","""geometric""","""10""","""False""","""False""",32.0,,,,22803151.0,1434656991.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.2,2.2.1.2,,2015-06-19 01:14:38.403815,58890,19455.0
