chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,fastq,fastq_filetype,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.fasta,parameters.fastq.values,parameters.fastq|__identifier__,parameters.format,parameters.oligo.__current_case__,parameters.oligo.add,parameters.pacbio,parameters.qfile,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-03-07 07:49:18.365452,slurm_normal,1488872966.0,0,70340590,fastq,1.0,main_w4_handler0,3020290,15226916,False,,9375311.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28636628}]",,"""sanger""",0,no,"""false""","""true""",32.0,,36477176.0,1488872962.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_fastq_info/1.25.0,1.25.0,,2017-03-07 07:49:29.572775,101447.0,4.0
,,2017-03-20 04:51:10.488467,slurm_normal,1489985499.0,0,127886993,fastq,1.0,main_w4_handler1,3037106,15339735,False,,9479312.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28830747}]",,"""sanger""",0,no,"""false""","""false""",32.0,,36704194.0,1489985494.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_fastq_info/1.25.0,1.25.0,,2017-03-20 04:51:41.532882,,5.0
,,2017-03-20 04:51:10.037061,slurm_normal,1489985490.0,0,236072026,fastq,1.0,main_w4_handler1,3037106,15339733,False,,9479310.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28830742}]",,"""sanger""",0,no,"""false""","""false""",32.0,,36704194.0,1489985484.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_fastq_info/1.25.0,1.25.0,,2017-03-20 04:51:32.895232,,6.0
,,2017-03-20 04:51:08.962759,slurm_normal,1489985707.0,0,100440608,fastq,1.0,main_w3_handler1,3037106,15339729,False,,9479333.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28829930}]",,"""sanger""",0,no,"""false""","""false""",32.0,,36704194.0,1489985703.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_fastq_info/1.25.0,1.25.0,,2017-03-20 04:55:08.524291,,4.0
,,2017-03-20 04:51:12.502988,slurm_normal,1489985557.0,0,92667866,fastq,1.0,main_w4_handler1,3037106,15339743,False,,9479318.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28830759}]",,"""sanger""",0,no,"""false""","""false""",32.0,,36704194.0,1489985552.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_fastq_info/1.25.0,1.25.0,,2017-03-20 04:52:39.096937,,5.0
,,2017-03-20 04:51:12.872560,slurm_normal,1489985664.0,0,50431218,fastq,1.0,main_w4_handler1,3037106,15339745,False,,9479323.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28830766}]",,"""sanger""",0,no,"""false""","""false""",32.0,,36704194.0,1489985658.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_fastq_info/1.25.0,1.25.0,,2017-03-20 04:54:35.591747,,6.0
,,2017-03-20 04:51:09.411591,slurm_normal,1489985709.0,0,58699845,fastq,1.0,main_w4_handler0,3037106,15339731,False,,9479334.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28830558}]",,"""sanger""",0,no,"""false""","""false""",32.0,,36704194.0,1489985703.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_fastq_info/1.25.0,1.25.0,,2017-03-20 04:55:11.439340,,6.0
,,2017-03-20 04:51:08.026095,slurm_normal,1489985549.0,0,50431218,fastq,1.0,main_w3_handler1,3037106,15339724,False,,9479316.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28823189}]",,"""sanger""",0,no,"""false""","""false""",32.0,,36704194.0,1489985509.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_fastq_info/1.25.0,1.25.0,,2017-03-20 04:52:31.351266,,40.0
,,2017-03-20 04:51:14.615366,slurm_normal,1489985588.0,0,643645966,fastq,1.0,main_w3_handler0,3037106,15339752,False,,9479321.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28830785}]",,"""sanger""",0,no,"""false""","""false""",32.0,,36704194.0,1489985576.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_fastq_info/1.25.0,1.25.0,,2017-03-20 04:53:10.789878,,12.0
,,2017-03-20 04:51:08.789700,slurm_normal,1489985479.0,0,66358457,fastq,1.0,main_w4_handler1,3037106,15339728,False,,9479307.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""true""","[{'src': 'hda', 'id': 28829924}]",,"""sanger""",0,no,"""false""","""false""",32.0,,36704194.0,1489985471.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/jjohnson/mothur_toolsuite/mothur_fastq_info/1.25.0,1.25.0,,2017-03-20 04:51:21.683512,,8.0
